osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,junction
530854046,True,,tertiary,40,False,10.408000000000001,"LINESTRING (-53.6332211 -26.2565589, -53.6332122 -26.2565758, -53.6331982 -26.2565898, -53.6331804 -26.2565995, -53.6331603 -26.2566044, -53.6331394 -26.2566038)",1,roundabout
530854046,True,,tertiary,40,False,2.269,"LINESTRING (-53.6332243 -26.2565387, -53.6332211 -26.2565589)",1,roundabout
530854046,True,,tertiary,40,False,9.544,"LINESTRING (-53.6331681 -26.2564765, -53.6331902 -26.2564847, -53.6332081 -26.2564989, -53.6332199 -26.2565176, -53.6332243 -26.2565387)",1,roundabout
894797728,True,Avenida Paraná,tertiary,40,False,43.843999999999994,"LINESTRING (-53.6331681 -26.2564765, -53.6332359 -26.2564515, -53.6333049 -26.2564256, -53.6334887 -26.2563559, -53.6335741 -26.2563252)",,
117020509,False,Rua Dom Pedro II,residential,,False,49.801,"LINESTRING (-53.6395253 -26.2594773, -53.6393282 -26.2596577, -53.639237 -26.2597215, -53.6391431 -26.2597575)",,
117020547,False,Rua Rio Grande do Sul,residential,,True,8.668,"LINESTRING (-53.6318168 -26.2569438, -53.6318467 -26.257017)",,
117020437,True,Avenida Paraná,tertiary,40,False,105.559,"LINESTRING (-53.6318168 -26.2569438, -53.6327497 -26.2566331, -53.6328072 -26.2566092)",,
117020538,False,Rua Almirante Barroso,residential,,False,8.486,"LINESTRING (-53.630623 -26.2573356, -53.6306455 -26.2574092)",,
117020437,True,Avenida Paraná,tertiary,40,False,52.928000000000004,"LINESTRING (-53.630623 -26.2573356, -53.6307204 -26.2573029, -53.6311213 -26.2571717)",,
117020461,False,Rua João Nilo Schwab,residential,,False,8.586,"LINESTRING (-53.6311213 -26.2571717, -53.63115 -26.2572445)",,
117020461,False,Rua João Nilo Schwab,residential,,True,61.507,"LINESTRING (-53.6311213 -26.2571717, -53.6308887 -26.2566594)",,
117020437,True,Avenida Paraná,tertiary,40,False,73.842,"LINESTRING (-53.6311213 -26.2571717, -53.6317662 -26.2569606, -53.6318168 -26.2569438)",,
530854046,True,,tertiary,40,False,8.765,"LINESTRING (-53.6330912 -26.2565043, -53.6331059 -26.2564896, -53.6331248 -26.2564796, -53.6331462 -26.2564751, -53.6331681 -26.2564765)",1,roundabout
117020510,False,Rua Pernambuco,tertiary,40,True,7.741,"LINESTRING (-53.6328072 -26.2566092, -53.6328133 -26.2566786)",2,
117020437,True,Avenida Paraná,tertiary,40,False,30.628999999999998,"LINESTRING (-53.6328072 -26.2566092, -53.633022 -26.2565297, -53.6330912 -26.2565043)",,
894797728,True,Avenida Paraná,tertiary,40,False,78.002,"LINESTRING (-53.6335741 -26.2563252, -53.6338028 -26.2562432, -53.6343057 -26.2560772)",,
117020532,False,Rua Velci Libardoni,residential,,False,8.88,"LINESTRING (-53.6343057 -26.2560772, -53.6343594 -26.2561409)",,
948968852,False,,trunk_link,,True,11.99,"LINESTRING (-53.6336483 -26.2587663, -53.6337337 -26.2588422)",,
117020454,True,Avenida Washington Luiz,trunk,,False,33.248000000000005,"LINESTRING (-53.6336483 -26.2587663, -53.6338152 -26.2586061, -53.6338759 -26.2585478)",,
117020523,True,Avenida Washington Luiz,trunk,,False,60.031,"LINESTRING (-53.6337337 -26.2588422, -53.6333186 -26.2592332)",,
948968852,False,,trunk_link,,False,11.99,"LINESTRING (-53.6337337 -26.2588422, -53.6336483 -26.2587663)",,
948968853,False,,trunk_link,,True,11.47,"LINESTRING (-53.631926 -26.2604202, -53.6320122 -26.2604885)",,
117020454,True,Avenida Washington Luiz,trunk,,False,124.561,"LINESTRING (-53.631926 -26.2604202, -53.6326419 -26.2597179, -53.6327688 -26.2595934)",,
117020523,True,Avenida Washington Luiz,trunk,,False,61.405,"LINESTRING (-53.6320122 -26.2604885, -53.6315844 -26.2608857)",,
948968853,False,,trunk_link,,False,11.47,"LINESTRING (-53.6320122 -26.2604885, -53.631926 -26.2604202)",,
117020476,True,Avenida Adelino Mangini,tertiary,,False,65.054,"LINESTRING (-53.6335727 -26.2577353, -53.6333528 -26.2571845)",,
948997778,False,,tertiary_link,,True,8.692,"LINESTRING (-53.6335727 -26.2577353, -53.6336531 -26.2577051)",,
117020493,True,Avenida Prefeito Adelino Mangini,tertiary,,False,89.967,"LINESTRING (-53.6336531 -26.2577051, -53.6339592 -26.2584662)",,
948997778,False,,tertiary_link,,False,8.692,"LINESTRING (-53.6336531 -26.2577051, -53.6335727 -26.2577353)",,
553353915,True,Avenida Washington Luiz,tertiary,,False,40.118,"LINESTRING (-53.6362758 -26.256366, -53.6360061 -26.2566337)",,
962497170,False,,tertiary_link,,True,8.612,"LINESTRING (-53.6362758 -26.256366, -53.6362116 -26.2563142)",,
553353914,True,Avenida Washington Luiz,tertiary,,False,50.801,"LINESTRING (-53.6362116 -26.2563142, -53.6365581 -26.2559793)",,
962497170,False,,tertiary_link,,False,8.612,"LINESTRING (-53.6362116 -26.2563142, -53.6362758 -26.256366)",,
