osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,junction,lanes
55454690,,Konrad-Adenauer-Straße,tertiary,False,False,153.627,"LINESTRING (6.1171479 50.9654055, 6.1167665 50.9654864, 6.1165844 50.965525, 6.1165572 50.9655308, 6.1164898 50.9655451, 6.1164065 50.9655681, 6.1163084 50.9655953, 6.1162756 50.9656044, 6.1161439 50.9656409, 6.115846 50.9657233, 6.1157734 50.9657434, 6.1157438 50.9657516, 6.1157224 50.9657586, 6.1154382 50.9658468, 6.1153936 50.9658606, 6.1153263 50.9658866, 6.1152826 50.9659044, 6.1151479 50.965962)",30,,,
"[55454690, 23137467]",,Konrad-Adenauer-Straße,tertiary,False,True,155.957,"LINESTRING (6.1171479 50.9654055, 6.1172998 50.9653755, 6.117474 50.9653379, 6.1176181 50.9653026, 6.1178535 50.9652208, 6.1180577 50.9651293, 6.1182886 50.9650263, 6.1183223 50.9650113, 6.1187856 50.9647962, 6.1190421 50.9646868)",30,,,
102157259,,Brucknerstraße,residential,False,True,82.05399999999999,"LINESTRING (6.1171479 50.9654055, 6.1169482 50.9652109, 6.1169017 50.9651657, 6.116823 50.965089, 6.1167242 50.9649956, 6.1166359 50.964912, 6.1165052 50.9647885)",,,,
23137466,,Herzog-Wilhelm-Straße,tertiary,False,False,28.151,"LINESTRING (6.117563 50.9618092, 6.1176904 50.9618751, 6.1178736 50.9619699)",50,,,
23137466,,Herzog-Wilhelm-Straße,tertiary,False,True,264.98300000000006,"LINESTRING (6.117563 50.9618092, 6.1172489 50.9616523, 6.116853 50.9614547, 6.1167738 50.9614151, 6.1167092 50.9613828, 6.116626 50.9613412, 6.1163652 50.961211, 6.1162821 50.9611695, 6.1161232 50.9610896, 6.1160578 50.9610567, 6.1156722 50.9608629, 6.1156234 50.9608383, 6.1153935 50.9607062, 6.115309 50.9606576, 6.1152773 50.9606394, 6.1150362 50.9605009, 6.1149528 50.9604487, 6.1147571 50.9603262, 6.1146736 50.960274)",50,,,
"[39536361, 39536362]",,"['An Frankenruh', 'Vogteistraße']",residential,False,False,413.274,"LINESTRING (6.117563 50.9618092, 6.1175188 50.9618455, 6.1172611 50.962024, 6.1171807 50.9620779, 6.1171476 50.9621001, 6.117115 50.9621221, 6.1169787 50.9622134, 6.1169356 50.9622424, 6.1168791 50.9622803, 6.1167806 50.962341, 6.116741 50.9623655, 6.1166363 50.96243, 6.1166023 50.9624509, 6.1164885 50.9625211, 6.116469 50.9625331, 6.1164468 50.9625539, 6.1164129 50.9625857, 6.1164147 50.9626157, 6.1164155 50.9626282, 6.1164327 50.9626552, 6.1167588 50.9628336, 6.1168085 50.9628605, 6.1171279 50.9630336, 6.1171777 50.9630591, 6.1175897 50.9632698, 6.1176858 50.9633215, 6.1177461 50.963354, 6.1178382 50.9634096, 6.1179429 50.9634646, 6.1181572 50.9635773, 6.1183467 50.9636769, 6.1183613 50.963685, 6.1184926 50.963758, 6.1185295 50.9637947, 6.1185467 50.9638272, 6.1185515 50.9638458, 6.1185551 50.9639244, 6.1185814 50.9640241, 6.1186645 50.9641524, 6.118738 50.9642575, 6.1189713 50.9645741)",,,,
24043670,,Konrad-Adenauer-Straße,tertiary,False,True,56.872,"LINESTRING (6.1238789 50.9628972, 6.1243269 50.962908, 6.1246906 50.9629115)",20,,,
48297595,,Konrad-Adenauer-Straße,tertiary,False,False,58.389,"LINESTRING (6.1238789 50.9628972, 6.1236499 50.9629014, 6.123322 50.9629262, 6.1230527 50.9629593)",20,,,
"[1099428763, 40027023]",,"['Friedlandplatz', 'Alte Poststraße']",residential,False,True,137.542,"LINESTRING (6.1238789 50.9628972, 6.1238592 50.9627764, 6.1237844 50.9626426, 6.1237164 50.96252, 6.1236065 50.9623468, 6.1232927 50.962425, 6.1232268 50.9624508, 6.1231897 50.9624953, 6.1230008 50.9625427, 6.1226762 50.962617)",,,,
12995730,,Martin-Heyden-Straße,residential,True,False,223.80399999999997,"LINESTRING (6.1196664 50.9647687, 6.1197424 50.9647819, 6.1197734 50.9647873, 6.1199304 50.9648603, 6.1201033 50.9649621, 6.1201859 50.9650108, 6.1203103 50.965084, 6.1204818 50.9651871, 6.1207384 50.9653423, 6.1207711 50.965362, 6.1209091 50.9654138, 6.1209655 50.9654223, 6.1210981 50.9654424, 6.1212298 50.9654451, 6.1212978 50.9654465, 6.1214624 50.9654335, 6.1216087 50.9654221, 6.1219323 50.9653967, 6.1220699 50.9654013, 6.1221713 50.9654048, 6.1221894 50.9654097, 6.1222511 50.9654245, 6.1222625 50.9654299, 6.1223047 50.9654499, 6.1223401 50.9654667, 6.1224145 50.9655095)",30,,,
24943828,,Heinsberger Straße,tertiary,True,False,73.042,"LINESTRING (6.1196664 50.9647687, 6.1196307 50.9648529, 6.1195391 50.9650008, 6.1194415 50.9651581, 6.1194242 50.9651861, 6.1194043 50.9652445, 6.1193534 50.9653934)",50,,,
12995784,,Martin-Heyden-Straße,residential,False,False,25.803,"LINESTRING (6.1238539 50.9671894, 6.1239431 50.9672539, 6.1239628 50.967268, 6.1240991 50.9673626)",50,,,
12995784,,Martin-Heyden-Straße,residential,False,True,60.207,"LINESTRING (6.1238539 50.9671894, 6.1238312 50.9671542, 6.1237904 50.9670911, 6.1237298 50.9669974, 6.123724 50.9669883, 6.1236215 50.9668299, 6.1236156 50.9668206, 6.1235877 50.9667774, 6.1235556 50.9667278, 6.1235298 50.9666879)",50,,,
24908439,,Scheidehecke,residential,False,True,81.919,"LINESTRING (6.1238539 50.9671894, 6.1233118 50.9673572, 6.1230993 50.9674494, 6.1229862 50.9675167, 6.1228882 50.967575, 6.1228756 50.9675825)",30,,,
42880737,,Herzog-Wilhelm-Straße,tertiary,False,False,59.794,"LINESTRING (6.1206049 50.96316, 6.1212193 50.9633474, 6.1213603 50.9634085)",30,,,
"[23137466, 168506665, 81974954, 60263407]",,Herzog-Wilhelm-Straße,tertiary,False,True,235.253,"LINESTRING (6.1206049 50.96316, 6.1204186 50.9631134, 6.1202949 50.9630841, 6.120149 50.9630549, 6.1199679 50.9630106, 6.1199016 50.9629927, 6.1197279 50.9629367, 6.1195133 50.962855, 6.1194585 50.9628341, 6.119442 50.9628258, 6.1192845 50.9627462, 6.119054 50.9626297, 6.118994 50.9625993, 6.1187395 50.9624517, 6.1186002 50.9623691, 6.1183692 50.9622422, 6.1180916 50.9620897, 6.1178736 50.9619699)","['50', '30']",,,
"[812755894, 42880735]",,Haihover Straße,residential,True,False,115.913,"LINESTRING (6.1206049 50.96316, 6.1206773 50.9630362, 6.1207378 50.9629813, 6.1212339 50.9624572, 6.1213353 50.962346, 6.1214185 50.9622547)","['20', '30']",,,
