osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,access,width,junction,est_width
8694306,Friedrich-Ebert-Straße,living_street,True,False,17.038,"LINESTRING (8.115047 49.8393571, 8.1150731 49.8395094)",1,,,,,,
23498975,Stolpereck,residential,False,False,91.06599999999999,"LINESTRING (8.115047 49.8393571, 8.1154654 49.839233, 8.1156142 49.839134, 8.1157668 49.8390326, 8.1158575 49.8389723, 8.1159595 49.8388278)",,,,,,,
27022095,Große Albanusstraße,residential,False,False,48.281,"LINESTRING (8.1168814 49.8377553, 8.1173301 49.8374316)",,,,,,,
31574317,Friedrich-Ebert-Straße,living_street,False,True,42.107,"LINESTRING (8.1168814 49.8377553, 8.1164251 49.8379936)",1,,,,,,
23498981,Pariser Straße,living_street,False,True,50.62,"LINESTRING (8.1168814 49.8377553, 8.1169776 49.8378223, 8.1170453 49.8378729, 8.1173562 49.8380921)",1,,,,,,
24682920,Pariser Straße,living_street,False,True,107.90200000000002,"LINESTRING (8.1168814 49.8377553, 8.1160475 49.8374279, 8.1155838 49.8372646)",,,,,,,
"[8694304, 977124573]",Rommersheimer Straße,tertiary,False,True,39.758,"LINESTRING (8.1103457 49.838235, 8.1104528 49.8383119, 8.1106865 49.8384799, 8.110716 49.8385011)",2,K 16,50,,,,
9955030,Breslauer Straße,residential,False,True,163.321,"LINESTRING (8.1103457 49.838235, 8.1103862 49.8382181, 8.1106905 49.8380906, 8.111811 49.8376503, 8.1122367 49.8374215)",,,,permissive,,,
24830709,Obere Talstraße,residential,False,False,17.191,"LINESTRING (8.1123981 49.8375358, 8.1122367 49.8374215)",,,,permissive,,,
24830709,Obere Talstraße,residential,False,True,17.191,"LINESTRING (8.1122367 49.8374215, 8.1123981 49.8375358)",,,,permissive,,,
24954899,Obere Talstraße,residential,False,False,122.535,"LINESTRING (8.1122367 49.8374215, 8.1110447 49.836632)",,,30,permissive,,,
9955030,Breslauer Straße,residential,False,False,163.321,"LINESTRING (8.1122367 49.8374215, 8.111811 49.8376503, 8.1106905 49.8380906, 8.1103862 49.8382181, 8.1103457 49.838235)",,,,permissive,,,
23955637,Pestalozzistraße,residential,False,False,165.858,"LINESTRING (8.1100969 49.8404321, 8.1104548 49.8406227, 8.1118805 49.8413817)",,,30,,,,
23955644,Hölderlinweg,residential,False,False,151.81400000000002,"LINESTRING (8.1100969 49.8404321, 8.1105759 49.839897, 8.110334 49.839712, 8.1103429 49.8394606, 8.1105938 49.8393537, 8.1106868 49.8393515)",,,30,,,,
23276132,Obere Schulstraße,residential,False,False,47.996,"LINESTRING (8.1118805 49.8413817, 8.1116051 49.8417751)",2,,30,,,,
23276133,Obere Schulstraße,living_street,False,True,88.961,"LINESTRING (8.1118805 49.8413817, 8.1121771 49.8409682, 8.1124014 49.8406556)",2,,,,,,
23955637,Pestalozzistraße,residential,False,True,165.858,"LINESTRING (8.1118805 49.8413817, 8.1104548 49.8406227, 8.1100969 49.8404321)",,,30,,,,
23276120,Zum Oberfeld,residential,False,True,51.035,"LINESTRING (8.121794 49.8393592, 8.1213456 49.8397156)",,,30,,,,
"[23276120, 23498946]","['Zum Oberfeld', 'An der alten B 40']",residential,False,False,185.09,"LINESTRING (8.121794 49.8393592, 8.1221082 49.8391855, 8.1234532 49.8402814)",,,30,,,,
23498949,Zum Oberfeld,residential,False,False,107.775,"LINESTRING (8.121794 49.8393592, 8.1211802 49.8388432, 8.120823 49.8386227)",,,30,,6.5,,
1190112994,Pariser Straße,residential,False,False,180.29000000000002,"LINESTRING (8.1212011 49.8397357, 8.1203059 49.8393916, 8.1190327 49.8389153)",,,30,,,,
1197603211,Pariser Straße,residential,True,False,11.646,"LINESTRING (8.1212011 49.8397357, 8.1212411 49.8397122, 8.1212941 49.8397049, 8.1213456 49.8397156)",,,,,,roundabout,
23276120,Zum Oberfeld,residential,False,False,51.035,"LINESTRING (8.1213456 49.8397156, 8.121794 49.8393592)",,,30,,,,
1197603212,Pariser Straße,residential,True,False,11.033999999999999,"LINESTRING (8.1213456 49.8397156, 8.1213805 49.8397399, 8.1213932 49.8397719, 8.1213808 49.839804)",,,,,,roundabout,
192764377,Pariser Straße,residential,False,True,111.543,"LINESTRING (8.1213808 49.839804, 8.1216606 49.8399038, 8.1220202 49.8400452, 8.1227141 49.8403203)",,,30,,,,
1197603212,Pariser Straße,residential,True,False,12.701,"LINESTRING (8.1213808 49.839804, 8.1213392 49.839831, 8.1212815 49.8398392, 8.1212262 49.8398259)",,,,,,roundabout,
31574317,Friedrich-Ebert-Straße,living_street,False,False,42.107,"LINESTRING (8.1164251 49.8379936, 8.1168814 49.8377553)",1,,,,,,
"[23498974, 23276126]","['Mühlbachstraße', 'Neunröhrenplatz']",residential,False,False,145.42600000000002,"LINESTRING (8.1164251 49.8379936, 8.1165086 49.8379823, 8.1168787 49.8380737, 8.1169059 49.838118, 8.1168362 49.8382077, 8.1165473 49.8386674, 8.1162989 49.8388841, 8.1162217 49.8389514)",,,,,,,
23276129,Friedrich-Ebert-Straße,living_street,True,False,54.969,"LINESTRING (8.1164251 49.8379936, 8.1161245 49.8381105, 8.1157926 49.8382315, 8.1157621 49.8382415)",1,,,,,,
23276127,Stolpereck,living_street,False,False,23.291,"LINESTRING (8.1162217 49.8389514, 8.1160695 49.8388796, 8.1159595 49.8388278)",,,,,,,
23498974,Mühlbachstraße,residential,False,False,28.317,"LINESTRING (8.1162217 49.8389514, 8.1161245 49.8390722, 8.116209 49.8391775)",,,,,,,
"[23276126, 23498974]","['Mühlbachstraße', 'Neunröhrenplatz']",residential,False,True,145.426,"LINESTRING (8.1162217 49.8389514, 8.1162989 49.8388841, 8.1165473 49.8386674, 8.1168362 49.8382077, 8.1169059 49.838118, 8.1168787 49.8380737, 8.1165086 49.8379823, 8.1164251 49.8379936)",,,,,,,
8694306,Friedrich-Ebert-Straße,living_street,True,False,44.882999999999996,"LINESTRING (8.1157621 49.8382415, 8.11551 49.8383528, 8.1153689 49.8384205, 8.1152718 49.8384895)",1,,,,,,
"[23276128, 23276127]",Stolpereck,"['residential', 'living_street']",False,True,79.089,"LINESTRING (8.1157621 49.8382415, 8.1160407 49.8384804, 8.1160065 49.838513, 8.1158391 49.8386726, 8.115847 49.8387259, 8.1158487 49.8387372, 8.1159595 49.8388278)",,,,,,,
23276130,Obere Schulstraße,living_street,True,False,124.267,"LINESTRING (8.1131809 49.8396575, 8.1124014 49.8406556)",1,,,,,,
37329383,Rommersheimer Straße,residential,False,False,126.495,"LINESTRING (8.1131809 49.8396575, 8.1139398 49.8399649, 8.1146972 49.840238)",1,,30,,,,
"[23276160, 37329383]",Rommersheimer Straße,residential,False,True,145.783,"LINESTRING (8.1131809 49.8396575, 8.112454 49.8393373, 8.1124004 49.8393101, 8.1121454 49.8391805, 8.1120219 49.8391209, 8.111961 49.8390915, 8.1117377 49.8389892, 8.1115295 49.8388937)","['2', '1']",,"['50', '30']",,,,
23276131,Schulstraße,living_street,False,False,141.56799999999998,"LINESTRING (8.1124014 49.8406556, 8.1141399 49.8411065, 8.114233 49.8411306)",,,,,,,
23276133,Obere Schulstraße,living_street,False,False,88.961,"LINESTRING (8.1124014 49.8406556, 8.1121771 49.8409682, 8.1118805 49.8413817)",2,,,,,,
23276132,Obere Schulstraße,residential,False,False,76.561,"LINESTRING (8.1116051 49.8417751, 8.1111961 49.8424111)",2,,30,,,,
23276132,Obere Schulstraße,residential,False,True,47.996,"LINESTRING (8.1116051 49.8417751, 8.1118805 49.8413817)",2,,30,,,,
23276134,Grundweg,residential,False,False,164.168,"LINESTRING (8.1116051 49.8417751, 8.112526 49.842057, 8.1130008 49.8424029, 8.1133796 49.8425823, 8.1134471 49.8426142)",,,30,,,,
23276131,Schulstraße,living_street,False,True,141.56799999999998,"LINESTRING (8.114233 49.8411306, 8.1141399 49.8411065, 8.1124014 49.8406556)",,,,,,,
37329384,Friedrich-Ebert-Straße,residential,False,False,67.074,"LINESTRING (8.114233 49.8411306, 8.1142032 49.8411825, 8.1140431 49.8414777, 8.1138969 49.8416931)",2,,30,,,,
"[23267035, 1239665879]",Friedrich-Ebert-Straße,residential,False,True,106.62599999999999,"LINESTRING (8.114233 49.8411306, 8.1142375 49.8410425, 8.1143614 49.8408297, 8.1144977 49.8406144, 8.1146271 49.8404851, 8.1146877 49.8403922, 8.1147085 49.8403421, 8.1146972 49.840238)",2,,"['20', '30']",,,,
37329384,Friedrich-Ebert-Straße,residential,False,False,10.139,"LINESTRING (8.1134471 49.8426142, 8.1134063 49.8427015)",2,,30,,,,
37329384,Friedrich-Ebert-Straße,residential,False,True,107.381,"LINESTRING (8.1134471 49.8426142, 8.1138969 49.8416931)",2,,30,,,,
23276134,Grundweg,residential,False,True,164.168,"LINESTRING (8.1134471 49.8426142, 8.1133796 49.8425823, 8.1130008 49.8424029, 8.112526 49.842057, 8.1116051 49.8417751)",,,30,,,,
23276135,Breitenweg,residential,False,False,161.852,"LINESTRING (8.1132682 49.8429876, 8.1131892 49.8429606, 8.1124067 49.8427383, 8.1111961 49.8424111)",,,30,,,,
37329384,Friedrich-Ebert-Straße,residential,False,True,33.32,"LINESTRING (8.1132682 49.8429876, 8.1133773 49.842765, 8.1134063 49.8427015)",2,,30,,,,
23276132,Obere Schulstraße,residential,False,False,90.589,"LINESTRING (8.1111961 49.8424111, 8.1106835 49.8431557)",2,,30,,,,
23276132,Obere Schulstraße,residential,False,True,76.561,"LINESTRING (8.1111961 49.8424111, 8.1116051 49.8417751)",2,,30,,,,
23276135,Breitenweg,residential,False,True,161.852,"LINESTRING (8.1111961 49.8424111, 8.1124067 49.8427383, 8.1131892 49.8429606, 8.1132682 49.8429876)",,,30,,,,
23955666,Altmünsterstraße,residential,True,False,153.223,"LINESTRING (8.1154751 49.842094, 8.1166314 49.8425514, 8.1166515 49.8430544)",,,30,,,,
24682929,Hermannstraße,residential,False,False,90.85,"LINESTRING (8.1154751 49.842094, 8.115302 49.8425283, 8.1152783 49.8428966)",2,,30,,,,
24682929,Hermannstraße,residential,False,True,50.248999999999995,"LINESTRING (8.1154751 49.842094, 8.1157058 49.8417765, 8.1157781 49.8416866)",2,,30,,,,
119053771,Hermannstraße,living_street,False,False,36.554,"LINESTRING (8.1160308 49.8414011, 8.1157781 49.8416866)",,,,,,,
23498970,Untere Laugasse,residential,False,False,136.743,"LINESTRING (8.1160308 49.8414011, 8.1170333 49.8417735, 8.1177618 49.8418884)",,,30,,,,
119053771,Hermannstraße,living_street,False,True,49.336,"LINESTRING (8.1160308 49.8414011, 8.1161527 49.8411679, 8.1162798 49.8409881)",,,,,,,
119053771,Hermannstraße,living_street,False,True,36.554,"LINESTRING (8.1157781 49.8416866, 8.1160308 49.8414011)",,,,,,,
23276157,Bleichstraße,residential,False,False,102.13300000000001,"LINESTRING (8.1157781 49.8416866, 8.1165204 49.84193, 8.11708 49.8420536)",,,30,,,,
24682929,Hermannstraße,residential,False,False,50.248999999999995,"LINESTRING (8.1157781 49.8416866, 8.1157058 49.8417765, 8.1154751 49.842094)",2,,30,,,,
23276157,Bleichstraße,residential,False,True,102.13300000000001,"LINESTRING (8.11708 49.8420536, 8.1165204 49.84193, 8.1157781 49.8416866)",,,30,,,,
23276159,Stelzerstraße,residential,False,False,60.658,"LINESTRING (8.1177804 49.8414912, 8.1178631 49.8409483)",,,30,,,,
23276159,Stelzerstraße,residential,False,True,44.187,"LINESTRING (8.1177804 49.8414912, 8.1177618 49.8418884)",,,30,,,,
"[23498968, 24682767]",Mittlere Laugasse,"['residential', 'living_street']",False,True,123.476,"LINESTRING (8.1177804 49.8414912, 8.1173216 49.8414412, 8.1162798 49.8409881)",,,30,,,,
31574308,Pfarrstraße,living_street,False,False,37.166000000000004,"LINESTRING (8.1179649 49.8389271, 8.1181256 49.8387156, 8.1180989 49.8386184)",1,,,,,,
31574308,Pfarrstraße,living_street,False,True,48.808,"LINESTRING (8.1179649 49.8389271, 8.1178427 49.8389581, 8.1173626 49.8391302)",1,,,,,,
23498981,Pariser Straße,living_street,False,False,79.178,"LINESTRING (8.1180989 49.8386184, 8.1177796 49.8384023, 8.1174878 49.8381781, 8.1173562 49.8380921)",1,,,,,,
23498981,Pariser Straße,living_street,False,True,74.938,"LINESTRING (8.1180989 49.8386184, 8.1184766 49.8387692, 8.1188732 49.8388678, 8.1190327 49.8389153)",1,,,,,,
31574308,Pfarrstraße,living_street,False,True,37.166000000000004,"LINESTRING (8.1180989 49.8386184, 8.1181256 49.8387156, 8.1179649 49.8389271)",1,,,,,,
"[23276120, 23498946]","['Zum Oberfeld', 'An der alten B 40']",residential,False,True,185.09,"LINESTRING (8.1234532 49.8402814, 8.1221082 49.8391855, 8.121794 49.8393592)",,,30,,,,
23498948,Ahornweg,residential,False,False,156.274,"LINESTRING (8.1227141 49.8403203, 8.1226929 49.8403931, 8.122781 49.8412436, 8.1228693 49.8412836, 8.1235011 49.8412443)",,,,,,,2.5
192764377,Pariser Straße,residential,False,False,111.543,"LINESTRING (8.1227141 49.8403203, 8.1220202 49.8400452, 8.1216606 49.8399038, 8.1213808 49.839804)",,,30,,,,
24715084,Kastanienring,living_street,False,True,11.008,"LINESTRING (8.1235011 49.8412443, 8.1235239 49.8413422)",,,,,,,
23498948,Ahornweg,residential,False,True,156.274,"LINESTRING (8.1235011 49.8412443, 8.1228693 49.8412836, 8.122781 49.8412436, 8.1226929 49.8403931, 8.1227141 49.8403203)",,,,,,,2.5
24715095,Ahornweg,residential,False,False,22.366,"LINESTRING (8.1235011 49.8412443, 8.1236413 49.8412311, 8.1236671 49.8413396)",,,,,,,2.5
23498949,Zum Oberfeld,residential,False,False,10.535,"LINESTRING (8.120823 49.8386227, 8.1206767 49.8386141)",,,30,,6.5,,
23498949,Zum Oberfeld,residential,False,True,107.775,"LINESTRING (8.120823 49.8386227, 8.1211802 49.8388432, 8.121794 49.8393592)",,,30,,6.5,,
23498953,Zum Oberfeld,residential,False,True,48.641999999999996,"LINESTRING (8.120823 49.8386227, 8.1208115 49.8384673, 8.120874 49.8383916, 8.1211185 49.838275)",,,30,,4.2,,
23498949,Zum Oberfeld,residential,False,True,10.535,"LINESTRING (8.1206767 49.8386141, 8.120823 49.8386227)",,,30,,6.5,,
23498949,Zum Oberfeld,residential,False,False,91.202,"LINESTRING (8.1206767 49.8386141, 8.120433 49.8386103, 8.1202233 49.8385535, 8.1201943 49.8385262, 8.1202175 49.8384394, 8.1204013 49.8384077, 8.1204939 49.8384717, 8.1206767 49.8386141)",,,30,,6.5,,
23498949,Zum Oberfeld,residential,False,True,91.202,"LINESTRING (8.1206767 49.8386141, 8.1204939 49.8384717, 8.1204013 49.8384077, 8.1202175 49.8384394, 8.1201943 49.8385262, 8.1202233 49.8385535, 8.120433 49.8386103, 8.1206767 49.8386141)",,,30,,6.5,,
23498953,Zum Oberfeld,residential,False,False,48.641999999999996,"LINESTRING (8.1211185 49.838275, 8.120874 49.8383916, 8.1208115 49.8384673, 8.120823 49.8386227)",,,30,,4.2,,
23498955,Gabsheimer Weg,residential,False,False,168.221,"LINESTRING (8.1205883 49.8378073, 8.1203086 49.8379543, 8.1200722 49.8380734, 8.1194392 49.8384655, 8.1193353 49.8385803, 8.1190327 49.8389153)",,,30,,,,
23498965,Pfarrstraße,living_street,True,False,66.937,"LINESTRING (8.1154724 49.8399201, 8.1162054 49.8395474)",,,,,,,
23498977,Hermannstraße,living_street,False,True,30.69,"LINESTRING (8.1154724 49.8399201, 8.1150953 49.8397896)",,,,,,,
31574299,Hermannstraße,living_street,False,False,50.55,"LINESTRING (8.1154724 49.8399201, 8.1156266 49.840005, 8.1160281 49.8401995)",,,,,,,
23498978,Steinstraße,living_street,False,True,38.94,"LINESTRING (8.1160281 49.8401995, 8.1162424 49.840026, 8.1162693 49.8398988)",,,,,,,
31574299,Hermannstraße,living_street,False,True,50.55,"LINESTRING (8.1160281 49.8401995, 8.1156266 49.840005, 8.1154724 49.8399201)",,,,,,,
119053771,Hermannstraße,living_street,False,False,40.564,"LINESTRING (8.1160281 49.8401995, 8.1161415 49.8402727, 8.1164373 49.8404513)",,,,,,,
23499048,Pfarrstraße,living_street,False,False,23.504,"LINESTRING (8.1162054 49.8395474, 8.1164797 49.8394317)",,,,,,,
24600132,Steinstraße,living_street,True,False,39.342,"LINESTRING (8.1162054 49.8395474, 8.1162693 49.8398988)",,,,,,,
23498974,Mühlbachstraße,residential,False,True,34.29,"LINESTRING (8.1164797 49.8394317, 8.116209 49.8391775)",,,,,,,
23499048,Pfarrstraße,living_street,False,True,23.504,"LINESTRING (8.1164797 49.8394317, 8.1162054 49.8395474)",,,,,,,
31574308,Pfarrstraße,living_street,False,False,71.644,"LINESTRING (8.1164797 49.8394317, 8.1173626 49.8391302)",1,,,,,,
23498973,Pfarrstraße,residential,False,False,26.645,"LINESTRING (8.1173626 49.8391302, 8.1176068 49.8393108)",,,,,,,
31574308,Pfarrstraße,living_street,False,True,71.644,"LINESTRING (8.1173626 49.8391302, 8.1164797 49.8394317)",1,,,,,,
31574308,Pfarrstraße,living_street,False,False,48.808,"LINESTRING (8.1173626 49.8391302, 8.1178427 49.8389581, 8.1179649 49.8389271)",1,,,,,,
23498969,Steinstraße,living_street,False,False,26.252,"LINESTRING (8.1162693 49.8398988, 8.1166098 49.8398121)",,,,,,,
23498978,Steinstraße,living_street,False,False,38.94,"LINESTRING (8.1162693 49.8398988, 8.1162424 49.840026, 8.1160281 49.8401995)",,,,,,,
119053771,Hermannstraße,living_street,False,False,42.853,"LINESTRING (8.1164792 49.8406248, 8.1162798 49.8409881)",,,,,,,
119053771,Hermannstraße,living_street,False,True,19.525,"LINESTRING (8.1164792 49.8406248, 8.1164373 49.8404513)",,,,,,,
23498967,Obere Laugasse,living_street,False,False,105.70599999999999,"LINESTRING (8.1164792 49.8406248, 8.1173742 49.8408593, 8.1178631 49.8409483)",,,,,,,
23276159,Stelzerstraße,residential,False,True,60.658,"LINESTRING (8.1178631 49.8409483, 8.1177804 49.8414912)",,,30,,,,
23498967,Obere Laugasse,living_street,False,True,105.70599999999999,"LINESTRING (8.1178631 49.8409483, 8.1173742 49.8408593, 8.1164792 49.8406248)",,,,,,,
31102294,Stelzerstraße,residential,True,False,231.06400000000002,"LINESTRING (8.1178631 49.8409483, 8.1180134 49.8406389, 8.1181097 49.8403529, 8.1180368 49.8399845, 8.1178161 49.8395691, 8.117903 49.8390701, 8.1179649 49.8389271)",,,,,,,
119053771,Hermannstraße,living_street,False,True,42.853,"LINESTRING (8.1162798 49.8409881, 8.1164792 49.8406248)",,,,,,,
"[23498968, 24682767]",Mittlere Laugasse,"['living_street', 'residential']",False,False,123.476,"LINESTRING (8.1162798 49.8409881, 8.1173216 49.8414412, 8.1177804 49.8414912)",,,30,,,,
119053771,Hermannstraße,living_street,False,False,49.336,"LINESTRING (8.1162798 49.8409881, 8.1161527 49.8411679, 8.1160308 49.8414011)",,,,,,,
23498969,Steinstraße,living_street,False,True,26.252,"LINESTRING (8.1166098 49.8398121, 8.1162693 49.8398988)",,,,,,,
24600133,Hermannstraße,living_street,False,False,18.477,"LINESTRING (8.1164373 49.8404513, 8.1165648 49.8403069)",,,,,,,
119053771,Hermannstraße,living_street,False,False,19.525,"LINESTRING (8.1164373 49.8404513, 8.1164792 49.8406248)",,,,,,,
119053771,Hermannstraße,living_street,False,True,40.564,"LINESTRING (8.1164373 49.8404513, 8.1161415 49.8402727, 8.1160281 49.8401995)",,,,,,,
23276159,Stelzerstraße,residential,False,False,44.187,"LINESTRING (8.1177618 49.8418884, 8.1177804 49.8414912)",,,30,,,,
"[24715099, 23276159]",Stelzerstraße,residential,False,True,54.986999999999995,"LINESTRING (8.1177618 49.8418884, 8.1177343 49.8421326, 8.1176968 49.8422889, 8.1176416 49.8423732)",,,30,,,,
23498970,Untere Laugasse,residential,False,True,136.743,"LINESTRING (8.1177618 49.8418884, 8.1170333 49.8417735, 8.1160308 49.8414011)",,,30,,,,
23498973,Pfarrstraße,residential,False,True,26.645,"LINESTRING (8.1176068 49.8393108, 8.1173626 49.8391302)",,,,,,,
23498974,Mühlbachstraße,residential,False,False,34.29,"LINESTRING (8.116209 49.8391775, 8.1164797 49.8394317)",,,,,,,
23498974,Mühlbachstraße,residential,False,True,28.317,"LINESTRING (8.116209 49.8391775, 8.1161245 49.8390722, 8.1162217 49.8389514)",,,,,,,
23498976,Jakobsbrunnenstraße,residential,False,True,95.27799999999999,"LINESTRING (8.116209 49.8391775, 8.115639 49.8394282, 8.1153185 49.8395533, 8.1151804 49.8395057, 8.1150731 49.8395094)",,,,,,,
"[23276128, 23276127]",Stolpereck,"['living_street', 'residential']",False,False,79.089,"LINESTRING (8.1159595 49.8388278, 8.1158487 49.8387372, 8.115847 49.8387259, 8.1158391 49.8386726, 8.1160065 49.838513, 8.1160407 49.8384804, 8.1157621 49.8382415)",,,,,,,
23276127,Stolpereck,living_street,False,True,23.291,"LINESTRING (8.1159595 49.8388278, 8.1160695 49.8388796, 8.1162217 49.8389514)",,,,,,,
23498975,Stolpereck,residential,False,True,91.066,"LINESTRING (8.1159595 49.8388278, 8.1158575 49.8389723, 8.1157668 49.8390326, 8.1156142 49.839134, 8.1154654 49.839233, 8.115047 49.8393571)",,,,,,,
8694306,Friedrich-Ebert-Straße,living_street,True,False,31.203,"LINESTRING (8.1150731 49.8395094, 8.1150901 49.8397558, 8.1150953 49.8397896)",1,,,,,,
23498976,Jakobsbrunnenstraße,residential,False,False,95.27799999999999,"LINESTRING (8.1150731 49.8395094, 8.1151804 49.8395057, 8.1153185 49.8395533, 8.115639 49.8394282, 8.116209 49.8391775)",,,,,,,
23626473,Marktstraße,residential,False,False,45.007,"LINESTRING (8.1155838 49.8372646, 8.1151391 49.8375502)",,,,,,,
24682920,Pariser Straße,living_street,False,True,23.252,"LINESTRING (8.1155838 49.8372646, 8.1153006 49.8371628)",,,,,,,
24682920,Pariser Straße,living_street,False,False,107.90200000000002,"LINESTRING (8.1155838 49.8372646, 8.1160475 49.8374279, 8.1168814 49.8377553)",,,,,,,
23498955,Gabsheimer Weg,residential,False,True,168.221,"LINESTRING (8.1190327 49.8389153, 8.1193353 49.8385803, 8.1194392 49.8384655, 8.1200722 49.8380734, 8.1203086 49.8379543, 8.1205883 49.8378073)",,,30,,,,
23498981,Pariser Straße,living_street,False,False,74.938,"LINESTRING (8.1190327 49.8389153, 8.1188732 49.8388678, 8.1184766 49.8387692, 8.1180989 49.8386184)",1,,,,,,
251906064,Ulmenstraße,residential,True,False,300.535,"LINESTRING (8.1190327 49.8389153, 8.1189186 49.8390376, 8.118785 49.8394007, 8.1188537 49.8401513, 8.1187433 49.8407034, 8.1185567 49.8415734)",,,30,,2.9,,
1190112994,Pariser Straße,residential,False,True,180.29000000000002,"LINESTRING (8.1190327 49.8389153, 8.1203059 49.8393916, 8.1212011 49.8397357)",,,30,,,,
"[23626472, 23713809, 23713810]",Jahnstraße,"['residential', 'living_street']",False,False,267.351,"LINESTRING (8.1181569 49.83564, 8.1175466 49.8358993, 8.1165366 49.8363682, 8.1164591 49.836409, 8.1163533 49.8364607, 8.1161746 49.836548, 8.1160847 49.8365919, 8.1159948 49.8366494, 8.1159303 49.8366946, 8.1153006 49.8371628)",,,,,,,
24682920,Pariser Straße,living_street,False,False,23.252,"LINESTRING (8.1153006 49.8371628, 8.1155838 49.8372646)",,,,,,,
"[23626472, 23713809, 23713810]",Jahnstraße,"['living_street', 'residential']",False,True,267.351,"LINESTRING (8.1153006 49.8371628, 8.1159303 49.8366946, 8.1159948 49.8366494, 8.1160847 49.8365919, 8.1161746 49.836548, 8.1163533 49.8364607, 8.1164591 49.836409, 8.1165366 49.8363682, 8.1175466 49.8358993, 8.1181569 49.83564)",,,,,,,
"[24682920, 23498982]",Pariser Straße,"['living_street', 'residential']",False,True,52.852999999999994,"LINESTRING (8.1153006 49.8371628, 8.1151699 49.8370868, 8.115111 49.8370474, 8.1149669 49.8369001, 8.1148485 49.8368359, 8.1148127 49.8368121)",,,,,,,
23626473,Marktstraße,residential,False,True,32.183,"LINESTRING (8.1148397 49.8377658, 8.1151391 49.8375502)",,,,,,,
23626473,Marktstraße,residential,False,False,54.08,"LINESTRING (8.1148397 49.8377658, 8.1148438 49.837819, 8.1147278 49.8379921, 8.1146856 49.8381308, 8.1147737 49.8382169)",,,,,,,
24228615,Wallstraße,residential,False,False,102.06899999999999,"LINESTRING (8.1148397 49.8377658, 8.1144892 49.837928, 8.1142161 49.838059, 8.1140718 49.8381472, 8.113974 49.8382089, 8.1137487 49.8383517)",,,,,,,
23955644,Hölderlinweg,residential,False,True,151.814,"LINESTRING (8.1106868 49.8393515, 8.1105938 49.8393537, 8.1103429 49.8394606, 8.110334 49.839712, 8.1105759 49.839897, 8.1100969 49.8404321)",,,30,,,,
23955646,Zur Lahmekaut,residential,False,False,14.175,"LINESTRING (8.110866 49.8393862, 8.1110318 49.8394556)",,,,,,,
23955646,Zur Lahmekaut,residential,False,False,71.956,"LINESTRING (8.1110318 49.8394556, 8.1115295 49.8388937)",,,,,,,
23955646,Zur Lahmekaut,residential,False,True,14.175,"LINESTRING (8.1110318 49.8394556, 8.110866 49.8393862)",,,,,,,
23955648,Zur Lahmekaut,residential,False,False,15.156000000000002,"LINESTRING (8.1110318 49.8394556, 8.1110184 49.839496, 8.1110385 49.8395408, 8.1110968 49.8395712)",,,,,,,
