osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,ref,bridge,access
"[24894920, 587297449, 587297448, 24894925, 364703534, 364703545, 1108353019, 266077020]",Hülsenbecke,"['unclassified', 'residential']",False,False,630.7239999999998,,"LINESTRING (7.3738172 51.2938863, 7.37376 51.2937779, 7.3737078 51.2936636, 7.3736234 51.2935066, 7.3733688 51.2929071, 7.3732926 51.2928235, 7.3731581 51.2928147, 7.3730143 51.2928501, 7.3727975 51.2929358, 7.3724034 51.2931017, 7.3721109 51.2932226, 7.3717187 51.2935082, 7.3715627 51.2935887, 7.3713654 51.2936497, 7.3710871 51.2937431, 7.3709096 51.2937941, 7.3705096 51.2939178, 7.3703317 51.2939342, 7.3699683 51.2938353, 7.3698823 51.2938303, 7.3697943 51.2938457, 7.3697036 51.2938862, 7.3695487 51.2940097, 7.3693518 51.294135, 7.3691378 51.2942362, 7.3690256 51.2942682, 7.3689227 51.2942698, 7.3688421 51.2942639, 7.3687503 51.2942439, 7.3684367 51.2940787, 7.3681616 51.2939283, 7.3681161 51.2939035, 7.3680499 51.2938889, 7.3680141 51.2939079, 7.3680044 51.293932, 7.3679873 51.2939907, 7.3679855 51.2940377, 7.367982 51.2941195, 7.3679695 51.2941719, 7.3679104 51.2942311, 7.3678791 51.2942781, 7.3678568 51.2943083, 7.3678031 51.2943418, 7.3677548 51.2943921, 7.3677012 51.294419)",1,,yes,
"[986662354, 986662355, 629194005, 1108353020, 1108353021, 1108353022]",Mittelstraße,tertiary,False,False,607.1880000000001,50,"LINESTRING (7.3738172 51.2938863, 7.3734604 51.2939972, 7.3732098 51.294075, 7.3730686 51.2941188, 7.3723066 51.2943756, 7.3717643 51.2945878, 7.3715153 51.2947009, 7.3712609 51.2948191, 7.3709385 51.2949924, 7.3698936 51.2955546, 7.3696351 51.2956939, 7.3692802 51.2958852, 7.3691297 51.2959663, 7.3684921 51.2963055, 7.367893 51.2966798, 7.367304 51.2970462, 7.3671536 51.2971334, 7.3669757 51.2972291)",2,L 699,,
266077022,Wilhelmshöher Straße,residential,False,True,364.2479999999999,,"LINESTRING (7.3621672 51.2954898, 7.3624441 51.2955159, 7.3627767 51.2955561, 7.3629826 51.2955814, 7.3630502 51.2955897, 7.3633158 51.2955933, 7.3635169 51.2955997, 7.3636618 51.2955729, 7.3639407 51.295489, 7.3641553 51.2954052, 7.3643216 51.2953481, 7.3645845 51.2952609, 7.3648741 51.2951267, 7.3652497 51.2949892, 7.3655715 51.2948617, 7.3658451 51.294741, 7.3660436 51.2946705, 7.3662153 51.294637, 7.3664245 51.2946169, 7.3666605 51.2946068, 7.3669626 51.2945792)",,,,
62224843,Friedrich-Asbeck-Straße,residential,False,True,192.426,50,"LINESTRING (7.3675172 51.2998308, 7.3649918 51.300539)",,,,
"[325376201, 25322227]",Milsper Straße,tertiary,False,True,82.661,50,"LINESTRING (7.3675172 51.2998308, 7.3674664 51.2997284, 7.3674384 51.2996819, 7.3674025 51.2996334, 7.3673062 51.2995313, 7.3672011 51.299445, 7.3670952 51.2993719, 7.3669365 51.2992745, 7.3668511 51.2992318)",,,,
325376200,Milsper Straße,tertiary,False,False,144.016,50,"LINESTRING (7.3675172 51.2998308, 7.3675485 51.2999219, 7.3675699 51.3000116, 7.3675771 51.3001025, 7.3675765 51.3001991, 7.367559 51.3003304, 7.3675261 51.3004828, 7.3674994 51.3005985, 7.3674886 51.3006517, 7.3674805 51.3007059, 7.3674659 51.3008228, 7.3674681 51.3009048, 7.367475 51.3009769, 7.3675016 51.3011176)",,,,
27371136,Herkenegge,residential,False,True,215.32,50,"LINESTRING (7.3718938 51.2974213, 7.3717144 51.2974094, 7.3716321 51.2973841, 7.3714667 51.2973616, 7.3712823 51.2973726, 7.3709375 51.2974611, 7.3707584 51.2974663, 7.3701819 51.2975172, 7.3697871 51.2975139, 7.369447 51.297572, 7.3689229 51.2977396)",,,,
37001226,Wilhelmshöher Straße,residential,False,False,263.669,30,"LINESTRING (7.3677012 51.294419, 7.3677147 51.2945998, 7.3677189 51.2947785, 7.3676791 51.2948529, 7.367643 51.2949205, 7.3675221 51.2950641, 7.3674071 51.2951721, 7.3672023 51.2952391, 7.3670291 51.2952806, 7.3665432 51.295342, 7.3659226 51.2955114, 7.3655511 51.2956413, 7.3653797 51.2957593, 7.3652543 51.2958875)",,,,
266077022,Wilhelmshöher Straße,residential,False,False,54.374,,"LINESTRING (7.3677012 51.294419, 7.3675295 51.2944592, 7.3672774 51.2945162, 7.3671004 51.2945498, 7.3669626 51.2945792)",,,,
"[587297448, 587297449, 24894920, 24894925, 364703534, 364703545, 1108353019, 266077020]",Hülsenbecke,"['residential', 'unclassified']",False,True,630.7239999999999,,"LINESTRING (7.3677012 51.294419, 7.3677548 51.2943921, 7.3678031 51.2943418, 7.3678568 51.2943083, 7.3678791 51.2942781, 7.3679104 51.2942311, 7.3679695 51.2941719, 7.367982 51.2941195, 7.3679855 51.2940377, 7.3679873 51.2939907, 7.3680044 51.293932, 7.3680141 51.2939079, 7.3680499 51.2938889, 7.3681161 51.2939035, 7.3681616 51.2939283, 7.3684367 51.2940787, 7.3687503 51.2942439, 7.3688421 51.2942639, 7.3689227 51.2942698, 7.3690256 51.2942682, 7.3691378 51.2942362, 7.3693518 51.294135, 7.3695487 51.2940097, 7.3697036 51.2938862, 7.3697943 51.2938457, 7.3698823 51.2938303, 7.3699683 51.2938353, 7.3703317 51.2939342, 7.3705096 51.2939178, 7.3709096 51.2937941, 7.3710871 51.2937431, 7.3713654 51.2936497, 7.3715627 51.2935887, 7.3717187 51.2935082, 7.3721109 51.2932226, 7.3724034 51.2931017, 7.3727975 51.2929358, 7.3730143 51.2928501, 7.3731581 51.2928147, 7.3732926 51.2928235, 7.3733688 51.2929071, 7.3736234 51.2935066, 7.3737078 51.2936636, 7.37376 51.2937779, 7.3738172 51.2938863)",1,,yes,
37001226,Wilhelmshöher Straße,residential,False,True,263.669,30,"LINESTRING (7.3652543 51.2958875, 7.3653797 51.2957593, 7.3655511 51.2956413, 7.3659226 51.2955114, 7.3665432 51.295342, 7.3670291 51.2952806, 7.3672023 51.2952391, 7.3674071 51.2951721, 7.3675221 51.2950641, 7.367643 51.2949205, 7.3676791 51.2948529, 7.3677189 51.2947785, 7.3677147 51.2945998, 7.3677012 51.294419)",,,,
"[199696198, 199696203, 199696206, 229799606, 229799607]",Neustraße,secondary,False,False,175.199,50,"LINESTRING (7.3652543 51.2958875, 7.3654251 51.2959356, 7.3655717 51.295992, 7.3656639 51.2960526, 7.3658343 51.2961989, 7.3659479 51.296308, 7.3660925 51.2964496, 7.3665423 51.2968806, 7.3667996 51.2971016)","['2', '3']",L 702,yes,
62224835,Hochstraße,residential,False,False,100.09,50,"LINESTRING (7.3648765 51.2998875, 7.3648879 51.299576, 7.3649266 51.2992535, 7.3649334 51.29918, 7.3649512 51.2989888)",,,,
62224835,Hochstraße,residential,False,True,74.528,50,"LINESTRING (7.3648765 51.2998875, 7.3648373 51.3002743, 7.3648502 51.3003207, 7.3649621 51.3004932, 7.3649918 51.300539)",,,,
62224850,Vom-Hofe-Straße,residential,False,False,157.78,50,"LINESTRING (7.3648765 51.2998875, 7.3651772 51.299842, 7.3654132 51.2998029, 7.3656914 51.2997446, 7.3658187 51.2996998, 7.3659674 51.2996463, 7.3661653 51.2995588, 7.3668511 51.2992318)",,,,
62224843,Friedrich-Asbeck-Straße,residential,False,False,192.426,50,"LINESTRING (7.3649918 51.300539, 7.3675172 51.2998308)",,,,
62224835,Hochstraße,residential,False,False,74.528,50,"LINESTRING (7.3649918 51.300539, 7.3649621 51.3004932, 7.3648502 51.3003207, 7.3648373 51.3002743, 7.3648765 51.2998875)",,,,
62224835,Hochstraße,residential,False,True,92.43599999999998,50,"LINESTRING (7.3649918 51.300539, 7.3651402 51.3008036, 7.3651494 51.300851, 7.3651402 51.3008894, 7.3651081 51.3009186, 7.36494 51.3009805, 7.3647758 51.3010389, 7.3647111 51.3010683, 7.3646757 51.3011168, 7.3646551 51.3012013)",,,,
325376203,Milsper Straße,tertiary,False,True,18.562,50,"LINESTRING (7.3649512 51.2989888, 7.3646913 51.2989506)",,,,
62224835,Hochstraße,residential,False,True,100.08999999999999,50,"LINESTRING (7.3649512 51.2989888, 7.3649334 51.29918, 7.3649266 51.2992535, 7.3648879 51.299576, 7.3648765 51.2998875)",,,,
325376202,Milsper Straße,tertiary,False,False,137.07,50,"LINESTRING (7.3649512 51.2989888, 7.3651061 51.2990098, 7.3653224 51.299032, 7.3656784 51.299053, 7.3661671 51.2990797, 7.3663403 51.2990893, 7.3664884 51.2991036, 7.366613 51.299128, 7.3667271 51.2991682, 7.3668511 51.2992318)",,,,
62224850,Vom-Hofe-Straße,residential,False,True,157.77999999999997,50,"LINESTRING (7.3668511 51.2992318, 7.3661653 51.2995588, 7.3659674 51.2996463, 7.3658187 51.2996998, 7.3656914 51.2997446, 7.3654132 51.2998029, 7.3651772 51.299842, 7.3648765 51.2998875)",,,,
"[325376201, 25322227]",Milsper Straße,tertiary,False,False,82.661,50,"LINESTRING (7.3668511 51.2992318, 7.3669365 51.2992745, 7.3670952 51.2993719, 7.3672011 51.299445, 7.3673062 51.2995313, 7.3674025 51.2996334, 7.3674384 51.2996819, 7.3674664 51.2997284, 7.3675172 51.2998308)",,,,
325376202,Milsper Straße,tertiary,False,True,137.07,50,"LINESTRING (7.3668511 51.2992318, 7.3667271 51.2991682, 7.366613 51.299128, 7.3664884 51.2991036, 7.3663403 51.2990893, 7.3661671 51.2990797, 7.3656784 51.299053, 7.3653224 51.299032, 7.3651061 51.2990098, 7.3649512 51.2989888)",,,,
62224835,Hochstraße,residential,False,False,92.43599999999999,50,"LINESTRING (7.3646551 51.3012013, 7.3646757 51.3011168, 7.3647111 51.3010683, 7.3647758 51.3010389, 7.36494 51.3009805, 7.3651081 51.3009186, 7.3651402 51.3008894, 7.3651494 51.300851, 7.3651402 51.3008036, 7.3649918 51.300539)",,,,
6281079,Finkenberger Weg,residential,False,True,189.085,50,"LINESTRING (7.3713311 51.298481, 7.3706194 51.2982353, 7.3700077 51.2979807, 7.3695399 51.2978988, 7.369076 51.297824, 7.3689917 51.2977917, 7.3689229 51.2977396)",,,,
325376200,Milsper Straße,tertiary,False,True,144.016,50,"LINESTRING (7.3675016 51.3011176, 7.367475 51.3009769, 7.3674681 51.3009048, 7.3674659 51.3008228, 7.3674805 51.3007059, 7.3674886 51.3006517, 7.3674994 51.3005985, 7.3675261 51.3004828, 7.367559 51.3003304, 7.3675765 51.3001991, 7.3675771 51.3001025, 7.3675699 51.3000116, 7.3675485 51.2999219, 7.3675172 51.2998308)",,,,
116296173,Gerhart-Hauptmann-Straße,residential,True,False,48.881,50,"LINESTRING (7.3645979 51.2985376, 7.3647487 51.2987115, 7.3646913 51.2989506)",,,,
116296174,Querstraße,residential,False,False,123.617,,"LINESTRING (7.3645979 51.2985376, 7.3659412 51.2981579, 7.3661535 51.2981665, 7.366236 51.2981906)",,,,permissive
116296174,Querstraße,residential,False,True,123.617,,"LINESTRING (7.366236 51.2981906, 7.3661535 51.2981665, 7.3659412 51.2981579, 7.3645979 51.2985376)",,,,permissive
9717953,Mittelstraße,residential,False,True,10.92,30,"LINESTRING (7.3643145 51.2980353, 7.3641887 51.2980941)",,,,
9717953,Mittelstraße,residential,False,False,206.137,30,"LINESTRING (7.3643145 51.2980353, 7.3644843 51.2979702, 7.3646877 51.297902, 7.3648723 51.2978476, 7.3650753 51.2977921, 7.3651449 51.2977854, 7.365324 51.2977387, 7.3657206 51.2976263, 7.3661213 51.2975165, 7.3663048 51.2974619, 7.3666063 51.297372, 7.3666066 51.2973719, 7.3666536 51.2973566, 7.3668284 51.2972887, 7.3669757 51.2972291)",,,,
"[116356088, 117455743]",August-Bilstein-Straße,residential,False,False,244.444,30,"LINESTRING (7.3643145 51.2980353, 7.364187 51.2975542, 7.364246 51.297524, 7.3647517 51.2974635, 7.3648683 51.2974502, 7.3649797 51.2974295, 7.3650668 51.2974133, 7.3656461 51.2972389, 7.3660377 51.2971718, 7.3664883 51.2971282, 7.3667996 51.2971016)",,,,
25322213,Milsper Straße,tertiary,False,True,31.22,50,"LINESTRING (7.3631152 51.2988264, 7.362946 51.2988157, 7.3626684 51.2987984)",2,,,
325376204,Milsper Straße,tertiary,False,False,110.898,50,"LINESTRING (7.3631152 51.2988264, 7.3632988 51.2988256, 7.3634106 51.2988249, 7.3635357 51.2988232, 7.3639007 51.2988495, 7.3643001 51.2988956, 7.3644367 51.2989148, 7.3646913 51.2989506)",2,,,
325376203,Milsper Straße,tertiary,False,False,18.562,50,"LINESTRING (7.3646913 51.2989506, 7.3649512 51.2989888)",,,,
325376204,Milsper Straße,tertiary,False,True,110.898,50,"LINESTRING (7.3646913 51.2989506, 7.3644367 51.2989148, 7.3643001 51.2988956, 7.3639007 51.2988495, 7.3635357 51.2988232, 7.3634106 51.2988249, 7.3632988 51.2988256, 7.3631152 51.2988264)",2,,,
125483751,,residential,False,False,114.72499999999998,,"LINESTRING (7.3658763 51.2938418, 7.3660855 51.2939844, 7.3662276 51.2940708, 7.3663155 51.2941257, 7.3663349 51.2941378, 7.3664073 51.2941798, 7.3666692 51.2942792, 7.3667694 51.2943173, 7.3668164 51.2943458, 7.3668647 51.2943945, 7.3669626 51.2945792)",,,,
125483751,,residential,False,True,114.72500000000001,,"LINESTRING (7.3669626 51.2945792, 7.3668647 51.2943945, 7.3668164 51.2943458, 7.3667694 51.2943173, 7.3666692 51.2942792, 7.3664073 51.2941798, 7.3663349 51.2941378, 7.3663155 51.2941257, 7.3662276 51.2940708, 7.3660855 51.2939844, 7.3658763 51.2938418)",,,,
266077022,Wilhelmshöher Straße,residential,False,False,364.24799999999993,,"LINESTRING (7.3669626 51.2945792, 7.3666605 51.2946068, 7.3664245 51.2946169, 7.3662153 51.294637, 7.3660436 51.2946705, 7.3658451 51.294741, 7.3655715 51.2948617, 7.3652497 51.2949892, 7.3648741 51.2951267, 7.3645845 51.2952609, 7.3643216 51.2953481, 7.3641553 51.2954052, 7.3639407 51.295489, 7.3636618 51.2955729, 7.3635169 51.2955997, 7.3633158 51.2955933, 7.3630502 51.2955897, 7.3629826 51.2955814, 7.3627767 51.2955561, 7.3624441 51.2955159, 7.3621672 51.2954898)",,,,
266077022,Wilhelmshöher Straße,residential,False,True,54.374,,"LINESTRING (7.3669626 51.2945792, 7.3671004 51.2945498, 7.3672774 51.2945162, 7.3675295 51.2944592, 7.3677012 51.294419)",,,,
