osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,access,bridge,junction
"[526261034, 132152127]",False,,,Haldener Straße,residential,30,True,21.955,"LINESTRING (7.4796806 51.359579, 7.479673 51.3596587, 7.4796618 51.3597761)",,,
23950893,True,,,Elbersufer,residential,30,False,71.244,"LINESTRING (7.4771765 51.3589356, 7.477095 51.3589891, 7.4768445 51.3591472, 7.4764227 51.3593692)",,,
"[23597263, 23597262, 42967087]",False,2,,Rathausstraße,residential,30,False,84.694,"LINESTRING (7.4771765 51.3589356, 7.4771117 51.3589144, 7.4768212 51.3588196, 7.4767646 51.3588011, 7.476747 51.3587945, 7.4762874 51.3586272, 7.4761692 51.3585877, 7.4761111 51.3585652)",destination,yes,
43641237,False,,,Elbersufer,residential,30,False,60.419,"LINESTRING (7.4771765 51.3589356, 7.4772388 51.3588865, 7.4773101 51.3588303, 7.477475 51.3586936, 7.477635 51.3585396, 7.4776738 51.358491)",,,
"[23582520, 241496626]",False,"['4', '2']",,Rathausstraße,residential,30,True,79.859,"LINESTRING (7.4771765 51.3589356, 7.4775431 51.3590569, 7.4776433 51.3590881, 7.478035 51.3592038, 7.4782023 51.35926)",,,
241494905,False,4,B 7,Rembergstraße,primary,50,False,33.452,"LINESTRING (7.4801436 51.3596479, 7.4799042 51.3595884, 7.4796806 51.359579)",,,
27731264,True,1,,Fleyer Straße,residential,50,False,64.863,"LINESTRING (7.4768141 51.3624387, 7.4768065 51.3623801, 7.4767982 51.3623164, 7.47678 51.3619448, 7.4768225 51.36186)",,,
132152226,False,,,Zietenstraße,residential,30,False,142.308,"LINESTRING (7.4769107 51.3617654, 7.47699 51.3617393, 7.4774526 51.3615937, 7.4779282 51.3614459, 7.478727 51.3611728)",,,
"[23941496, 488050391]",False,,,Elfriedenhöhe,residential,30,False,256.686,"LINESTRING (7.4683449 51.3557158, 7.4683423 51.3556491, 7.468365 51.3556073, 7.4684139 51.3555586, 7.4686685 51.3554463, 7.4690151 51.3553109, 7.4691083 51.3552669, 7.4691821 51.3552124, 7.469704 51.3547291, 7.4701197 51.3543312, 7.4701741 51.3542603, 7.4702157 51.3541715, 7.4702389 51.3541012, 7.4702512 51.3540255, 7.4702445 51.3538568)",,,
44130431,False,4,L 700,Bergischer Ring,secondary,50,False,128.089,"LINESTRING (7.4683449 51.3557158, 7.4668127 51.3557654, 7.4665043 51.3557871)",,,
"[423685234, 34918124]",False,"['4', '5']",L 700,Bergischer Ring,secondary,50,True,78.963,"LINESTRING (7.4683449 51.3557158, 7.4687188 51.3556959, 7.4689479 51.3556682, 7.469183 51.3556234, 7.4694397 51.3555494)",,,
42967088,False,,,Frankfurter Straße,tertiary,30,False,19.157,"LINESTRING (7.4783321 51.3541123, 7.4782841 51.3541751, 7.4781996 51.3542632)",,,
"[42967088, 478599705, 478599707]",False,3,,Frankfurter Straße,tertiary,30,True,105.81400000000001,"LINESTRING (7.4772796 51.3552054, 7.4774645 51.3549937, 7.4777526 51.3546969, 7.4780485 51.354384)",,,
"[24046252, 242644349, 755748945, 242644348, 478599709]",True,3,,Frankfurter Straße,tertiary,,False,102.511,"LINESTRING (7.4772796 51.3552054, 7.4771405 51.3554033, 7.4770811 51.3554823, 7.4770366 51.3555489, 7.4769399 51.355678, 7.4768091 51.3558271, 7.4767338 51.3558926, 7.476567 51.3560049)",,,
485134501,False,,,Böhmerstraße,residential,30,True,241.33499999999998,"LINESTRING (7.4702445 51.3538568, 7.4709323 51.35372, 7.4712722 51.3536421, 7.4715587 51.3535768, 7.4716879 51.3535551, 7.4718404 51.3535411, 7.4721077 51.3535378, 7.4721828 51.3535415, 7.4724305 51.3535537, 7.472784 51.3536002, 7.4730524 51.3536532, 7.4733425 51.3537312, 7.4735588 51.3538079)",,,
"[23941496, 488050391]",False,,,Elfriedenhöhe,residential,30,True,256.68600000000004,"LINESTRING (7.4702445 51.3538568, 7.4702512 51.3540255, 7.4702389 51.3541012, 7.4702157 51.3541715, 7.4701741 51.3542603, 7.4701197 51.3543312, 7.469704 51.3547291, 7.4691821 51.3552124, 7.4691083 51.3552669, 7.4690151 51.3553109, 7.4686685 51.3554463, 7.4684139 51.3555586, 7.468365 51.3556073, 7.4683423 51.3556491, 7.4683449 51.3557158)",,,
23941507,False,,,Bergstraße,residential,30,True,65.998,"LINESTRING (7.4739276 51.354035, 7.4734473 51.3543072, 7.4732283 51.3544369)",,,
31144788,False,,,Böhmerstraße,residential,30,False,36.003,"LINESTRING (7.4739276 51.354035, 7.4736418 51.3538507, 7.4735588 51.3538079)",,,
31144788,False,,,Böhmerstraße,residential,30,True,36.003,"LINESTRING (7.4735588 51.3538079, 7.4736418 51.3538507, 7.4739276 51.354035)",,,
485134501,False,,,Böhmerstraße,residential,30,False,241.335,"LINESTRING (7.4735588 51.3538079, 7.4733425 51.3537312, 7.4730524 51.3536532, 7.472784 51.3536002, 7.4724305 51.3535537, 7.4721828 51.3535415, 7.4721077 51.3535378, 7.4718404 51.3535411, 7.4716879 51.3535551, 7.4715587 51.3535768, 7.4712722 51.3536421, 7.4709323 51.35372, 7.4702445 51.3538568)",,,
42967085,False,,,Bahnhofstraße,residential,30,True,193.04,"LINESTRING (7.4695136 51.3596349, 7.4693878 51.3596625, 7.4692799 51.3596864, 7.468866 51.359795, 7.4686103 51.3598564, 7.4683392 51.3599215, 7.4680802 51.3599861, 7.4679002 51.3600329, 7.4677054 51.3600842, 7.4670625 51.3602502, 7.4669335 51.3602809)",,,
"[522212188, 522212190]",True,"['2', '1']",,Karl-Marx-Straße,residential,50,False,94.64,"LINESTRING (7.4695136 51.3596349, 7.4696061 51.3597059, 7.4696242 51.3597327, 7.4696859 51.3598177, 7.469755 51.3599119, 7.4697956 51.3599571, 7.4698388 51.3600053, 7.4699306 51.3600953, 7.4700332 51.3601769, 7.4701479 51.3602572, 7.4702827 51.3603256)",,,
"[264359405, 264353567]",True,"['2', '3']",,Körnerstraße,tertiary,30,False,91.64699999999999,"LINESTRING (7.4714079 51.3598683, 7.4713599 51.3598918, 7.4713082 51.3599202, 7.4711113 51.3600274, 7.4709579 51.3601263, 7.4706388 51.3603, 7.470592 51.3603248, 7.470516 51.360362, 7.4704176 51.3604122)",yes,,
522212079,True,1,,Körnerstraße,residential,30,False,10.883,"LINESTRING (7.4714079 51.3598683, 7.471379 51.3598269, 7.4713643 51.359775)",yes,,
43320667,True,,,,tertiary,30,False,19.101999999999997,"LINESTRING (7.4740519 51.3596549, 7.4740911 51.3596538, 7.4741377 51.3596597, 7.4742026 51.3596788, 7.4742537 51.3597131, 7.4742723 51.3597363)",,,roundabout
23950886,False,,,Holzmüllerstraße,unclassified,30,True,67.502,"LINESTRING (7.4754041 51.3593973, 7.4753549 51.3594273, 7.4752423 51.3594794, 7.4749563 51.3595911, 7.4747809 51.3596568, 7.474592 51.3597289)",,,
23950893,True,,,Elbersufer,residential,30,False,82.333,"LINESTRING (7.4764227 51.3593692, 7.4754384 51.3597821)",,,
31407986,False,2,,Schürmannstraße,residential,30,False,106.757,"LINESTRING (7.4764227 51.3593692, 7.4768719 51.3596231, 7.4775135 51.3599281, 7.4775963 51.3599868)",,,
23950894,False,,,Elbersufer,residential,30,True,57.72,"LINESTRING (7.47472 51.3600433, 7.4754384 51.3597821)",,,
42967086,False,,,Springmannstraße,residential,,True,56.234,"LINESTRING (7.4729694 51.3617466, 7.4729386 51.361732, 7.4728961 51.3617057, 7.4724252 51.3614178, 7.4723886 51.3613944)",,,
31144595,False,,,Neumarktstraße,residential,30,False,141.25799999999998,"LINESTRING (7.4677269 51.3614625, 7.4678566 51.3615874, 7.4679343 51.3616593, 7.4682045 51.3619103, 7.4684211 51.3621081, 7.4684306 51.3621417, 7.4685267 51.362229, 7.468697 51.3623883, 7.4687669 51.3624516, 7.4688459 51.3625199)",,,
"[241498293, 241498294]",False,5,,Körnerstraße,tertiary,50,True,95.202,"LINESTRING (7.4677269 51.3614625, 7.4675502 51.3615603, 7.4674631 51.3616039, 7.46739 51.3616405, 7.4671567 51.3617573, 7.4670468 51.3618105, 7.4666584 51.3619987)",,,
522212235,True,2,,Körnerstraße,tertiary,50,False,33.971,"LINESTRING (7.4677269 51.3614625, 7.4677889 51.3613874, 7.4678205 51.3613698, 7.4678891 51.3613379, 7.4679882 51.3612976, 7.468096 51.3612963)",,,
31144595,False,,,Neumarktstraße,residential,30,True,141.25799999999998,"LINESTRING (7.4688459 51.3625199, 7.4687669 51.3624516, 7.468697 51.3623883, 7.4685267 51.362229, 7.4684306 51.3621417, 7.4684211 51.3621081, 7.4682045 51.3619103, 7.4679343 51.3616593, 7.4678566 51.3615874, 7.4677269 51.3614625)",,,
23958398,True,,,Neumarktstraße,residential,30,False,118.049,"LINESTRING (7.4662777 51.359303, 7.4663083 51.3593261, 7.4663325 51.3593558, 7.4663608 51.3593993, 7.4665335 51.3596652, 7.4665563 51.3596985, 7.466822 51.3601051, 7.4668912 51.3602123, 7.4669335 51.3602809)",,,
"[102140864, 31137460, 449230125]",False,,,"['Elberfelder Straße', 'Konkordiastraße']","['living_street', 'residential']","['7', '30']",True,187.23700000000002,"LINESTRING (7.4662777 51.359303, 7.466315 51.3592809, 7.466357 51.3592671, 7.4664069 51.3592558, 7.4668296 51.3591789, 7.4671982 51.3591143, 7.4674276 51.3590696, 7.4673665 51.3589848, 7.4672303 51.3588204, 7.4667442 51.3582492)",,,
"[241498293, 241498294]",False,5,,Körnerstraße,tertiary,50,False,95.202,"LINESTRING (7.4666584 51.3619987, 7.4670468 51.3618105, 7.4671567 51.3617573, 7.46739 51.3616405, 7.4674631 51.3616039, 7.4675502 51.3615603, 7.4677269 51.3614625)",,,
23958468,False,,,Goldbergstraße,residential,30,False,25.335,"LINESTRING (7.4700234 51.3561506, 7.4701695 51.3561062, 7.4701865 51.3561013, 7.4702858 51.3560778, 7.4703625 51.3560711)",,,
23962098,False,,,Goldbergstraße,residential,30,False,78.407,"LINESTRING (7.4700234 51.3561506, 7.4699203 51.3560717, 7.4698669 51.3560294, 7.4698236 51.3559839, 7.4696135 51.3557619, 7.469546 51.3556829, 7.4694397 51.3555494)",,,
23962099,False,,,Kampstraße,residential,30,True,121.477,"LINESTRING (7.4700234 51.3561506, 7.470089 51.3562118, 7.4701245 51.3562412, 7.4701898 51.3562873, 7.4703065 51.3563635, 7.4703689 51.3564042, 7.4709732 51.3568372, 7.4710748 51.356915, 7.4711598 51.35698)",,,
306027749,False,,,Bergstraße,residential,30,True,85.554,"LINESTRING (7.4700234 51.3561506, 7.4699384 51.3562018, 7.4698807 51.3562222, 7.4694542 51.3563732, 7.4693566 51.3564078, 7.4689697 51.3565453)",,,
"[34918123, 444478044]",False,3,,Hochstraße,residential,30,False,69.648,"LINESTRING (7.4745303 51.3558779, 7.4746636 51.3557687, 7.4749381 51.3555294, 7.4751189 51.3553708)",,,
34918123,False,,,Hochstraße,residential,30,True,203.73900000000003,"LINESTRING (7.4745303 51.3558779, 7.4744487 51.3559322, 7.4742718 51.3560419, 7.474185 51.3560841, 7.4739647 51.356173, 7.4736886 51.3562562, 7.4735492 51.3562951, 7.4730783 51.3564319, 7.4728942 51.356476, 7.4720262 51.356728, 7.4719716 51.3567439)",,,
122671002,False,,,Prentzelstraße,residential,30,True,180.55,"LINESTRING (7.4745303 51.3558779, 7.4744691 51.3558513, 7.4736219 51.3553562, 7.4731359 51.3550764, 7.4726597 51.3548013, 7.4726182 51.3547783)",,,
242978831,True,3,L 702,Emilienplatz,primary,50,False,70.341,"LINESTRING (7.4766566 51.3616665, 7.4764398 51.3615018, 7.4763387 51.3614281, 7.4762415 51.361367, 7.4761403 51.3613076, 7.4761044 51.3612865, 7.4759606 51.3612088)",,,
242978838,True,2,,Emilienplatz,primary,50,False,72.246,"LINESTRING (7.4766566 51.3616665, 7.4766361 51.3615634, 7.4765939 51.3615121, 7.4765535 51.361472, 7.4764666 51.3613914, 7.476414 51.3613483, 7.4763192 51.3612875, 7.4762443 51.3612385, 7.4762052 51.3612069, 7.4761176 51.3611269)",,,
23962098,False,,,Goldbergstraße,residential,30,True,78.407,"LINESTRING (7.4694397 51.3555494, 7.469546 51.3556829, 7.4696135 51.3557619, 7.4698236 51.3559839, 7.4698669 51.3560294, 7.4699203 51.3560717, 7.4700234 51.3561506)",,,
31171217,False,4,L 700,Bergischer Ring,secondary,50,True,315.532,"LINESTRING (7.4694397 51.3555494, 7.4696444 51.3554726, 7.4701224 51.3552633, 7.4709253 51.354945, 7.4713363 51.3547674, 7.471715 51.3545707, 7.4719551 51.3544424, 7.4720066 51.354414, 7.47212 51.3543539, 7.4722004 51.3543177, 7.4722961 51.3542823, 7.4724115 51.3542554, 7.4725003 51.354245, 7.4726042 51.3542403, 7.4726995 51.3542425, 7.4728011 51.354261, 7.4728546 51.3542743, 7.472884 51.3542816, 7.4730071 51.3543267, 7.4730854 51.3543603, 7.4732283 51.3544369)",,,
"[423685234, 34918124]",False,"['4', '5']",L 700,Bergischer Ring,secondary,50,False,78.963,"LINESTRING (7.4694397 51.3555494, 7.469183 51.3556234, 7.4689479 51.3556682, 7.4687188 51.3556959, 7.4683449 51.3557158)",,,
23962099,False,,,Kampstraße,residential,30,False,121.47699999999998,"LINESTRING (7.4711598 51.35698, 7.4710748 51.356915, 7.4709732 51.3568372, 7.4703689 51.3564042, 7.4703065 51.3563635, 7.4701898 51.3562873, 7.4701245 51.3562412, 7.470089 51.3562118, 7.4700234 51.3561506)",,,
34918123,False,,,Hochstraße,residential,30,False,62.183,"LINESTRING (7.4711598 51.35698, 7.4712594 51.356951, 7.4719716 51.3567439)",,,
336886162,False,,,Hochstraße,residential,30,True,116.331,"LINESTRING (7.4711598 51.35698, 7.4710638 51.3570077, 7.4708406 51.3570723, 7.4702878 51.3572321, 7.4697186 51.3573966, 7.4696393 51.3574193)",,,
31144783,True,,,Böhmerstraße,residential,30,False,114.539,"LINESTRING (7.4757705 51.3547906, 7.4758465 51.3548056, 7.4763012 51.3549305, 7.4767669 51.3550555, 7.4771747 51.3551738, 7.4772796 51.3552054)",,,
105258588,True,1,,Böhmerstraße,residential,30,False,154.51299999999998,"LINESTRING (7.4757705 51.3547906, 7.475579 51.3547492, 7.4751351 51.3546178, 7.4747584 51.3544622, 7.4742174 51.3542175, 7.4739276 51.354035)",,,
444239854,False,2,,Hochstraße,tertiary,30,True,78.9,"LINESTRING (7.4757705 51.3547906, 7.4756336 51.3548999, 7.4754955 51.3550134, 7.4753192 51.355164, 7.4752943 51.3551905, 7.4751189 51.3553708)",,,
522212087,True,1,,Körnerstraße,tertiary,30,False,9.768,"LINESTRING (7.4713643 51.359775, 7.4714414 51.3597863, 7.4714957 51.3598043)",,,
522212091,True,1,,Körnerstraße,residential,30,False,28.733999999999998,"LINESTRING (7.4713643 51.359775, 7.471479 51.3596921, 7.4715827 51.3596371, 7.4716801 51.3596175)",,,
24046258,False,,,Bergstraße,residential,30,False,59.941,"LINESTRING (7.4726182 51.3547783, 7.4722689 51.354976, 7.4719783 51.3551401)",,,
25331033,False,,,Bergstraße,residential,30,False,56.888,"LINESTRING (7.4726182 51.3547783, 7.4730503 51.3545337, 7.4732283 51.3544369)",,,
122671002,False,,,Prentzelstraße,residential,30,False,180.55,"LINESTRING (7.4726182 51.3547783, 7.4726597 51.3548013, 7.4731359 51.3550764, 7.4736219 51.3553562, 7.4744691 51.3558513, 7.4745303 51.3558779)",,,
122671002,False,,,Prentzelstraße,residential,30,True,46.413000000000004,"LINESTRING (7.4726182 51.3547783, 7.4725759 51.3547523, 7.4721268 51.3544954)",,,
24046255,False,,,Dahlenkampstraße,living_street,,False,87.869,"LINESTRING (7.4771415 51.3574517, 7.477054 51.3574221, 7.4768041 51.3573409, 7.4762644 51.3571542, 7.4760259 51.3570789)",,,
43322139,False,2,,Potthofstraße,residential,30,True,142.39399999999998,"LINESTRING (7.4771415 51.3574517, 7.4770804 51.3575214, 7.4770177 51.3575763, 7.4769866 51.3576024, 7.4766915 51.3578223, 7.4766561 51.3578486, 7.4765248 51.3579409, 7.4764194 51.3580184, 7.4763599 51.3580583, 7.4762966 51.3581063, 7.476241 51.3581593, 7.4762098 51.3581928, 7.476173 51.3582322, 7.4761341 51.3582874, 7.4761027 51.3583422, 7.4760803 51.358394, 7.4760701 51.3584201, 7.4760645 51.3584726, 7.476069 51.3585112)",destination,,
"[242639272, 478599714]",False,2,,Potthofstraße,residential,30,False,111.485,"LINESTRING (7.4771415 51.3574517, 7.4771633 51.3574272, 7.477205 51.3573799, 7.4773092 51.3572689, 7.4773412 51.357234, 7.4774668 51.357097, 7.4774866 51.3570755, 7.4775716 51.3569775, 7.4776429 51.356878, 7.4777599 51.3566917, 7.4778137 51.3566289, 7.4778714 51.3565606)",,,
24046255,False,,,Dahlenkampstraße,living_street,,True,87.869,"LINESTRING (7.4760259 51.3570789, 7.4762644 51.3571542, 7.4768041 51.3573409, 7.477054 51.3574221, 7.4771415 51.3574517)",,,
24046258,False,,,Bergstraße,residential,30,True,14.145,"LINESTRING (7.4718311 51.355228, 7.4718993 51.3551855, 7.4719783 51.3551401)",,,
142475271,True,2,B 54,Märkischer Ring,primary,50,False,108.80099999999999,"LINESTRING (7.4709903 51.3627057, 7.4712753 51.3626588, 7.4716288 51.3626328, 7.471921 51.3626187, 7.4720515 51.3626094, 7.4721621 51.3626016, 7.4722768 51.3625869, 7.4725333 51.362549)",yes,,
23958398,True,,,Neumarktstraße,residential,30,False,142.64800000000002,"LINESTRING (7.4669335 51.3602809, 7.4669901 51.3603729, 7.4671472 51.3606183, 7.4676146 51.3613437, 7.4676353 51.3613711, 7.4676716 51.3614066, 7.4677269 51.3614625)",,,
42967085,False,,,Bahnhofstraße,residential,30,False,193.04000000000002,"LINESTRING (7.4669335 51.3602809, 7.4670625 51.3602502, 7.4677054 51.3600842, 7.4679002 51.3600329, 7.4680802 51.3599861, 7.4683392 51.3599215, 7.4686103 51.3598564, 7.468866 51.359795, 7.4692799 51.3596864, 7.4693878 51.3596625, 7.4695136 51.3596349)",,,
"[102140864, 31137460, 449230125]",False,,,"['Elberfelder Straße', 'Konkordiastraße']","['residential', 'living_street']","['7', '30']",False,187.237,"LINESTRING (7.4667442 51.3582492, 7.4672303 51.3588204, 7.4673665 51.3589848, 7.4674276 51.3590696, 7.4671982 51.3591143, 7.4668296 51.3591789, 7.4664069 51.3592558, 7.466357 51.3592671, 7.466315 51.3592809, 7.4662777 51.359303)",,,
"[336886162, 132152134]",False,,,Hochstraße,residential,30,False,221.195,"LINESTRING (7.4667442 51.3582492, 7.4671073 51.3581449, 7.4682929 51.3578041, 7.4684246 51.3577671, 7.4685146 51.3577414, 7.4692291 51.3575368, 7.4694103 51.3574849, 7.4695402 51.3574477, 7.4696393 51.3574193)",,,
985407074,False,,,Konkordiastraße,residential,30,True,88.998,"LINESTRING (7.4667442 51.3582492, 7.4662198 51.3576306, 7.4661446 51.3575418)",,,
306027749,False,,,Bergstraße,residential,30,False,225.31600000000003,"LINESTRING (7.4661446 51.3575418, 7.466287 51.3574899, 7.4671276 51.3571856, 7.4672637 51.3571384, 7.4673259 51.3571168, 7.4679758 51.3568925, 7.4681033 51.3568485, 7.4685152 51.3567098, 7.4689697 51.3565453)",,,
985407074,False,,,Konkordiastraße,residential,30,False,88.998,"LINESTRING (7.4661446 51.3575418, 7.4662198 51.3576306, 7.4667442 51.3582492)",,,
