osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,junction
390684466,,,Am Stadtgraben,residential,,False,False,115.21400000000001,,"LINESTRING (10.3486296 48.8589907, 10.3485993 48.8589101, 10.3485892 48.8588721, 10.3485811 48.8588207, 10.3485632 48.8587245, 10.3485567 48.8585989, 10.348554 48.8585048, 10.3485612 48.8584266, 10.3485958 48.8580501, 10.348592 48.8579595)",
390684467,,,Birntorweg,residential,30,False,False,100.788,,"LINESTRING (10.3486296 48.8589907, 10.3484173 48.8590444, 10.3479114 48.8591524, 10.347795 48.8591703, 10.3474581 48.8591811, 10.3473053 48.8592156)",
79344093,,,Hauptstraße,residential,,False,True,16.58,,"LINESTRING (10.3503584 48.8597612, 10.3503996 48.8598215, 10.3504688 48.8598909)",
79344097,,,Am Stadtgraben,residential,,False,False,157.686,,"LINESTRING (10.3503584 48.8597612, 10.350257 48.8597493, 10.3498427 48.8596257, 10.349436 48.8595026, 10.3492094 48.8594244, 10.3489904 48.8593199, 10.3488444 48.8592234, 10.3487593 48.8591591, 10.3486296 48.8589907)",
79399336,,,Hauptstraße,residential,20,False,False,44.19799999999999,,"LINESTRING (10.3503584 48.8597612, 10.3503578 48.8596633, 10.3504508 48.859459, 10.3504677 48.8593734)",
37053399,,,Alte Neresheimer Straße,residential,,False,True,184.656,,"LINESTRING (10.348592 48.8579595, 10.3485182 48.8579011, 10.3482726 48.8577966, 10.3480589 48.8577056, 10.3478459 48.8576176, 10.3477544 48.8575724, 10.3476292 48.8575106, 10.3474513 48.8573889, 10.3473815 48.8572961, 10.3473511 48.8572054, 10.3473293 48.8570929, 10.3473068 48.8569915, 10.3472988 48.8567895, 10.3472962 48.8566917)",
220230577,,,Härtsfeldstraße,residential,20,False,False,59.996,,"LINESTRING (10.348592 48.8579595, 10.3492996 48.8579357, 10.3494109 48.8579306)",
254236252,,,Am Stadtgraben,residential,20,False,True,148.3,,"LINESTRING (10.348592 48.8579595, 10.3486737 48.857894, 10.3487557 48.8577477, 10.348926 48.8575193, 10.3489461 48.8574895, 10.3490429 48.8573528, 10.3491111 48.8572897, 10.3493469 48.8571831, 10.3494587 48.8571323, 10.3494767 48.8571241, 10.3496407 48.8570584, 10.3498112 48.8569923, 10.3498505 48.8569787)",
390684466,,,Am Stadtgraben,residential,,False,True,115.21400000000001,,"LINESTRING (10.348592 48.8579595, 10.3485958 48.8580501, 10.3485612 48.8584266, 10.348554 48.8585048, 10.3485567 48.8585989, 10.3485632 48.8587245, 10.3485811 48.8588207, 10.3485892 48.8588721, 10.3485993 48.8589101, 10.3486296 48.8589907)",
"[337681465, 337681466, 79399337, 386449215]",,,Jahnstraße,residential,,False,True,185.446,yes,"LINESTRING (10.3509859 48.8619461, 10.3506971 48.8617918, 10.3505029 48.861688, 10.3500682 48.8614448, 10.349834 48.861302, 10.3497052 48.8612093, 10.3494688 48.8610273, 10.3494399 48.8609977, 10.3493718 48.8609277, 10.349259 48.8607532)",
"[79399337, 337681466, 337681465, 386449215]",,,Jahnstraße,residential,,False,False,185.44600000000003,yes,"LINESTRING (10.349259 48.8607532, 10.3493718 48.8609277, 10.3494399 48.8609977, 10.3494688 48.8610273, 10.3497052 48.8612093, 10.349834 48.861302, 10.3500682 48.8614448, 10.3505029 48.861688, 10.3506971 48.8617918, 10.3509859 48.8619461)",
"[314189966, 314189967]",2,B 29,Aalener Straße,primary,50,False,False,108.504,,"LINESTRING (10.349259 48.8607532, 10.3495538 48.8606247, 10.349811 48.8604576, 10.3498679 48.8604149, 10.3501147 48.8602013, 10.3502039 48.8601436, 10.350329 48.8600905)",
"[314189968, 87575458, 815840357]","['2', '3']",B 29,Aalener Straße,primary,50,False,True,215.40599999999998,,"LINESTRING (10.349259 48.8607532, 10.3491157 48.8608079, 10.3488729 48.8609004, 10.3480031 48.861232, 10.3478132 48.8613044, 10.3474635 48.8614226, 10.347103 48.8615347, 10.3468806 48.861611, 10.3467321 48.8616607, 10.3466771 48.8616825)",
114588688,,L 1078,Kirchheimer Straße,secondary,50,False,True,36.82,,"LINESTRING (10.3556353 48.8604001, 10.3554553 48.860342, 10.3552078 48.8602272)",
289173742,,,Lindenstraße,residential,,False,True,91.456,,"LINESTRING (10.3556353 48.8604001, 10.3556234 48.8605125, 10.355593 48.8606317, 10.3554222 48.8610341, 10.3553688 48.8612016)",
858837786,,L 1078,Kirchheimer Straße,secondary,50,False,False,144.016,,"LINESTRING (10.3556353 48.8604001, 10.3559058 48.860452, 10.3563416 48.860498, 10.3570505 48.8604878, 10.3575868 48.86048)",
1159000899,,,Alte Neresheimer Straße,residential,,False,True,25.115,,"LINESTRING (10.346089 48.8545371, 10.3462813 48.8547242)",
81396094,,,Kernerweg,residential,,False,False,83.05,,"LINESTRING (10.3470747 48.8546536, 10.347427 48.8539436)",
81396106,,,Feldwiesenweg,residential,,False,True,58.576,,"LINESTRING (10.3470747 48.8546536, 10.3462813 48.8547242)",
81396106,,,Feldwiesenweg,residential,,False,False,111.696,,"LINESTRING (10.3470747 48.8546536, 10.3476045 48.8547933, 10.347821 48.8548504, 10.3481062 48.8549686, 10.3484325 48.8551038)",
81396103,,,Feldwiesenweg,residential,,False,True,88.67999999999999,,"LINESTRING (10.3491361 48.8557069, 10.3491522 48.8556382, 10.3491372 48.8555681, 10.3490364 48.8554861, 10.348687 48.8552786, 10.3486231 48.8552347, 10.3484325 48.8551038)",
81396096,,,Hölderlinstraße,residential,,False,False,58.899,,"LINESTRING (10.3528145 48.8534822, 10.3535922 48.8533454)",
81396096,,,Hölderlinstraße,residential,,False,True,110.513,,"LINESTRING (10.3528145 48.8534822, 10.3520284 48.8535912, 10.3513275 48.8536527)",
254236263,,,Uhlandstraße,residential,,False,False,218.84000000000003,,"LINESTRING (10.3528145 48.8534822, 10.3528252 48.8538366, 10.352856 48.8540293, 10.3528825 48.8540997, 10.3529869 48.85412, 10.3535519 48.854073, 10.3548915 48.8538864)",
81396096,,,Hölderlinstraße,residential,,False,True,18.995,,"LINESTRING (10.3513275 48.8536527, 10.3510679 48.8536549)",
81396414,,,Gerokweg,residential,,False,True,64.649,,"LINESTRING (10.3513275 48.8536527, 10.3513865 48.8542328)",
81396096,,,Hölderlinstraße,residential,,False,False,110.513,,"LINESTRING (10.3513275 48.8536527, 10.3520284 48.8535912, 10.3528145 48.8534822)",
81396106,,,Feldwiesenweg,residential,,False,False,58.576,,"LINESTRING (10.3462813 48.8547242, 10.3470747 48.8546536)",
