osmid,lanes,name,highway,maxspeed,access,oneway,reversed,length,width,geometry,bridge,ref
177296137,,Straße der Jugend,residential,30,delivery,False,True,129.50199999999998,4.5,"LINESTRING (11.2963914 51.3621201, 11.2964184 51.3622093, 11.2966853 51.3630914, 11.2967368 51.3632646)",,
"[177296067, 177296068]",,Glinz,residential,,delivery,False,True,177.781,,"LINESTRING (11.2984806 51.3627863, 11.2996237 51.3625907, 11.299783 51.3625479, 11.299889 51.3625069, 11.2999759 51.3624572, 11.3000362 51.3623983, 11.300055 51.3623687, 11.3000648 51.3623324, 11.3000613 51.362295, 11.2999754 51.3620934, 11.2999349 51.3620122, 11.2998733 51.3618887)",,
177296129,,Salinestraße,residential,,delivery,False,True,40.367999999999995,5.5,"LINESTRING (11.2984806 51.3627863, 11.2985448 51.3629902, 11.2985566 51.3630232, 11.298599 51.3631417)",,
"[486416545, 177296125]",,Salinestraße,residential,,delivery,False,False,207.02500000000003,5.5,"LINESTRING (11.2984806 51.3627863, 11.2984245 51.3626294, 11.2983231 51.3623511, 11.2982649 51.3622548, 11.2982049 51.3621829, 11.2981279 51.362115, 11.2979932 51.3620456, 11.2978433 51.3619903, 11.2977172 51.3619625, 11.2975972 51.3619543, 11.2974902 51.3619584, 11.2967804 51.3620629, 11.2963914 51.3621201)",,
177296129,,Salinestraße,residential,,delivery,False,True,51.49,5.5,"LINESTRING (11.298599 51.3631417, 11.2987699 51.3635923)",,
177296129,,Salinestraße,residential,,delivery,False,False,40.367999999999995,5.5,"LINESTRING (11.298599 51.3631417, 11.2985566 51.3630232, 11.2985448 51.3629902, 11.2984806 51.3627863)",,
177296137,,Straße der Jugend,residential,30,delivery,False,False,129.50199999999998,4.5,"LINESTRING (11.2967368 51.3632646, 11.2966853 51.3630914, 11.2964184 51.3622093, 11.2963914 51.3621201)",,
"[177296137, 177296138]",,Straße der Jugend,residential,30,delivery,False,True,109.747,4.5,"LINESTRING (11.2967368 51.3632646, 11.2968457 51.3636002, 11.2969965 51.3640725, 11.2970278 51.3641444, 11.2970414 51.3641758, 11.29706 51.364207, 11.2970797 51.364226)",,
177301846,,Ritterstraße,residential,30,delivery,False,False,123.089,5,"LINESTRING (11.2967368 51.3632646, 11.2966334 51.3632758, 11.2965447 51.3632797, 11.2964615 51.3632791, 11.2961758 51.3632708, 11.2960694 51.3632624, 11.2953238 51.3631816, 11.2952635 51.363172, 11.2952097 51.3631599, 11.2951545 51.3631401, 11.2950277 51.3630764)",,
177296129,,Salinestraße,residential,,delivery,False,False,51.49,5.5,"LINESTRING (11.2987699 51.3635923, 11.298599 51.3631417)",,
177296129,,Salinestraße,residential,,delivery,False,True,61.754999999999995,5.5,"LINESTRING (11.2987699 51.3635923, 11.2989376 51.3640313, 11.2989771 51.3641324)",,
486416691,2,Rudolf-Breitscheid-Straße,residential,50,,False,True,52.357,7.5,"LINESTRING (11.2997092 51.3640194, 11.2989771 51.3641324)",,
486416691,2,Rudolf-Breitscheid-Straße,residential,50,,False,False,52.357,7.5,"LINESTRING (11.2989771 51.3641324, 11.2997092 51.3640194)",,
177296123,2,Rudolf-Breitscheid-Straße,residential,50,,False,True,122.94200000000001,7.5,"LINESTRING (11.2989771 51.3641324, 11.2983208 51.3642372, 11.2981052 51.3642716, 11.2972615 51.3644064)",,
177296129,,Salinestraße,residential,,delivery,False,False,61.754999999999995,5.5,"LINESTRING (11.2989771 51.3641324, 11.2989376 51.3640313, 11.2987699 51.3635923)",,
"[177296137, 177296138]",,Straße der Jugend,residential,30,delivery,False,False,109.747,4.5,"LINESTRING (11.2970797 51.364226, 11.29706 51.364207, 11.2970414 51.3641758, 11.2970278 51.3641444, 11.2969965 51.3640725, 11.2968457 51.3636002, 11.2967368 51.3632646)",,
177296138,,Straße der Jugend,residential,,delivery,False,True,23.951,,"LINESTRING (11.2970797 51.364226, 11.2971863 51.3643073, 11.2972124 51.3643314, 11.2972405 51.3643666, 11.2972615 51.3644064)",,
178085287,,Leipziger Straße,living_street,,delivery,False,True,153.42399999999998,,"LINESTRING (11.2970797 51.364226, 11.2970162 51.364263, 11.2969978 51.3642811, 11.296956 51.3643441, 11.2969362 51.3643693, 11.2969124 51.3643992, 11.2968618 51.3644285, 11.2967891 51.3644338, 11.2962549 51.3643459, 11.2961211 51.3643288, 11.2960172 51.3643215, 11.2953699 51.3643012, 11.2952131 51.3642965, 11.2950734 51.3643035)",,
177296123,2,Rudolf-Breitscheid-Straße,residential,50,,False,False,122.94200000000001,7.5,"LINESTRING (11.2972615 51.3644064, 11.2981052 51.3642716, 11.2983208 51.3642372, 11.2989771 51.3641324)",,
"[177296122, 177296123]",2,"['Rudolf-Breitscheid-Straße', 'Puschkinstraße']",residential,50,,False,True,49.599000000000004,"['7', '7.5']","LINESTRING (11.2972615 51.3644064, 11.2971728 51.3644336, 11.297109 51.3644623, 11.2970687 51.3644916, 11.2970399 51.3645207, 11.2970216 51.3645455, 11.2970082 51.3645686, 11.2969466 51.3646959, 11.296925 51.3647327, 11.2968931 51.3647655)",,
177296138,,Straße der Jugend,residential,,delivery,False,False,23.951,,"LINESTRING (11.2972615 51.3644064, 11.2972405 51.3643666, 11.2972124 51.3643314, 11.2971863 51.3643073, 11.2970797 51.364226)",,
"[177296122, 177296123]",2,"['Rudolf-Breitscheid-Straße', 'Puschkinstraße']",residential,50,,False,False,49.599,"['7', '7.5']","LINESTRING (11.2968931 51.3647655, 11.296925 51.3647327, 11.2969466 51.3646959, 11.2970082 51.3645686, 11.2970216 51.3645455, 11.2970399 51.3645207, 11.2970687 51.3644916, 11.297109 51.3644623, 11.2971728 51.3644336, 11.2972615 51.3644064)",,
177384073,2,Puschkinstraße,residential,50,,False,True,231.64000000000001,7,"LINESTRING (11.2968931 51.3647655, 11.2968446 51.3647896, 11.2968052 51.364799, 11.296723 51.3648141, 11.2957761 51.3649699, 11.2956077 51.3650016, 11.2954955 51.3650245, 11.2953618 51.3650574, 11.2953139 51.3650689, 11.2952474 51.3650849, 11.2950435 51.3651395, 11.2949526 51.3651671, 11.2944365 51.3653238, 11.2942437 51.3653826, 11.2941607 51.3654115, 11.2940768 51.3654421, 11.293995 51.3654763, 11.2939088 51.3655232, 11.2938462 51.3655643)",,
178168910,,Steile Hohle,residential,,,False,False,32.326,,"LINESTRING (11.2968931 51.3647655, 11.297044 51.3649463, 11.2971083 51.3650233)",,
177301848,,Ritterstraße,residential,30,delivery,False,True,114.38600000000001,5,"LINESTRING (11.2954714 51.3603189, 11.2955424 51.3604236, 11.2955571 51.360463, 11.29556 51.3605119, 11.2955571 51.3605414, 11.2955435 51.3605771, 11.2955164 51.3606134, 11.2954692 51.3606744, 11.2954144 51.3607351, 11.2953418 51.3608143, 11.2952493 51.3609089, 11.2951624 51.3610011, 11.294999 51.3611804, 11.2949768 51.3612101, 11.2949558 51.3612412)",,
177301879,,Salzdamm,residential,,delivery,False,False,22.201999999999998,4,"LINESTRING (11.2954714 51.3603189, 11.2955357 51.3602779, 11.2956155 51.3602169, 11.2956529 51.3602007, 11.2957071 51.3601914)",,
177301889,,Salzdamm,residential,30,delivery,False,True,98.055,4,"LINESTRING (11.2954714 51.3603189, 11.2950391 51.3605744, 11.2948724 51.3606704, 11.2947152 51.3607607, 11.2945359 51.3608545, 11.2944245 51.3609102)",,
177301863,,Ritterstraße,residential,30,delivery,False,True,44.646,5,"LINESTRING (11.2944245 51.3609102, 11.2945193 51.3609965, 11.2945777 51.3610508, 11.2947205 51.3611852, 11.2947725 51.3612474)",,
177301873,,Salzdamm,residential,30,delivery,False,True,117.07,5,"LINESTRING (11.2944245 51.3609102, 11.2943232 51.3609557, 11.2939783 51.3611239, 11.2936993 51.3612599, 11.2933968 51.3614127, 11.2931002 51.3615617)",,
177301889,,Salzdamm,residential,30,delivery,False,False,98.05499999999999,4,"LINESTRING (11.2944245 51.3609102, 11.2945359 51.3608545, 11.2947152 51.3607607, 11.2948724 51.3606704, 11.2950391 51.3605744, 11.2954714 51.3603189)",,
177301848,,Ritterstraße,residential,30,delivery,False,False,114.38600000000002,5,"LINESTRING (11.2949558 51.3612412, 11.2949768 51.3612101, 11.294999 51.3611804, 11.2951624 51.3610011, 11.2952493 51.3609089, 11.2953418 51.3608143, 11.2954144 51.3607351, 11.2954692 51.3606744, 11.2955164 51.3606134, 11.2955435 51.3605771, 11.2955571 51.3605414, 11.29556 51.3605119, 11.2955571 51.360463, 11.2955424 51.3604236, 11.2954714 51.3603189)",,
177301848,,Ritterstraße,residential,30,delivery,False,True,34.808,5,"LINESTRING (11.2949558 51.3612412, 11.2949321 51.3612954, 11.2949209 51.361353, 11.294911 51.361419, 11.2949119 51.3614854, 11.294924 51.3615511)",,
177301860,,Ritterstraße,residential,30,delivery,False,False,12.987,4,"LINESTRING (11.2949558 51.3612412, 11.2948973 51.3612513, 11.2948541 51.3612546, 11.2948106 51.3612534, 11.2947725 51.3612474)",,
177301860,,Ritterstraße,residential,30,delivery,False,True,12.987,4,"LINESTRING (11.2947725 51.3612474, 11.2948106 51.3612534, 11.2948541 51.3612546, 11.2948973 51.3612513, 11.2949558 51.3612412)",,
177301863,,Ritterstraße,residential,30,delivery,False,False,44.646,5,"LINESTRING (11.2947725 51.3612474, 11.2947205 51.3611852, 11.2945777 51.3610508, 11.2945193 51.3609965, 11.2944245 51.3609102)",,
177301863,,Ritterstraße,residential,30,delivery,False,True,35.399,5,"LINESTRING (11.2947725 51.3612474, 11.2947964 51.3612928, 11.2948258 51.3613646, 11.2948551 51.3614305, 11.2948844 51.3614843, 11.294924 51.3615511)",,
177301848,,Ritterstraße,residential,30,delivery,False,False,34.808,5,"LINESTRING (11.294924 51.3615511, 11.2949119 51.3614854, 11.294911 51.361419, 11.2949209 51.361353, 11.2949321 51.3612954, 11.2949558 51.3612412)",,
177301857,,Ritterstraße,residential,30,delivery,False,True,176.038,5.5,"LINESTRING (11.294924 51.3615511, 11.2949793 51.3616937, 11.2950058 51.3617594, 11.2951035 51.3619473, 11.295135 51.3620206, 11.2951704 51.3621069, 11.2951876 51.3621539, 11.2952023 51.362194, 11.2952242 51.3622883, 11.2952335 51.3623775, 11.2952417 51.3625971, 11.2952362 51.3627479, 11.2952226 51.3628348, 11.2951942 51.3629021, 11.2951603 51.3629534, 11.2951285 51.3629928, 11.295087 51.3630352, 11.2950277 51.3630764)",,
177301863,,Ritterstraße,residential,30,delivery,False,False,35.399,5,"LINESTRING (11.294924 51.3615511, 11.2948844 51.3614843, 11.2948551 51.3614305, 11.2948258 51.3613646, 11.2947964 51.3612928, 11.2947725 51.3612474)",,
177301792,,Grabenstraße,residential,30,delivery,True,False,85.77699999999999,,"LINESTRING (11.2931002 51.3615617, 11.293203 51.3616495, 11.2934185 51.3618534, 11.2937782 51.3621882, 11.2937905 51.3622013)",,
177301873,,Salzdamm,residential,30,delivery,False,False,117.07000000000001,5,"LINESTRING (11.2931002 51.3615617, 11.2933968 51.3614127, 11.2936993 51.3612599, 11.2939783 51.3611239, 11.2943232 51.3609557, 11.2944245 51.3609102)",,
177301876,,Salzdamm,residential,30,delivery,False,True,63.511,4,"LINESTRING (11.2931002 51.3615617, 11.2927616 51.361732, 11.2924877 51.3618669, 11.2923867 51.3619191)",,
177301876,,Salzdamm,residential,30,delivery,False,True,51.512,4,"LINESTRING (11.2923867 51.3619191, 11.2918115 51.3622117)",,
177301876,,Salzdamm,residential,30,delivery,False,False,63.510999999999996,4,"LINESTRING (11.2923867 51.3619191, 11.2924877 51.3618669, 11.2927616 51.361732, 11.2931002 51.3615617)",,
178085175,,Gabelstraße,residential,30,delivery,False,False,80.7,,"LINESTRING (11.2923867 51.3619191, 11.2924635 51.361985, 11.2925019 51.3620238, 11.2925588 51.3620876, 11.2926516 51.3622037, 11.2927011 51.3622707, 11.2927427 51.3623382, 11.292809 51.3624659, 11.2928243 51.3625081, 11.2928298 51.3625428, 11.292837 51.3625799)",,
177301792,,Grabenstraße,residential,30,delivery,True,False,131.17000000000002,,"LINESTRING (11.2937905 51.3622013, 11.2940449 51.362439, 11.2941032 51.3624983, 11.2941983 51.3625948, 11.294346 51.3627518, 11.2943997 51.362809, 11.2945237 51.3629461, 11.2946071 51.3630594, 11.2946632 51.363145, 11.2947263 51.3632235)",,
178085162,,Breite Gasse,residential,30,delivery,False,True,78.598,,"LINESTRING (11.2937905 51.3622013, 11.2934428 51.3623397, 11.293211 51.3624274, 11.2931472 51.3624539, 11.292994 51.3625196, 11.2929172 51.3625581, 11.2928773 51.3625711, 11.292837 51.3625799)",,
177301876,,Salzdamm,residential,30,delivery,False,False,51.512,4,"LINESTRING (11.2918115 51.3622117, 11.2923867 51.3619191)",,
177301892,,Salzdamm,residential,30,delivery,False,True,65.786,4,"LINESTRING (11.2918115 51.3622117, 11.2917402 51.3622518, 11.2916694 51.3622929, 11.2910748 51.3625833)",,
178085373,,Tränkstraße,residential,30,delivery,False,True,74.97500000000001,,"LINESTRING (11.2918115 51.3622117, 11.2918582 51.3622543, 11.2918764 51.3622709, 11.2919252 51.3623147, 11.2919573 51.3623505, 11.2919907 51.3623964, 11.2920232 51.3624249, 11.2920592 51.3624422, 11.2920938 51.3624506, 11.2921204 51.3624663, 11.2921404 51.3624861, 11.2921497 51.3625057, 11.2921851 51.3628094)",,
177301892,,Salzdamm,residential,30,delivery,False,False,65.786,4,"LINESTRING (11.2910748 51.3625833, 11.2916694 51.3622929, 11.2917402 51.3622518, 11.2918115 51.3622117)",,
177301892,,Salzdamm,residential,30,delivery,False,True,84.913,4,"LINESTRING (11.2910748 51.3625833, 11.2908057 51.3627147, 11.2905117 51.3628583, 11.2904708 51.3628786, 11.2903951 51.3629163, 11.2903102 51.3629547, 11.2902267 51.3629834, 11.2901458 51.3630079, 11.2900792 51.3630191)",,
"[178085266, 178085308]",,"['Querstraße', 'Krumme Straße']",residential,30,delivery,False,False,103.107,3,"LINESTRING (11.2910748 51.3625833, 11.2911375 51.3626234, 11.2912105 51.3626701, 11.2912593 51.3627034, 11.29131 51.3627515, 11.2914875 51.3629542, 11.2915118 51.3629639, 11.2915427 51.3629597, 11.2918821 51.36286, 11.2919421 51.3628393, 11.2920064 51.3628211, 11.2920612 51.3628112, 11.2921253 51.3628064, 11.2921851 51.3628094)",,
177301846,,Ritterstraße,residential,30,delivery,False,True,123.08900000000001,5,"LINESTRING (11.2950277 51.3630764, 11.2951545 51.3631401, 11.2952097 51.3631599, 11.2952635 51.363172, 11.2953238 51.3631816, 11.2960694 51.3632624, 11.2961758 51.3632708, 11.2964615 51.3632791, 11.2965447 51.3632797, 11.2966334 51.3632758, 11.2967368 51.3632646)",,
177301857,,Ritterstraße,residential,30,delivery,False,False,176.038,5.5,"LINESTRING (11.2950277 51.3630764, 11.295087 51.3630352, 11.2951285 51.3629928, 11.2951603 51.3629534, 11.2951942 51.3629021, 11.2952226 51.3628348, 11.2952362 51.3627479, 11.2952417 51.3625971, 11.2952335 51.3623775, 11.2952242 51.3622883, 11.2952023 51.362194, 11.2951876 51.3621539, 11.2951704 51.3621069, 11.295135 51.3620206, 11.2951035 51.3619473, 11.2950058 51.3617594, 11.2949793 51.3616937, 11.294924 51.3615511)",,
177301857,,Ritterstraße,residential,30,delivery,False,True,26.682000000000002,5.5,"LINESTRING (11.2950277 51.3630764, 11.2949613 51.363119, 11.2949066 51.3631487, 11.2948354 51.3631812, 11.2947479 51.3632151, 11.2947263 51.3632235)",,
177301857,,Ritterstraße,residential,30,delivery,False,False,26.682000000000002,5.5,"LINESTRING (11.2947263 51.3632235, 11.2947479 51.3632151, 11.2948354 51.3631812, 11.2949066 51.3631487, 11.2949613 51.363119, 11.2950277 51.3630764)",,
178085310,,Ritterstraße,residential,30,delivery,False,True,61.754999999999995,,"LINESTRING (11.2947263 51.3632235, 11.2945108 51.3632998, 11.2943851 51.3633525, 11.2942896 51.3633989, 11.294218 51.3634294, 11.2939803 51.3635249)",,
177316195,3,Sangerhäuser Straße,secondary,50,,False,True,27.613999999999997,9,"LINESTRING (11.2874815 51.3630004, 11.2874612 51.3631937, 11.2874532 51.3632481)",,L 3086
"[177326371, 312302699, 177316199]","['2', '3']",Sangerhäuser Straße,secondary,50,,False,False,209.34500000000003,"['8', '9']","LINESTRING (11.2874815 51.3630004, 11.2875091 51.3628803, 11.2875346 51.3628143, 11.2875709 51.3627505, 11.2876329 51.3626508, 11.2877523 51.3625166, 11.2878722 51.3624022, 11.2879558 51.3623392, 11.2880151 51.3623034, 11.2880594 51.3622762, 11.2881451 51.3622272, 11.2882349 51.3621781, 11.2885368 51.3620235, 11.2886101 51.3619887, 11.2886939 51.3619489, 11.2888415 51.3618706, 11.2889224 51.3618244, 11.288997 51.361772, 11.2890591 51.3617251, 11.2891237 51.361673, 11.2891666 51.3616328, 11.2892091 51.361585, 11.2892462 51.3615372)",,L 3086
177316222,1,,secondary_link,50,,True,False,39.61900000000001,5,"LINESTRING (11.2874815 51.3630004, 11.2875105 51.363067, 11.287524 51.3630873, 11.2875486 51.3631152, 11.2875766 51.3631425, 11.2876225 51.3631719, 11.2876819 51.3631971, 11.2877514 51.3632168, 11.2878546 51.3632369)",,
177316207,3,Schönfelder Straße,tertiary,50,,False,True,28.74,9,"LINESTRING (11.2870427 51.3632148, 11.2874532 51.3632481)",,
177316219,1,,tertiary_link,50,,True,False,40.72,5,"LINESTRING (11.2870427 51.3632148, 11.2871386 51.3632034, 11.2872204 51.3631838, 11.2872887 51.36316, 11.2873436 51.3631313, 11.2873895 51.3630957, 11.287422 51.3630642, 11.2874815 51.3630004)",,
"[177316208, 177322436, 177316205, 177316206]",2,Schönfelder Straße,residential,50,,False,True,168.112,7.5,"LINESTRING (11.2878546 51.3632369, 11.287888 51.3632332, 11.288041 51.3632165, 11.2881809 51.3631997, 11.2883069 51.3631888, 11.2883953 51.3631853, 11.2884598 51.3631864, 11.2886101 51.3631955, 11.2887439 51.3632152, 11.2888494 51.3632428, 11.2891729 51.3633585, 11.2892615 51.3633772, 11.2893375 51.3633797, 11.289416 51.3633746, 11.2899167 51.3632848, 11.2900924 51.363253, 11.2901699 51.3632378)",,
177316212,2,Schönfelder Straße,residential,50,,False,False,28.179000000000002,7.5,"LINESTRING (11.2878546 51.3632369, 11.2877093 51.363256, 11.2876038 51.3632596, 11.2874532 51.3632481)",,
178085375,2,Wasserstraße,residential,50,delivery,False,False,25.12,,"LINESTRING (11.2901699 51.3632378, 11.2900792 51.3630191)",,
178085376,2,Wasserstraße,residential,50,delivery,False,True,71.575,,"LINESTRING (11.2901699 51.3632378, 11.2904493 51.3638574)",,
"[177316208, 177322436, 177316205, 177316206]",2,Schönfelder Straße,residential,50,,False,False,168.11199999999997,7.5,"LINESTRING (11.2901699 51.3632378, 11.2900924 51.363253, 11.2899167 51.3632848, 11.289416 51.3633746, 11.2893375 51.3633797, 11.2892615 51.3633772, 11.2891729 51.3633585, 11.2888494 51.3632428, 11.2887439 51.3632152, 11.2886101 51.3631955, 11.2884598 51.3631864, 11.2883953 51.3631853, 11.2883069 51.3631888, 11.2881809 51.3631997, 11.288041 51.3632165, 11.287888 51.3632332, 11.2878546 51.3632369)",,
177316207,3,Schönfelder Straße,tertiary,50,,False,False,28.74,9,"LINESTRING (11.2874532 51.3632481, 11.2870427 51.3632148)",,
177316195,3,Sangerhäuser Straße,secondary,50,,False,False,27.613999999999997,9,"LINESTRING (11.2874532 51.3632481, 11.2874612 51.3631937, 11.2874815 51.3630004)",,L 3086
177316212,2,Schönfelder Straße,residential,50,,False,True,28.179000000000002,7.5,"LINESTRING (11.2874532 51.3632481, 11.2876038 51.3632596, 11.2877093 51.363256, 11.2878546 51.3632369)",,
"[177372961, 177322435, 177316198, 312302697, 312302698, 177372969]","['2', '3']",Sangerhäuser Straße,secondary,50,,False,True,262.277,"['7', '12']","LINESTRING (11.2874532 51.3632481, 11.2874303 51.3634334, 11.2874025 51.3636585, 11.2873804 51.3638367, 11.2873586 51.3639768, 11.2873275 51.3641774, 11.287309 51.3642979, 11.2872838 51.3644969, 11.28728 51.3645327, 11.287274 51.3645911, 11.2872708 51.3646196, 11.2872683 51.3646544, 11.2872632 51.3647273, 11.2872596 51.3648721, 11.287264 51.3649646, 11.2872658 51.365002, 11.2872688 51.3650587, 11.2872731 51.3651386, 11.2872918 51.3652753, 11.2873053 51.3653695, 11.28732 51.3654721, 11.2873453 51.3655995)",,L 3086
177326413,,Weide,residential,,,False,True,377.84,,"LINESTRING (11.2944348 51.3597643, 11.2939538 51.3598584, 11.2928764 51.3600793, 11.2927356 51.3601062, 11.2926144 51.3601294, 11.2917228 51.3603321, 11.2914705 51.3603834, 11.2912203 51.3604285, 11.2910462 51.3604578, 11.2904121 51.3605773, 11.289899 51.360674, 11.2892619 51.3608161)",,
177326354,2,Reinsdorfer Straße,secondary,50,,False,True,82.459,8,"LINESTRING (11.2892619 51.3608161, 11.2893095 51.3608951, 11.2893388 51.3609559, 11.2893568 51.361014, 11.2893666 51.3610753, 11.289368 51.3611635, 11.2893562 51.3612779, 11.2893368 51.3613713, 11.2893179 51.361423, 11.2892922 51.3614724, 11.2892462 51.3615372)",,L 3086
"[177336538, 177326363, 177326366, 177326359]",2,Reinsdorfer Straße,secondary,50,,False,False,131.65900000000002,"['7', '6.5']","LINESTRING (11.2892619 51.3608161, 11.2891902 51.3607254, 11.2891359 51.3606732, 11.2890812 51.3606228, 11.2890216 51.3605716, 11.2888401 51.3604408, 11.2885047 51.3602016, 11.2880967 51.3599246, 11.2880654 51.359903)",yes,L 3086
177326413,,Weide,residential,,,False,False,377.84,,"LINESTRING (11.2892619 51.3608161, 11.289899 51.360674, 11.2904121 51.3605773, 11.2910462 51.3604578, 11.2912203 51.3604285, 11.2914705 51.3603834, 11.2917228 51.3603321, 11.2926144 51.3601294, 11.2927356 51.3601062, 11.2928764 51.3600793, 11.2939538 51.3598584, 11.2944348 51.3597643)",,
"[177326345, 177326349, 551740606]",2,"['Mühlwerder', 'Reinsdorfer Straße']",residential,50,delivery,False,True,110.84200000000001,,"LINESTRING (11.2892462 51.3615372, 11.2893858 51.3615706, 11.2894514 51.3615973, 11.2895067 51.3616288, 11.2895431 51.3616692, 11.2895644 51.3617117, 11.2895844 51.3617725, 11.2896191 51.3618781, 11.2896385 51.361943, 11.289662 51.3620218, 11.2896936 51.362115, 11.2897259 51.3621954, 11.2897311 51.3622083, 11.2897989 51.3623678, 11.2898168 51.3624108)",,
177326354,2,Reinsdorfer Straße,secondary,50,,False,False,82.459,8,"LINESTRING (11.2892462 51.3615372, 11.2892922 51.3614724, 11.2893179 51.361423, 11.2893368 51.3613713, 11.2893562 51.3612779, 11.289368 51.3611635, 11.2893666 51.3610753, 11.2893568 51.361014, 11.2893388 51.3609559, 11.2893095 51.3608951, 11.2892619 51.3608161)",,L 3086
