osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,lanes,width
36156847,Hohlweg,residential,50,False,False,66.727,"LINESTRING (9.9239485 54.2133513, 9.9241304 54.2134273, 9.9242797 54.2135243, 9.924595 54.2138086)",,,,
75999898,Mühlenstraße,residential,50,False,False,85.195,"LINESTRING (9.9239485 54.2133513, 9.9235741 54.2138172, 9.923463 54.2139377, 9.9233495 54.214031)",,,,
36156825,Uhlenbarg,residential,50,False,True,70.131,"LINESTRING (9.9348351 54.2139738, 9.9348777 54.2138633, 9.935036 54.2137319, 9.9350827 54.2136183, 9.935105 54.2133788)",,,,
75999923,Hörn,residential,50,False,False,103.463,"LINESTRING (9.9305044 54.2122704, 9.9310758 54.2131388)",,,,
"[36156836, 1051989126]",Hörn,residential,50,True,False,71.03699999999999,"LINESTRING (9.9305044 54.2122704, 9.9300266 54.2118686, 9.9300409 54.211807, 9.9300609 54.2117205)",,,,
75999923,Hörn,residential,50,False,True,103.463,"LINESTRING (9.9310758 54.2131388, 9.9305044 54.2122704)",,,,
75999923,Hörn,residential,50,False,False,38.453,"LINESTRING (9.9310758 54.2131388, 9.9314398 54.2131869, 9.9316526 54.2132151)",,,,
189151177,,residential,,False,False,83.922,"LINESTRING (9.9310758 54.2131388, 9.9312246 54.2134433, 9.9311146 54.2135404, 9.9309464 54.2136154, 9.9306446 54.2137049)",,,,
36156837,Am Sportplatz,residential,30,False,True,33.082,"LINESTRING (9.924007 54.2127021, 9.9244002 54.2128909)",,,,
75999869,Windmühlenberg,residential,30,False,False,71.678,"LINESTRING (9.924007 54.2127021, 9.9236291 54.2129442, 9.9233826 54.2131855, 9.923371 54.2132206)",,,,
36156847,Hohlweg,residential,50,False,True,66.727,"LINESTRING (9.924595 54.2138086, 9.9242797 54.2135243, 9.9241304 54.2134273, 9.9239485 54.2133513)",,,,
39288210,Am Brunnenberg,residential,,False,False,49.830000000000005,"LINESTRING (9.9376975 54.2125099, 9.9377212 54.2122431, 9.9377184 54.2121835, 9.9377128 54.2120622)",,,,
75999840,Bordesholmer Straße,residential,50,False,True,108.187,"LINESTRING (9.9376975 54.2125099, 9.9369769 54.2124814, 9.9360821 54.2123101)",,,,
39288210,Am Brunnenberg,residential,,False,True,49.83,"LINESTRING (9.9377128 54.2120622, 9.9377184 54.2121835, 9.9377212 54.2122431, 9.9376975 54.2125099)",,,,
59313131,Olendiekskamp,residential,50,False,False,48.917,"LINESTRING (9.9270279 54.2090681, 9.9264737 54.2092689, 9.9264025 54.2093102)",,,,
59313131,Olendiekskamp,residential,50,False,True,116.15,"LINESTRING (9.9270279 54.2090681, 9.9276589 54.2095018, 9.9276549 54.209577, 9.9270743 54.2097882)",,,,
384575314,Olendiekskamp,residential,50,False,False,137.369,"LINESTRING (9.9270279 54.2090681, 9.9259325 54.2082639, 9.9256439 54.2083841)",,,,
262596245,Nortorfer Straße,secondary,50,False,False,35.683,"LINESTRING (9.9270743 54.2097882, 9.9267199 54.2095432)",L 298,,,8
59313131,Olendiekskamp,residential,50,False,False,116.15,"LINESTRING (9.9270743 54.2097882, 9.9276549 54.209577, 9.9276589 54.2095018, 9.9270279 54.2090681)",,,,
"[25021936, 262596245]",Nortorfer Straße,secondary,"['50', '30']",False,True,272.75,"LINESTRING (9.9270743 54.2097882, 9.9279219 54.2104087, 9.9280998 54.2105389, 9.9283356 54.2106829, 9.9283637 54.2107, 9.9287412 54.2109304, 9.9287942 54.2109627, 9.9292363 54.2112895, 9.9295362 54.2115112, 9.9296643 54.2115794, 9.929811 54.2116389)",L 298,,,8
262596245,Nortorfer Straße,secondary,50,False,True,33.125,"LINESTRING (9.9264025 54.2093102, 9.9267199 54.2095432)",L 298,,,8
59313131,Olendiekskamp,residential,50,False,True,48.917,"LINESTRING (9.9264025 54.2093102, 9.9264737 54.2092689, 9.9270279 54.2090681)",,,,
262596245,Nortorfer Straße,secondary,50,False,False,55.414,"LINESTRING (9.9264025 54.2093102, 9.9263467 54.2092733, 9.9258664 54.2089229)",L 298,,,8
384575314,Olendiekskamp,residential,50,False,True,137.369,"LINESTRING (9.9256439 54.2083841, 9.9259325 54.2082639, 9.9270279 54.2090681)",,,,
59366545,An der Mühlenau,residential,30,False,True,129.708,"LINESTRING (9.9250486 54.2101799, 9.9267199 54.2095432)",,,,6
75999871,An der Mühlenau,residential,30,False,False,90.308,"LINESTRING (9.9250486 54.2101799, 9.9241591 54.2095562)",,,,
75999871,An der Mühlenau,residential,30,False,True,31.237,"LINESTRING (9.9250486 54.2101799, 9.9254445 54.210339)",,,,
262596245,Nortorfer Straße,secondary,50,False,False,35.719,"LINESTRING (9.9258664 54.2089229, 9.9255144 54.2086763)",L 298,,,8
65251995,An der Mühlenau,residential,30,False,False,131.474,"LINESTRING (9.9258664 54.2089229, 9.9253126 54.2091283, 9.9247239 54.2093467, 9.9241591 54.2095562)",,,,
262596245,Nortorfer Straße,secondary,50,False,True,55.414,"LINESTRING (9.9258664 54.2089229, 9.9263467 54.2092733, 9.9264025 54.2093102)",L 298,,,8
75999871,An der Mühlenau,residential,30,False,True,90.308,"LINESTRING (9.9241591 54.2095562, 9.9250486 54.2101799)",,,,
65251995,An der Mühlenau,residential,30,False,True,131.47400000000002,"LINESTRING (9.9241591 54.2095562, 9.9247239 54.2093467, 9.9253126 54.2091283, 9.9258664 54.2089229)",,,,
75999871,An der Mühlenau,residential,30,False,False,51.925,"LINESTRING (9.9241591 54.2095562, 9.9237634 54.2093635, 9.9235961 54.2092296)",,,,
75999871,An der Mühlenau,residential,30,False,True,51.925,"LINESTRING (9.9235961 54.2092296, 9.9237634 54.2093635, 9.9241591 54.2095562)",,,,
75999923,Hörn,residential,50,False,True,38.453,"LINESTRING (9.9316526 54.2132151, 9.9314398 54.2131869, 9.9310758 54.2131388)",,,,
75999827,Am Hollm,residential,50,False,False,53.439,"LINESTRING (9.9369204 54.2144103, 9.9362085 54.2145676, 9.9361516 54.2145802)",,,,
75999892,Kieler Straße,secondary,50,False,False,116.036,"LINESTRING (9.9369204 54.2144103, 9.9368831 54.2143775, 9.936802 54.2142841, 9.9366953 54.2141954, 9.9364599 54.2140264, 9.9361953 54.2138709, 9.9357338 54.2136424)",L 298,,,
75999871,An der Mühlenau,residential,30,False,False,31.237,"LINESTRING (9.9254445 54.210339, 9.9250486 54.2101799)",,,,
75999827,Am Hollm,residential,50,False,True,53.439,"LINESTRING (9.9361516 54.2145802, 9.9362085 54.2145676, 9.9369204 54.2144103)",,,,
75999869,Windmühlenberg,residential,30,False,False,45.507999999999996,"LINESTRING (9.923371 54.2132206, 9.9234127 54.2132759, 9.9234127 54.21332, 9.9233846 54.2133515, 9.9233523 54.2133616, 9.9233049 54.2133654, 9.9232574 54.2133503, 9.9232078 54.2133124, 9.9232251 54.2132771, 9.9232682 54.2132507, 9.923371 54.2132206)",,,,
75999869,Windmühlenberg,residential,30,False,True,45.507999999999996,"LINESTRING (9.923371 54.2132206, 9.9232682 54.2132507, 9.9232251 54.2132771, 9.9232078 54.2133124, 9.9232574 54.2133503, 9.9233049 54.2133654, 9.9233523 54.2133616, 9.9233846 54.2133515, 9.9234127 54.21332, 9.9234127 54.2132759, 9.923371 54.2132206)",,,,
75999869,Windmühlenberg,residential,30,False,True,71.678,"LINESTRING (9.923371 54.2132206, 9.9233826 54.2131855, 9.9236291 54.2129442, 9.924007 54.2127021)",,,,
189151177,,residential,,False,True,83.922,"LINESTRING (9.9306446 54.2137049, 9.9309464 54.2136154, 9.9311146 54.2135404, 9.9312246 54.2134433, 9.9310758 54.2131388)",,,,
386996895,Nortorfer Straße,secondary,50,False,False,52.486,"LINESTRING (9.9250906 54.2083595, 9.9245577 54.208005)",L 298,,,
386996896,Nortorfer Straße,secondary,50,True,False,44.8,"LINESTRING (9.9250906 54.2083595, 9.9253071 54.2085108, 9.9253863 54.2085631, 9.9255144 54.2086763)",L 298,,,
262596245,Nortorfer Straße,secondary,50,False,True,35.719,"LINESTRING (9.9255144 54.2086763, 9.9258664 54.2089229)",L 298,,,8
386996897,Nortorfer Straße,secondary,50,True,False,46.219,"LINESTRING (9.9255144 54.2086763, 9.9254216 54.2086428, 9.925317 54.2085875, 9.9252233 54.20853, 9.9251533 54.2084715, 9.9251142 54.2084226, 9.9250906 54.2083595)",L 298,,,
75999840,Bordesholmer Straße,residential,50,False,True,7.847,"LINESTRING (9.9360821 54.2123101, 9.9359855 54.2122678)",,,,
36156821,Meiereidamm,residential,50,True,False,150.51000000000002,"LINESTRING (9.9360821 54.2123101, 9.9360131 54.2125809, 9.9359009 54.2132231, 9.9358168 54.2135426, 9.9357338 54.2136424)",,,1,
75999840,Bordesholmer Straße,residential,50,False,False,108.187,"LINESTRING (9.9360821 54.2123101, 9.9369769 54.2124814, 9.9376975 54.2125099)",,,,
