osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,width,bridge,junction
"[25903299, 574110460, 574110461]",False,"['2', '3']",Hainichener Straße,secondary,50,False,91.034,"LINESTRING (12.9846824 50.982936, 12.9845534 50.9828031, 12.9844633 50.9827095, 12.9843319 50.9825737, 12.9843049 50.9825469, 12.9842048 50.9824403, 12.9840584 50.9822909, 12.984006 50.9822368)",S 201,,,
25903547,False,,Gartenstraße,residential,,True,162.394,"LINESTRING (12.9846824 50.982936, 12.9832 50.9837497, 12.9829374 50.9838983)",,4,,
"[828145835, 140496902]",False,2,Hainichener Straße,secondary,50,False,123.286,"LINESTRING (12.9846824 50.982936, 12.9850043 50.983215, 12.9851411 50.9833301, 12.9852735 50.9834226, 12.9853644 50.9834742, 12.9854733 50.9835273, 12.9855976 50.983582, 12.9857655 50.9836459, 12.9859253 50.9836971)",S 201,,,
828145836,False,2,Hainichener Straße,secondary,50,True,18.058,"LINESTRING (12.9861526 50.9837739, 12.9859253 50.9836971)",S 201,,,
32852903,False,,Mühlfeld,residential,,True,24.979,"LINESTRING (12.9861526 50.9837739, 12.9862548 50.9837325, 12.9863513 50.9837178, 12.9864863 50.9837073)",,4,,
249685694,False,3,Hainichener Straße,secondary,50,True,58.214,"LINESTRING (12.9861526 50.9837739, 12.9864243 50.9838781, 12.9865814 50.9839307, 12.9866783 50.9839585, 12.9867748 50.9839741, 12.9868444 50.9839795, 12.9869036 50.9839775)",S 201,,,
25902759,False,3,Steinweg,secondary,50,False,51.294,"LINESTRING (12.9869036 50.9839775, 12.9869576 50.9841067, 12.986976 50.9841508, 12.9870086 50.9842446, 12.9870174 50.9843067, 12.9870142 50.9843718, 12.9869954 50.9844292)",S 247,,,
249685694,False,3,Hainichener Straße,secondary,50,False,58.214,"LINESTRING (12.9869036 50.9839775, 12.9868444 50.9839795, 12.9867748 50.9839741, 12.9866783 50.9839585, 12.9865814 50.9839307, 12.9864243 50.9838781, 12.9861526 50.9837739)",S 201,,,
249685695,False,2,Hainichener Straße,secondary,50,True,95.03999999999999,"LINESTRING (12.9869036 50.9839775, 12.9869702 50.98397, 12.9870422 50.9839566, 12.9871293 50.9839303, 12.9873705 50.983827, 12.9878355 50.9836204, 12.9880347 50.9835177)",S 201,,,
25903542,False,,Kirchstraße,residential,,False,186.13,"LINESTRING (12.9846104 50.9851758, 12.9846078 50.9851402, 12.9845823 50.9850858, 12.9843317 50.9848637, 12.9841555 50.9846869, 12.9840194 50.9845861, 12.9835741 50.9842925, 12.9829374 50.9838983)",,,,
129954183,False,,Freiberger Straße,residential,30,False,11.181000000000001,"LINESTRING (12.9846104 50.9851758, 12.9846645 50.9851755, 12.9847698 50.9851808)",,,,
129954183,False,,Freiberger Straße,residential,30,True,159.017,"LINESTRING (12.9846104 50.9851758, 12.9843241 50.985184, 12.9840106 50.985208, 12.9837763 50.9852345, 12.9835662 50.9852886, 12.9834025 50.9853457, 12.9833126 50.9853837, 12.9832347 50.9854151, 12.9830765 50.9854927, 12.9829806 50.9855358, 12.9827795 50.9856185, 12.9825611 50.9857046)",,,,
25903542,False,,Kirchstraße,residential,,False,51.14,"LINESTRING (12.9829374 50.9838983, 12.9824057 50.9835829)",,,,
25903542,False,,Kirchstraße,residential,,True,186.13,"LINESTRING (12.9829374 50.9838983, 12.9835741 50.9842925, 12.9840194 50.9845861, 12.9841555 50.9846869, 12.9843317 50.9848637, 12.9845823 50.9850858, 12.9846078 50.9851402, 12.9846104 50.9851758)",,,,
25903547,False,,Gartenstraße,residential,,False,162.394,"LINESTRING (12.9829374 50.9838983, 12.9832 50.9837497, 12.9846824 50.982936)",,4,,
25485175,False,,Chemnitzer Straße,tertiary,50,False,120.175,"LINESTRING (12.9799736 50.9831117, 12.9800611 50.9830885, 12.9801446 50.9830663, 12.9802069 50.9830417, 12.9802801 50.9830084, 12.9804697 50.9828814, 12.9805712 50.9827936, 12.9806419 50.9827083, 12.9806814 50.9826205, 12.9807462 50.9824246, 12.9808095 50.9822385)",,,,
916376535,True,1,Weberstraße,tertiary,,False,23.774,"LINESTRING (12.9799736 50.9831117, 12.9799809 50.9831471, 12.9799722 50.9831823, 12.9799483 50.9832146, 12.979911 50.9832414, 12.9798633 50.9832606, 12.9798091 50.9832707)",,,,roundabout
25903674,False,,Weberstraße,tertiary,50,True,158.529,"LINESTRING (12.9797732 50.9830192, 12.9797522 50.9829535, 12.979733 50.9828931, 12.9796861 50.9828034, 12.9795982 50.9826897, 12.9794856 50.9825908, 12.9793692 50.982501, 12.9792384 50.9824067, 12.9791401 50.9823462, 12.979087 50.9823135, 12.9790212 50.9822779, 12.9789317 50.9822294, 12.9786018 50.9820751, 12.9783597 50.9819577)",,,,
916376535,True,1,Weberstraße,tertiary,,False,18.73,"LINESTRING (12.9797732 50.9830192, 12.9798114 50.9830206, 12.9798484 50.9830266, 12.9798829 50.9830369, 12.9799137 50.9830512, 12.9799397 50.9830688, 12.9799599 50.9830893, 12.9799736 50.9831117)",,,,roundabout
"[380665960, 380665961, 25902799, 733405552, 1217849589, 1217849525]",False,2,Frankenberger Straße,secondary,50,False,369.1669999999999,"LINESTRING (12.9851412 50.9852453, 12.9850093 50.9853703, 12.984667 50.9857194, 12.9844417 50.9859371, 12.9843341 50.9860185, 12.9842178 50.986093, 12.9840807 50.9861727, 12.9839365 50.9862356, 12.9837785 50.9862943, 12.9836458 50.9863355, 12.983597 50.9863509, 12.9835309 50.9863719, 12.9833231 50.9864361, 12.9831365 50.9865054, 12.9830543 50.9865419, 12.9829423 50.986592, 12.9826113 50.9867519, 12.9824284 50.9868403, 12.9823529 50.9868635, 12.9822617 50.9868834, 12.9821732 50.9868974, 12.9820676 50.9868967, 12.9819353 50.9868854, 12.9816714 50.9868577, 12.9812244 50.9868079, 12.9809859 50.9867638)",S 247,6.5,yes,
45478053,False,,Dr.-Wilhelm-Külz-Straße,residential,,False,58.699,"LINESTRING (12.9851412 50.9852453, 12.9852906 50.9853007, 12.9853197 50.9853176, 12.9856669 50.9856452)",,,,
129954183,False,,Freiberger Straße,residential,30,True,27.048000000000002,"LINESTRING (12.9851412 50.9852453, 12.9850081 50.9852175, 12.9849511 50.985203, 12.9847698 50.9851808)",,,,
733987054,False,2,Frankenberger Straße,secondary,50,True,31.801000000000002,"LINESTRING (12.9851412 50.9852453, 12.9852397 50.9851598, 12.9853347 50.985089, 12.9854363 50.985029)",S 247,6.5,,
129954183,False,,Freiberger Straße,residential,30,False,14.437999999999999,"LINESTRING (12.9823553 50.9857084, 12.9824878 50.9857097, 12.9825611 50.9857046)",,,,
25463786,False,,Burgstädter Straße,tertiary,50,True,3.939,"LINESTRING (12.9783597 50.9819577, 12.9783151 50.9819361)",,,,
25903674,False,,Weberstraße,tertiary,50,False,158.529,"LINESTRING (12.9783597 50.9819577, 12.9786018 50.9820751, 12.9789317 50.9822294, 12.9790212 50.9822779, 12.979087 50.9823135, 12.9791401 50.9823462, 12.9792384 50.9824067, 12.9793692 50.982501, 12.9794856 50.9825908, 12.9795982 50.9826897, 12.9796861 50.9828034, 12.979733 50.9828931, 12.9797522 50.9829535, 12.9797732 50.9830192)",,,,
25903817,False,,Südstraße,residential,,True,253.62,"LINESTRING (12.9783597 50.9819577, 12.9781526 50.9821023, 12.9779452 50.9822337, 12.9777776 50.9823142, 12.9775742 50.982396, 12.9773281 50.9824657, 12.9770274 50.9825267, 12.9768345 50.9825563, 12.9767078 50.9825742, 12.9766201 50.9825836, 12.9765059 50.9825876, 12.9750564 50.9826046)",,,,
25903817,False,,Südstraße,residential,,False,253.61999999999998,"LINESTRING (12.9750564 50.9826046, 12.9765059 50.9825876, 12.9766201 50.9825836, 12.9767078 50.9825742, 12.9768345 50.9825563, 12.9770274 50.9825267, 12.9773281 50.9824657, 12.9775742 50.982396, 12.9777776 50.9823142, 12.9779452 50.9822337, 12.9781526 50.9821023, 12.9783597 50.9819577)",,,,
26148241,False,,Poststraße,residential,,True,138.9,"LINESTRING (12.9750564 50.9826046, 12.9750564 50.9825092, 12.9749947 50.982183, 12.9749668 50.982104, 12.9749166 50.9820441, 12.974688 50.9818609, 12.9744488 50.9816766, 12.9743162 50.9815323, 12.9742853 50.9814986)",,,,
25463785,True,,Poststraße,residential,50,False,110.988,"LINESTRING (12.9756743 50.9863508, 12.9757565 50.9860856, 12.9757891 50.9859474, 12.9757963 50.9858317, 12.9757715 50.985674, 12.9757579 50.9855874, 12.9756885 50.9853647)",,,,
"[1217851043, 1132449870]",True,,Rochlitzer Straße,residential,30,False,119.48999999999998,"LINESTRING (12.9756743 50.9863508, 12.9755948 50.9863424, 12.9753601 50.9863307, 12.9749006 50.9862695, 12.9742003 50.9861975, 12.9740961 50.9861868, 12.9740198 50.9861817, 12.9739904 50.9861827)",,,,
25904104,False,,Albert-Schweitzer-Straße,unclassified,30,True,230.16700000000003,"LINESTRING (12.9787823 50.9884761, 12.978714 50.9884337, 12.9786339 50.988406, 12.9779462 50.9882745, 12.9777564 50.9882451, 12.9775735 50.988234, 12.9773465 50.9882364, 12.9772187 50.9882392, 12.9763504 50.9882576, 12.975717 50.9882671, 12.9755715 50.9882732)",,,,
25904208,False,,Lauenhainer Straße,residential,,False,58.742000000000004,"LINESTRING (12.9787823 50.9884761, 12.9789447 50.9884592, 12.979048 50.9884428, 12.9795001 50.9883904, 12.9796081 50.9883846)",,,,
733987053,False,,Lauenhainer Straße,unclassified,,True,67.624,"LINESTRING (12.9787823 50.9884761, 12.9788006 50.988513, 12.9788084 50.9885458, 12.9788006 50.9885883, 12.9787836 50.9886227, 12.9787546 50.9886549, 12.9787058 50.9886932, 12.9783154 50.9889717)",,,,
422600243,False,,Rosa-Luxemburg-Straße,unclassified,30,True,31.846,"LINESTRING (12.9773653 50.9896242, 12.9774669 50.9896211, 12.9778198 50.9896111)",,,,
733987053,False,,Lauenhainer Straße,unclassified,,False,43.199,"LINESTRING (12.9773653 50.9896242, 12.9775765 50.989514, 12.9778109 50.9893565)",,,,
25904208,False,,Lauenhainer Straße,residential,,False,47.703,"LINESTRING (12.9796081 50.9883846, 12.9798331 50.9883853, 12.9800487 50.9883703, 12.9802873 50.9883565)",,,,
25904208,False,,Lauenhainer Straße,residential,,True,58.742,"LINESTRING (12.9796081 50.9883846, 12.9795001 50.9883904, 12.979048 50.9884428, 12.9789447 50.9884592, 12.9787823 50.9884761)",,,,
25904389,False,,Lauenhainer Straße,residential,,True,50.846000000000004,"LINESTRING (12.9796081 50.9883846, 12.9795813 50.9882565, 12.9795526 50.9882018, 12.9795053 50.988145, 12.9794547 50.9880772, 12.9794293 50.9880171, 12.9794096 50.987949)",,,,
25904286,False,2,Tzschirnerplatz,residential,50,True,65.581,"LINESTRING (12.9756649 50.9868388, 12.9756518 50.9870318, 12.9756402 50.9871486, 12.9756121 50.9873015, 12.9755942 50.9873611, 12.9755627 50.987423)",,,,
655044003,False,3,Tzschirnerstraße,secondary,50,False,42.83,"LINESTRING (12.9756649 50.9868388, 12.976112 50.9868861, 12.9762689 50.9869003)",S 247,,,
"[1217850004, 1217850003, 25904220]",True,,Poststraße,residential,30,False,54.291999999999994,"LINESTRING (12.9756649 50.9868388, 12.975658 50.9867636, 12.9756733 50.9864086, 12.9756743 50.9863508)",,,,
"[1217849472, 413083082, 25902654]",False,"['2', '3']",Zimmerstraße,secondary,50,False,236.575,"LINESTRING (12.9776485 50.9867928, 12.9777802 50.9867607, 12.9779341 50.9867194, 12.9780638 50.986689, 12.9781674 50.9866787, 12.978334 50.9866734, 12.9784025 50.9866734, 12.9786686 50.9866768, 12.9788588 50.986685, 12.9789917 50.9866931, 12.9790581 50.9866975, 12.9792106 50.9867084, 12.9796231 50.9867411, 12.9798279 50.9867503, 12.9800456 50.9867472, 12.9805644 50.9867353, 12.9807687 50.9867456, 12.9809859 50.9867638)",S 247,,,
25902654,False,2,Zimmerstraße,secondary,50,True,36.599,"LINESTRING (12.9776485 50.9867928, 12.9774272 50.9868468, 12.9772921 50.986872, 12.9771513 50.9868928)",S 247,,,
1252437890,False,,Tzschirnerplatz,residential,,False,15.71,"LINESTRING (12.9776485 50.9867928, 12.977688 50.9868535, 12.9777203 50.9869264)",,,,
526186755,False,1,Tzschirnerplatz,residential,,False,43.696,"LINESTRING (12.9768142 50.987438, 12.9766939 50.9874664, 12.976553 50.9874684, 12.9761993 50.9874505)",,,,
25904329,False,1,Tzschirnerplatz,residential,50,True,61.393,"LINESTRING (12.9762689 50.9869003, 12.9762528 50.986972, 12.9762409 50.987055, 12.9761993 50.9874505)",,,,
"[25902654, 655044002, 526186918]",False,2,"['Zimmerstraße', 'Tzschirnerstraße']",secondary,50,False,62.003,"LINESTRING (12.9762689 50.9869003, 12.976357 50.9869064, 12.9766134 50.9869194, 12.9768659 50.9869132, 12.9770204 50.9869028, 12.9771513 50.9868928)",S 247,,,
655044003,False,3,Tzschirnerstraße,secondary,50,True,42.83,"LINESTRING (12.9762689 50.9869003, 12.976112 50.9868861, 12.9756649 50.9868388)",S 247,,,
25904329,False,1,Tzschirnerplatz,residential,50,False,61.392999999999994,"LINESTRING (12.9761993 50.9874505, 12.9762409 50.987055, 12.9762528 50.986972, 12.9762689 50.9869003)",,,,
526186755,False,1,Tzschirnerplatz,residential,,False,44.668000000000006,"LINESTRING (12.9761993 50.9874505, 12.9758424 50.9874325, 12.9755627 50.987423)",,,,
526186755,False,1,Tzschirnerplatz,residential,,True,43.696000000000005,"LINESTRING (12.9761993 50.9874505, 12.976553 50.9874684, 12.9766939 50.9874664, 12.9768142 50.987438)",,,,
25904208,False,,Lauenhainer Straße,residential,,True,47.703,"LINESTRING (12.9802873 50.9883565, 12.9800487 50.9883703, 12.9798331 50.9883853, 12.9796081 50.9883846)",,,,
25904442,False,,Auensteig,residential,,True,120.187,"LINESTRING (12.9802873 50.9883565, 12.9803027 50.9883009, 12.980345 50.9882361, 12.9804812 50.9880039, 12.9805572 50.9879151, 12.9806997 50.9877849, 12.9807379 50.9877523, 12.9808436 50.987662, 12.9810071 50.9875424, 12.9810891 50.9874981, 12.9811807 50.9874595)",,,,
491211574,False,,Auensteig,residential,,False,189.552,"LINESTRING (12.9802873 50.9883565, 12.9802947 50.9884095, 12.9803007 50.9884706, 12.980307 50.9885246, 12.9803041 50.98855, 12.9802559 50.988805, 12.9801832 50.9890627, 12.9801176 50.9891814, 12.9800535 50.989268, 12.9799969 50.9893343, 12.9799225 50.9894021, 12.9798204 50.9894736, 12.9797416 50.9895095, 12.9796539 50.9895323, 12.9795269 50.9895464, 12.9790276 50.9895671)",,,,
25904442,False,,Auensteig,residential,,False,120.187,"LINESTRING (12.9811807 50.9874595, 12.9810891 50.9874981, 12.9810071 50.9875424, 12.9808436 50.987662, 12.9807379 50.9877523, 12.9806997 50.9877849, 12.9805572 50.9879151, 12.9804812 50.9880039, 12.980345 50.9882361, 12.9803027 50.9883009, 12.9802873 50.9883565)",,,,
"[655044006, 447294004, 542447669, 1217849532, 37133310]",False,2,Waldheimer Straße,tertiary,"['50', '30']",True,110.10900000000002,"LINESTRING (12.9811807 50.9874595, 12.9812212 50.9875244, 12.9812494 50.9875606, 12.9813489 50.9876576, 12.9815233 50.9878249, 12.981548 50.9878486, 12.9816565 50.987949, 12.9817124 50.988033, 12.9817221 50.9880786, 12.9817239 50.9881331, 12.9816844 50.9882391, 12.9816453 50.9883508)",K 8212,5.0,,
"[655044005, 1217849527]",False,2,Waldheimer Straße,tertiary,50,False,78.56700000000001,"LINESTRING (12.9811807 50.9874595, 12.9811315 50.9873089, 12.981039 50.9869898, 12.9810171 50.9868967, 12.9809859 50.9867638)",K 8212,5.0,,
422600243,False,,Rosa-Luxemburg-Straße,unclassified,30,False,84.67800000000001,"LINESTRING (12.9790276 50.9895671, 12.9784431 50.9895884, 12.9778978 50.9896083, 12.9778198 50.9896111)",,,,
491211574,False,,Auensteig,residential,,True,189.55199999999996,"LINESTRING (12.9790276 50.9895671, 12.9795269 50.9895464, 12.9796539 50.9895323, 12.9797416 50.9895095, 12.9798204 50.9894736, 12.9799225 50.9894021, 12.9799969 50.9893343, 12.9800535 50.989268, 12.9801176 50.9891814, 12.9801832 50.9890627, 12.9802559 50.988805, 12.9803041 50.98855, 12.980307 50.9885246, 12.9803007 50.9884706, 12.9802947 50.9884095, 12.9802873 50.9883565)",,,,
281796527,False,2,Waldheimer Straße,tertiary,50,True,96.45700000000001,"LINESTRING (12.9816453 50.9883508, 12.9816117 50.9884481, 12.9816049 50.9885616, 12.9816198 50.988666, 12.9816265 50.9886968, 12.9816542 50.9888248, 12.9817297 50.9889718, 12.9818669 50.9891175, 12.9819354 50.9891666)",K 8212,5.0,,
422600294,False,,Kuxberg,residential,,True,177.68400000000003,"LINESTRING (12.9816453 50.9883508, 12.9815305 50.9883453, 12.9814332 50.988362, 12.9813523 50.9883922, 12.981248 50.9884662, 12.981141 50.9885801, 12.9810263 50.9887329, 12.9809532 50.9888626, 12.9809328 50.988943, 12.9809407 50.989091, 12.9809691 50.9892687, 12.9810109 50.9894774, 12.9810202 50.9897238)",,,,
"[655044006, 447294004, 542447669, 1217849532, 37133310]",False,2,Waldheimer Straße,tertiary,"['50', '30']",False,110.10900000000001,"LINESTRING (12.9816453 50.9883508, 12.9816844 50.9882391, 12.9817239 50.9881331, 12.9817221 50.9880786, 12.9817124 50.988033, 12.9816565 50.987949, 12.981548 50.9878486, 12.9815233 50.9878249, 12.9813489 50.9876576, 12.9812494 50.9875606, 12.9812212 50.9875244, 12.9811807 50.9874595)",K 8212,5.0,,
24754948,False,2,Lutherstraße,residential,50,True,76.05799999999999,"LINESTRING (12.9744674 50.9886829, 12.9747971 50.9885319, 12.9751399 50.9883829, 12.9752247 50.9883409, 12.9752961 50.9882985, 12.9753262 50.9882686)",,,,
25960622,False,,Steinweg,residential,,True,72.801,"LINESTRING (12.9879366 50.9842328, 12.9873957 50.9844408, 12.9872936 50.9844554, 12.9871747 50.9844497, 12.9869954 50.9844292)",,,,
26148241,False,,Poststraße,residential,,False,138.9,"LINESTRING (12.9742853 50.9814986, 12.9743162 50.9815323, 12.9744488 50.9816766, 12.974688 50.9818609, 12.9749166 50.9820441, 12.9749668 50.982104, 12.9749947 50.982183, 12.9750564 50.9825092, 12.9750564 50.9826046)",,,,
733397718,True,,Poststraße,residential,50,False,87.357,"LINESTRING (12.9752054 50.9833846, 12.9750564 50.9826046)",,,,
26148315,True,,Johann-Sebastian-Bach-Straße,residential,,False,187.014,"LINESTRING (12.9752054 50.9833846, 12.9769469 50.9833951, 12.9771949 50.9833913, 12.9774874 50.9833775, 12.9776506 50.983358, 12.9778633 50.983317)",,,,
1031318049,False,,Neustadt,residential,30,False,38.870000000000005,"LINESTRING (12.9793733 50.9833054, 12.9793628 50.9833583, 12.9793256 50.983422, 12.979267 50.9834915, 12.9792251 50.9835138, 12.9791822 50.9835338, 12.9791287 50.9835519, 12.9790708 50.9835753)",,,,
1031320648,False,,Johann-Sebastian-Bach-Straße,residential,30,False,19.680999999999997,"LINESTRING (12.9793733 50.9833054, 12.9794887 50.9832709, 12.979538 50.983254, 12.9796234 50.9832247)",,,,
26148315,True,,Johann-Sebastian-Bach-Straße,residential,,False,109.37299999999999,"LINESTRING (12.9778633 50.983317, 12.9781854 50.9832412, 12.9783657 50.9832123, 12.9785102 50.9831978, 12.9785724 50.983198, 12.9786375 50.9832051, 12.9787842 50.9832308, 12.9790338 50.9832754, 12.9791854 50.9833015, 12.9792841 50.9833096, 12.9793733 50.9833054)",,,,
388874163,False,,Stadtgraben,residential,,True,126.213,"LINESTRING (12.9778633 50.983317, 12.977837 50.9833896, 12.9778283 50.9834433, 12.9778195 50.9835784, 12.9778124 50.9838526, 12.9778041 50.9842081, 12.9777984 50.9844497)",,,,
26148343,True,,Neustadt,residential,30,False,187.88699999999997,"LINESTRING (12.9790708 50.9835753, 12.9790396 50.9836049, 12.9788735 50.9839741, 12.9788534 50.9840146, 12.9788021 50.9841182, 12.9787725 50.9841991, 12.9787218 50.984494, 12.9786861 50.9847326, 12.9786652 50.9849036, 12.9786646 50.9849927, 12.9786771 50.985045, 12.9787011 50.9851088, 12.9787733 50.9852211)",,,,
