osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,access
31989838,,Rottstraße,residential,,False,True,140.13700000000003,"LINESTRING (8.0391887 52.1546887, 8.0400231 52.154771, 8.0407071 52.1548419, 8.0409483 52.1548333, 8.0410943 52.1548076, 8.0411967 52.1547671)",,
79818844,,Mühlenstraße,residential,30,False,True,50.266,"LINESTRING (8.0516664 52.1521573, 8.0511936 52.152504)",,
37550617,,Reginenkamp,residential,,False,False,176.20600000000002,"LINESTRING (8.0516664 52.1521573, 8.0517097 52.1521806, 8.0522933 52.1524944, 8.0516956 52.1529262, 8.051067 52.1525976)",,
79818844,,Mühlenstraße,residential,30,False,False,13.525,"LINESTRING (8.051067 52.1525976, 8.0511936 52.152504)",,
37550617,,Reginenkamp,residential,,False,True,176.20600000000002,"LINESTRING (8.051067 52.1525976, 8.0516956 52.1529262, 8.0522933 52.1524944, 8.0517097 52.1521806, 8.0516664 52.1521573)",,
79818844,,Mühlenstraße,residential,30,False,True,192.221,"LINESTRING (8.051067 52.1525976, 8.0502797 52.153158, 8.0498206 52.1534831, 8.0496847 52.1535622, 8.04916 52.1538676)",,
30072072,,Sophienstraße,residential,30,False,True,25.479,"LINESTRING (8.047826 52.1551558, 8.0477461 52.1552409, 8.047655 52.1553593)",,
139994056,,Sophienstraße,residential,30,True,False,165.678,"LINESTRING (8.047826 52.1551558, 8.048226 52.1548952, 8.0486638 52.154654, 8.0492576 52.1543984, 8.0496638 52.1541883)",,
"[530652209, 45268955]",,Thünen,residential,20,False,"[False, True]",51.207,"LINESTRING (8.0438875 52.1573886, 8.0438851 52.1572428, 8.0438751 52.1571588, 8.0437269 52.1571229, 8.0435186 52.157087)",,
50126815,,Schloßstraße,residential,20,False,True,62.458999999999996,"LINESTRING (8.0438875 52.1573886, 8.0440942 52.1574513, 8.0442288 52.1574952, 8.0444129 52.157538, 8.0447378 52.1575898)",,
1123314881,,Schloßstraße,residential,20,False,False,25.94,"LINESTRING (8.0438875 52.1573886, 8.0436919 52.1573444, 8.0435201 52.1573451)",,
26578580,,Drostenhof,residential,30,False,False,96.544,"LINESTRING (8.0481977 52.1545042, 8.04916 52.1538676)",,
26578580,,Drostenhof,residential,30,False,True,129.36599999999999,"LINESTRING (8.0481977 52.1545042, 8.0477005 52.154849, 8.0469311 52.15537)",,
"[60261370, 28674091]",,An der Walkenmühle,residential,30,False,True,254.427,"LINESTRING (8.0481977 52.1545042, 8.048097 52.1544507, 8.0480674 52.1544439, 8.0479471 52.154416, 8.0477805 52.1543879, 8.0476264 52.1543775, 8.0474753 52.1543775, 8.0473056 52.154383, 8.0471218 52.1544309, 8.0463489 52.1547041, 8.0454908 52.1549843, 8.0451206 52.154603)",,
76914716,,Georgstraße,residential,30,False,True,124.16399999999999,"LINESTRING (8.0492404 52.1564112, 8.0486921 52.1563938, 8.0485481 52.1563892, 8.0477871 52.1563648, 8.0474228 52.1563531)",,
76914718,,Hügel,residential,,False,True,208.85700000000003,"LINESTRING (8.0504857 52.1570934, 8.0499923 52.1571252, 8.0496543 52.1571571, 8.0494793 52.1572424, 8.0493803 52.1573084, 8.0492363 52.1573579, 8.0490825 52.1573614, 8.0486205 52.1573492, 8.0481671 52.1573207, 8.0478157 52.1572385, 8.0475872 52.1571923)",,
163997991,,Hagenberg,residential,,False,False,30.716,"LINESTRING (8.0504857 52.1570934, 8.0504996 52.1572516, 8.0505015 52.1573694)",,
47418862,,Friedhofstraße,residential,,False,False,171.804,"LINESTRING (8.0475872 52.1571923, 8.0477112 52.1571367, 8.0478812 52.1570907, 8.0493298 52.1568185, 8.0498698 52.1567788, 8.0499893 52.156771)",,
47418862,,Friedhofstraße,residential,,False,True,51.998000000000005,"LINESTRING (8.0475872 52.1571923, 8.0474054 52.1572543, 8.0472628 52.1573307, 8.0471749 52.1574228, 8.0470912 52.1575281)",,
76914718,,Hügel,residential,,False,False,208.85699999999997,"LINESTRING (8.0475872 52.1571923, 8.0478157 52.1572385, 8.0481671 52.1573207, 8.0486205 52.1573492, 8.0490825 52.1573614, 8.0492363 52.1573579, 8.0493803 52.1573084, 8.0494793 52.1572424, 8.0496543 52.1571571, 8.0499923 52.1571252, 8.0504857 52.1570934)",,
80017040,,Arndtstraße,residential,30,False,True,134.639,"LINESTRING (8.0520099 52.1588194, 8.0507142 52.1588091, 8.0500395 52.1587686)",,
32909400,,Arndtstraße,residential,30,False,True,127.7,"LINESTRING (8.0500395 52.1587686, 8.0495752 52.1585523, 8.0492796 52.1584194, 8.0491087 52.1583426, 8.0487123 52.1581889, 8.0485416 52.1580839)",,yes
80017040,,Arndtstraße,residential,30,False,False,134.639,"LINESTRING (8.0500395 52.1587686, 8.0507142 52.1588091, 8.0520099 52.1588194)",,
