osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,width
"[31311288, 39525133, 39525134]",,Hintere Gasse,residential,,False,False,252.53400000000002,"LINESTRING (9.846295 49.2530475, 9.8462735 49.2532926, 9.8466977 49.2533777, 9.8470071 49.2534213, 9.8471037 49.2534353, 9.8476844 49.2535272, 9.8477662 49.2535517, 9.8478855 49.2535692, 9.8479481 49.2535698, 9.8481269 49.2535736, 9.8482503 49.2535859, 9.8483621 49.2535757, 9.848662 49.2535692, 9.8488793 49.2535947, 9.8489584 49.2535824, 9.8489957 49.2535477, 9.8490254 49.2535089, 9.8490939 49.2534187, 9.8491167 49.2533774)",,
"[41081113, 33174686]",L 1036,Hauptstraße,secondary,50,False,False,100.87800000000001,"LINESTRING (9.846295 49.2530475, 9.8464649 49.2530638, 9.8468046 49.2530965, 9.8470806 49.2531374, 9.8471888 49.2531534, 9.847659 49.253219)",,
"[35107466, 35107467, 615375756, 33174686]",L 1036,"['Hauptstraße', 'Bächlinger Straße']",secondary,50,False,True,239.65200000000002,"LINESTRING (9.846295 49.2530475, 9.8462295 49.253024, 9.8461814 49.2529833, 9.8461639 49.25292, 9.846191 49.2528555, 9.8462352 49.2528082, 9.8462965 49.2527801, 9.8464056 49.2527538, 9.8467132 49.2527578, 9.8474451 49.2527484, 9.8482767 49.2527264, 9.8484293 49.2527112, 9.8485744 49.252695, 9.8490529 49.2526055)",,
"[31312100, 33185557, 437023702]",,Kronenbuck,residential,,False,False,133.303,"LINESTRING (9.847659 49.253219, 9.8476521 49.2531111, 9.8476678 49.2530598, 9.8477193 49.2530123, 9.8477938 49.2529717, 9.8478585 49.2529408, 9.8479903 49.2528969, 9.8484571 49.2527698, 9.8486678 49.252726, 9.8490106 49.2526587, 9.8490529 49.2526055)",,
"[33185569, 907235505]",L 1036,Hauptstraße,secondary,"['50', '30']",False,False,107.32800000000002,"LINESTRING (9.847659 49.253219, 9.8477702 49.2532358, 9.8480087 49.2532658, 9.8484005 49.2532935, 9.8490107 49.2533661, 9.8491167 49.2533774)",,
"[41081113, 33174686]",L 1036,Hauptstraße,secondary,50,False,True,100.878,"LINESTRING (9.847659 49.253219, 9.8471888 49.2531534, 9.8470806 49.2531374, 9.8468046 49.2530965, 9.8464649 49.2530638, 9.846295 49.2530475)",,
97129743,L 1033,Regenbacher Straße,secondary,50,False,True,21.502,"LINESTRING (9.8507542 49.2541049, 9.8509956 49.254217)",,
33174274,,Brauereiweg,residential,,False,False,138.352,"LINESTRING (9.8507542 49.2541049, 9.8506354 49.2542172, 9.8503949 49.2542275, 9.8501284 49.2542046, 9.8498571 49.2541391, 9.8497059 49.2540814, 9.8496214 49.2539931, 9.8493615 49.2538853, 9.8493009 49.2538238, 9.8493342 49.2537327)",,
97129743,L 1033,Regenbacher Straße,secondary,50,False,False,114.62,"LINESTRING (9.8507542 49.2541049, 9.8505342 49.2539911, 9.8503438 49.2539054, 9.8500675 49.2538161, 9.8498332 49.2537493, 9.8497689 49.2536933, 9.8497595 49.2536275, 9.8498193 49.2534752, 9.8498333 49.2534412)",,
33174274,,Brauereiweg,residential,,False,True,138.352,"LINESTRING (9.8493342 49.2537327, 9.8493009 49.2538238, 9.8493615 49.2538853, 9.8496214 49.2539931, 9.8497059 49.2540814, 9.8498571 49.2541391, 9.8501284 49.2542046, 9.8503949 49.2542275, 9.8506354 49.2542172, 9.8507542 49.2541049)",,
33287038,L 1036; L 1033,Hauptstraße,secondary,50,False,True,11.877,"LINESTRING (9.8499951 49.2534572, 9.8498333 49.2534412)",,
35108542,L 1036; L 1033,Hauptstraße,secondary,50,False,False,58.548,"LINESTRING (9.8499951 49.2534572, 9.8502043 49.2534957, 9.8504028 49.2535395, 9.8506442 49.253613, 9.8507434 49.2536489)",,
908011829,,Gartenstraße,residential,,False,False,19.162,"LINESTRING (9.8499951 49.2534572, 9.8500353 49.2534073, 9.8500715 49.253374, 9.8501225 49.2533399, 9.8501587 49.2533259)",,
33174679,,Gartenstraße,residential,30,False,False,95.912,"LINESTRING (9.8501587 49.2533259, 9.8504993 49.2532462, 9.8506871 49.2532252, 9.8508775 49.2532173, 9.8511498 49.2532086, 9.8514555 49.2532094)",,
33174684,,Ziegelrain,residential,,False,False,39.006,"LINESTRING (9.8501587 49.2533259, 9.8501318 49.2532371, 9.8501635 49.2530929, 9.8500076 49.2530402)",,
908011829,,Gartenstraße,residential,,False,True,19.162,"LINESTRING (9.8501587 49.2533259, 9.8501225 49.2533399, 9.8500715 49.253374, 9.8500353 49.2534073, 9.8499951 49.2534572)",,
33174679,,Gartenstraße,residential,30,False,True,95.91199999999999,"LINESTRING (9.8514555 49.2532094, 9.8511498 49.2532086, 9.8508775 49.2532173, 9.8506871 49.2532252, 9.8504993 49.2532462, 9.8501587 49.2533259)",,
33174690,,Hofratshalde,residential,30,False,False,145.02599999999998,"LINESTRING (9.8514555 49.2532094, 9.8516277 49.253131, 9.8521896 49.2528494, 9.8524292 49.2527615, 9.8530828 49.2525929, 9.8531563 49.2525466)",,
33174685,,Bächlinger Straße,residential,,False,False,58.281,"LINESTRING (9.8503144 49.2524242, 9.8503576 49.2524494, 9.8504028 49.252456, 9.8510824 49.25235)",,
146620061,L 1036,Bächlinger Straße,secondary,,False,False,93.75399999999999,"LINESTRING (9.8503144 49.2524242, 9.849727 49.2525061, 9.8490529 49.2526055)",,
33174685,,Bächlinger Straße,residential,,False,True,58.281,"LINESTRING (9.8510824 49.25235, 9.8504028 49.252456, 9.8503576 49.2524494, 9.8503144 49.2524242)",,
33174690,,Hofratshalde,residential,30,False,True,145.026,"LINESTRING (9.8531563 49.2525466, 9.8530828 49.2525929, 9.8524292 49.2527615, 9.8521896 49.2528494, 9.8516277 49.253131, 9.8514555 49.2532094)",,
"[733491922, 33287035]",L 1036,Hauptstraße,secondary,50,False,True,66.953,"LINESTRING (9.8544905 49.254049, 9.8543067 49.2539964, 9.8541163 49.2539535, 9.8539764 49.2539257, 9.8536161 49.2538599)",,
"[35107466, 35107467, 615375756, 33174686]",L 1036,"['Hauptstraße', 'Bächlinger Straße']",secondary,50,False,False,239.65200000000002,"LINESTRING (9.8490529 49.2526055, 9.8485744 49.252695, 9.8484293 49.2527112, 9.8482767 49.2527264, 9.8474451 49.2527484, 9.8467132 49.2527578, 9.8464056 49.2527538, 9.8462965 49.2527801, 9.8462352 49.2528082, 9.846191 49.2528555, 9.8461639 49.25292, 9.8461814 49.2529833, 9.8462295 49.253024, 9.846295 49.2530475)",,
146620061,L 1036,Bächlinger Straße,secondary,,False,True,93.75399999999999,"LINESTRING (9.8490529 49.2526055, 9.849727 49.2525061, 9.8503144 49.2524242)",,
"[31312100, 33185557, 437023702]",,Kronenbuck,residential,,False,True,133.30300000000003,"LINESTRING (9.8490529 49.2526055, 9.8490106 49.2526587, 9.8486678 49.252726, 9.8484571 49.2527698, 9.8479903 49.2528969, 9.8478585 49.2529408, 9.8477938 49.2529717, 9.8477193 49.2530123, 9.8476678 49.2530598, 9.8476521 49.2531111, 9.847659 49.253219)",,
34932365,,Regenbacher Steige,residential,,False,True,38.786,"LINESTRING (9.8507507 49.2545019, 9.8508978 49.2544346, 9.8509808 49.2543332, 9.8509956 49.254217)",,
97129743,L 1033,Regenbacher Straße,secondary,50,False,False,21.502,"LINESTRING (9.8509956 49.254217, 9.8507542 49.2541049)",,
34932365,,Regenbacher Steige,residential,,False,False,38.786,"LINESTRING (9.8509956 49.254217, 9.8509808 49.2543332, 9.8508978 49.2544346, 9.8507507 49.2545019)",,
31311278,,Atzenroder Kirchweg,residential,30,False,False,174.81699999999998,"LINESTRING (9.8523797 49.2544244, 9.8525676 49.2545362, 9.85307 49.2547399, 9.8539022 49.2551069, 9.8544071 49.255263)",,
33187161,L 1036; L 1033,Hauptstraße,secondary,50,False,False,30.018,"LINESTRING (9.8532172 49.2537899, 9.8532899 49.2537975, 9.8534002 49.253817, 9.8536161 49.2538599)",,
33187161,L 1036; L 1033,Hauptstraße,secondary,50,False,True,181.64199999999997,"LINESTRING (9.8532172 49.2537899, 9.8530287 49.2537741, 9.852621 49.2537574, 9.8524041 49.253752, 9.8519383 49.2537557, 9.851473 49.2537636, 9.8513214 49.2537609, 9.8511779 49.2537443, 9.8507434 49.2536489)",,
175046092,,Fürst-Ernst-Platz,residential,,False,False,24.971,"LINESTRING (9.8532172 49.2537899, 9.8532307 49.2536333, 9.8532486 49.2535666)",,
436994893,,Fürst-Ernst-Platz,residential,,False,True,49.139,"LINESTRING (9.8537314 49.2537425, 9.853676 49.2535886, 9.8535808 49.253565, 9.85333 49.2535597, 9.8532486 49.2535666)",,
733491923,L 1033,Michelbacher Straße,secondary,50,False,True,15.895,"LINESTRING (9.8537314 49.2537425, 9.8536617 49.2537846, 9.8536161 49.2538599)",,
436994891,,Fürst-Ernst-Platz,residential,,False,False,24.175,"LINESTRING (9.8532486 49.2535666, 9.8529156 49.2535615)",,
175046092,,Fürst-Ernst-Platz,residential,,False,True,24.971,"LINESTRING (9.8532486 49.2535666, 9.8532307 49.2536333, 9.8532172 49.2537899)",,
436994893,,Fürst-Ernst-Platz,residential,,False,False,49.139,"LINESTRING (9.8532486 49.2535666, 9.85333 49.2535597, 9.8535808 49.253565, 9.853676 49.2535886, 9.8537314 49.2537425)",,
436994891,,Fürst-Ernst-Platz,residential,,False,True,24.175,"LINESTRING (9.8529156 49.2535615, 9.8532486 49.2535666)",,
"[31311288, 39525133, 39525134]",,Hintere Gasse,residential,,False,True,252.53399999999996,"LINESTRING (9.8491167 49.2533774, 9.8490939 49.2534187, 9.8490254 49.2535089, 9.8489957 49.2535477, 9.8489584 49.2535824, 9.8488793 49.2535947, 9.848662 49.2535692, 9.8483621 49.2535757, 9.8482503 49.2535859, 9.8481269 49.2535736, 9.8479481 49.2535698, 9.8478855 49.2535692, 9.8477662 49.2535517, 9.8476844 49.2535272, 9.8471037 49.2534353, 9.8470071 49.2534213, 9.8466977 49.2533777, 9.8462735 49.2532926, 9.846295 49.2530475)",,
"[907235505, 228098858, 228098859]",L 1036,Hauptstraße,secondary,30,False,False,52.576,"LINESTRING (9.8491167 49.2533774, 9.8492017 49.2533875, 9.8493471 49.2534089, 9.8494034 49.2534145, 9.8494641 49.2534158, 9.8495405 49.25342, 9.8498333 49.2534412)",yes,2
"[907235505, 33185569]",L 1036,Hauptstraße,secondary,"['50', '30']",False,True,107.32800000000002,"LINESTRING (9.8491167 49.2533774, 9.8490107 49.2533661, 9.8484005 49.2532935, 9.8480087 49.2532658, 9.8477702 49.2532358, 9.847659 49.253219)",,
33174684,,Ziegelrain,residential,,False,True,39.006,"LINESTRING (9.8500076 49.2530402, 9.8501635 49.2530929, 9.8501318 49.2532371, 9.8501587 49.2533259)",,
