osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,ref,name,bridge,width
132410591,residential,,,False,True,150.302,"LINESTRING (6.5497976 50.5369414, 6.5499536 50.5369719, 6.5503792 50.5370567, 6.5504985 50.5370874, 6.5506301 50.5371297, 6.5507794 50.5371907, 6.5510384 50.5373156, 6.5513747 50.5374778, 6.5514606 50.5375164, 6.5516388 50.5375886)",,,Loshardt,,
41162505,residential,,,False,True,55.089,"LINESTRING (6.5527867 50.5381773, 6.5528904 50.5382494, 6.5529423 50.5382802, 6.5530146 50.5383014, 6.5534678 50.5383922)",,,Loshardt,,
132410591,residential,,,False,False,105.14,"LINESTRING (6.5527867 50.5381773, 6.5527073 50.5381312, 6.5525596 50.5380304, 6.5524161 50.537923, 6.5523542 50.5378821, 6.5522786 50.537842, 6.5521715 50.5377953, 6.5520894 50.5377626, 6.5516388 50.5375886)",,,Loshardt,,
132410591,residential,,,False,True,34.748,"LINESTRING (6.5493688 50.5367885, 6.5497976 50.5369414)",,,Loshardt,,
"[827373333, 827373334]",residential,,,False,"[False, True]",108.78200000000001,"LINESTRING (6.5493688 50.5367885, 6.5493134 50.5368643, 6.5490872 50.537275, 6.5497608 50.5374421)",,,Loshardt,,
57034859,residential,30,,False,False,121.04700000000001,"LINESTRING (6.5506757 50.5435012, 6.550885 50.5433597, 6.5512588 50.5430953, 6.5514055 50.5429839, 6.55157 50.5428921, 6.5518781 50.5427294)",,,Eisenauerstraße,,
57034859,residential,30,,False,True,164.398,"LINESTRING (6.5506757 50.5435012, 6.5502943 50.5437485, 6.5499786 50.5439144, 6.5493281 50.5441541, 6.549124 50.544231, 6.5490283 50.5442774, 6.5488262 50.5443837)",,,Eisenauerstraße,,
118154989,residential,,,False,False,137.41899999999998,"LINESTRING (6.5506757 50.5435012, 6.5510444 50.5438009, 6.5512706 50.5439731, 6.5514124 50.5440654, 6.5520196 50.5443867)",,,Auelstraße,,
57034859,residential,30,,False,False,172.888,"LINESTRING (6.5536819 50.5420085, 6.553981 50.5419062, 6.5542763 50.5417898, 6.5544686 50.5417008, 6.5546023 50.5416252, 6.5548141 50.5415024, 6.5550705 50.5413438, 6.555178 50.5412731, 6.5552898 50.5411846, 6.5553625 50.5410945, 6.5554459 50.5409752)",,,Eisenauerstraße,,
57034859,residential,30,,False,True,151.129,"LINESTRING (6.5536819 50.5420085, 6.5531427 50.5421747, 6.5528418 50.5422801, 6.5525032 50.5424241, 6.5518781 50.5427294)",,,Eisenauerstraße,,
118155008,residential,30,,False,False,75.16300000000001,"LINESTRING (6.5536819 50.5420085, 6.5538374 50.5421744, 6.5539593 50.5422586, 6.5540411 50.5423028, 6.5544238 50.5424788)",,,Eisenauerstraße,,
118154997,residential,50,,False,True,16.883,"LINESTRING (6.5552746 50.5408711, 6.5553254 50.5409146, 6.5554459 50.5409752)",,,Aachener Straße,,
"[390655323, 89525245]",living_street,,,False,False,87.94699999999999,"LINESTRING (6.5552746 50.5408711, 6.5551531 50.540853, 6.5547045 50.5407958, 6.5546172 50.5407764, 6.5544075 50.540695, 6.5541804 50.5406067, 6.5541228 50.5406092)",,,Aachener Straße,,
486456788,residential,,,False,True,14.009,"LINESTRING (6.5542707 50.5390513, 6.5541008 50.5391162)",,,Weiherbenden,,
118155002,residential,,,True,False,59.483000000000004,"LINESTRING (6.5542707 50.5390513, 6.5544124 50.5391993, 6.55471 50.5395076)",,,Im Vogtpesch,,
486456789,residential,,,False,True,68.334,"LINESTRING (6.5542707 50.5390513, 6.554876 50.5388139, 6.5551052 50.5387419)",,,Weiherbenden,,
91833429,residential,,,False,False,56.379000000000005,"LINESTRING (6.55471 50.5395076, 6.5543568 50.5396412, 6.5540815 50.5397455, 6.5540253 50.5397678)",,,Im Vogtpesch,,
118155002,residential,,,True,False,72.754,"LINESTRING (6.55471 50.5395076, 6.5548449 50.5396849, 6.5550433 50.5400121, 6.5551082 50.5401105)",,,Im Vogtpesch,,
"[1239129560, 89525222]",residential,"['50', '30']",,False,False,92.94999999999999,"LINESTRING (6.5530087 50.5401563, 6.5526677 50.5400404, 6.5525094 50.5399974, 6.5522597 50.5399335, 6.5520545 50.5399052, 6.5519827 50.5398839, 6.5519308 50.5398443, 6.5518638 50.5397834)",,,Aachener Straße,,
89525222,residential,30,,False,True,95.15700000000001,"LINESTRING (6.5530087 50.5401563, 6.5537647 50.5404077, 6.5539016 50.5404595, 6.5539823 50.5404949, 6.5540412 50.5405227, 6.5540895 50.5405525, 6.5541228 50.5406092)",,,Aachener Straße,,
118154986,residential,,,True,False,146.73099999999997,"LINESTRING (6.5530087 50.5401563, 6.5530399 50.5400863, 6.5531245 50.5399021, 6.5531498 50.5398469, 6.5532981 50.5395314, 6.5533352 50.5394798, 6.5533889 50.5394297, 6.5534552 50.5393933, 6.5535843 50.539336, 6.5539838 50.539166, 6.5541008 50.5391162)",,,Weiherbenden,,
32940256,residential,,,False,False,31.192,"LINESTRING (6.5514113 50.5378264, 6.5514427 50.5378111, 6.5514623 50.537796, 6.5516388 50.5375886)",,,Loshardt,,
