osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,tunnel,bridge,access,junction
54151188,,Am Zollhaus,residential,False,True,118.68499999999999,"LINESTRING (7.7320722 50.7854012, 7.7321635 50.785412, 7.7322467 50.7854137, 7.7323381 50.7853867, 7.732777 50.7852466, 7.7328539 50.7852358, 7.7329211 50.785232, 7.7332386 50.7853249, 7.7333029 50.7853663, 7.7334148 50.7854747, 7.7334547 50.785513, 7.7334847 50.7855417)",,,,,,
54151189,K 71,Birkener Straße,tertiary,False,False,38.227999999999994,"LINESTRING (7.7320722 50.7854012, 7.7320955 50.785333, 7.7320854 50.7852358, 7.7319813 50.7850719)",,,,,,
27437435,,Hermannstraße,residential,False,True,184.046,"LINESTRING (7.7289053 50.7842204, 7.728522 50.784955, 7.7281602 50.7856841, 7.7281036 50.785796)",,,,,,
529196737,K 66,Holschbacher Straße,tertiary,False,False,207.606,"LINESTRING (7.7289053 50.7842204, 7.7291453 50.7844703, 7.7293595 50.7846295, 7.7296899 50.7848448, 7.7299283 50.7850687, 7.7301266 50.7853023, 7.7303627 50.7855427, 7.7305026 50.7856336, 7.7306535 50.7857078)",,,,,,
529196737,K 66,Holschbacher Straße,tertiary,False,True,66.578,"LINESTRING (7.7289053 50.7842204, 7.7287473 50.7840207, 7.7285809 50.7838719, 7.7284594 50.7838048, 7.728335 50.7837586)",,,,,,
"[52387347, 52387348, 52387349, 500804342]",L 278,Morsbacher Straße,secondary,False,False,119.865,"LINESTRING (7.7306535 50.7857078, 7.7309812 50.7854447, 7.7312765 50.7852726, 7.7314309 50.7852197, 7.7315373 50.7851881, 7.7318158 50.7851137, 7.7319813 50.7850719)",,,,yes,,
529196737,K 66,Holschbacher Straße,tertiary,False,True,207.606,"LINESTRING (7.7306535 50.7857078, 7.7305026 50.7856336, 7.7303627 50.7855427, 7.7301266 50.7853023, 7.7299283 50.7850687, 7.7296899 50.7848448, 7.7293595 50.7846295, 7.7291453 50.7844703, 7.7289053 50.7842204)",,,,,,
"[52387345, 25851569, 24525119]",K 66,Güterbahnhof,tertiary,False,"[False, True]",165.27700000000002,"LINESTRING (7.728335 50.7837586, 7.7284274 50.7836934, 7.7286297 50.7834949, 7.7289755 50.7832049, 7.7290394 50.7831265, 7.7290599 50.7830287, 7.7290207 50.7829398, 7.7289245 50.782873, 7.7287088 50.7827838, 7.7285311 50.7827149, 7.7283517 50.7826412)",,,,yes,,
529196737,K 66,Holschbacher Straße,tertiary,False,False,66.578,"LINESTRING (7.728335 50.7837586, 7.7284594 50.7838048, 7.7285809 50.7838719, 7.7287473 50.7840207, 7.7289053 50.7842204)",,,,,,
25851572,B 62,Bahnhofstraße,primary,False,True,217.377,"LINESTRING (7.7276844 50.7814845, 7.7284581 50.7817007, 7.7289542 50.7818661, 7.7293149 50.7819794, 7.7296744 50.7820831, 7.7304996 50.7822892)",50,,,,,
"[29284800, 29284801, 25851573]",K 66,Güterbahnhof,tertiary,False,True,49.783,"LINESTRING (7.7276844 50.7814845, 7.7276437 50.7815547, 7.7275817 50.7816535, 7.7274891 50.7818009, 7.7274332 50.781903)",,,yes,,,
25851572,B 62,Bahnhofstraße,primary,False,False,217.377,"LINESTRING (7.7304996 50.7822892, 7.7296744 50.7820831, 7.7293149 50.7819794, 7.7289542 50.7818661, 7.7284581 50.7817007, 7.7276844 50.7814845)",50,,,,,
25851575,,Wiesenstraße,residential,False,False,57.50399999999999,"LINESTRING (7.7304996 50.7822892, 7.7305461 50.7822103, 7.7305792 50.7821131, 7.730577 50.7819992, 7.7305313 50.7817815)",,,,,,
"[776490104, 74497147]",B 62,Bahnhofstraße,primary,False,True,275.551,"LINESTRING (7.7304996 50.7822892, 7.7312029 50.7824471, 7.731997 50.7826253, 7.7323714 50.7827013, 7.7330521 50.7828215, 7.7339175 50.7829701, 7.7342416 50.7830204)",50,,,,,
25851575,,Wiesenstraße,residential,False,True,59.587,"LINESTRING (7.7302737 50.7804362, 7.7303614 50.7809692)",,,,,,
25851575,,Wiesenstraße,residential,False,False,48.991,"LINESTRING (7.7302737 50.7804362, 7.730238 50.7803638, 7.7299632 50.7800431)",,,,,,
52891311,,Kumpstraße,residential,False,False,156.323,"LINESTRING (7.7302737 50.7804362, 7.7308613 50.7804143, 7.7310248 50.7804268, 7.7314901 50.7805236, 7.7319491 50.7806309, 7.7323422 50.7808168)",,,,,,
25930637,,Weststraße,residential,False,True,122.692,"LINESTRING (7.7299632 50.7800431, 7.7282585 50.780279)",,,,,,
25851575,,Wiesenstraße,residential,False,True,48.991,"LINESTRING (7.7299632 50.7800431, 7.730238 50.7803638, 7.7302737 50.7804362)",,,,,,
960676171,,Weststraße,residential,False,False,110.56200000000001,"LINESTRING (7.7299632 50.7800431, 7.7303217 50.7799105, 7.7313877 50.7796258)",,,,,,
25930637,,Weststraße,residential,False,False,122.692,"LINESTRING (7.7282585 50.780279, 7.7299632 50.7800431)",,,,,,
25930637,,Weststraße,residential,False,True,123.47900000000001,"LINESTRING (7.7282585 50.780279, 7.728048 50.780642, 7.7278125 50.7808746, 7.72755 50.7811339, 7.727466 50.7812632)",,,,,,
960676171,,Weststraße,residential,False,True,59.127,"LINESTRING (7.732159 50.7794139, 7.7313877 50.7796258)",,,,,,
960676167,,Im Kreuztal,tertiary,False,True,11.693,"LINESTRING (7.732159 50.7794139, 7.7321982 50.7794727, 7.732224 50.7795107)",,,,,,
960676168,,Im Kreuztal,tertiary,False,False,51.089999999999996,"LINESTRING (7.732159 50.7794139, 7.7320802 50.7793356, 7.7319619 50.7792656, 7.7317795 50.7792012, 7.7315714 50.7791894)",,,,,,
229978188,,Im Kreuztal,tertiary,False,True,79.151,"LINESTRING (7.7299299 50.7793795, 7.7302116 50.7793322, 7.7307792 50.7792523, 7.7310266 50.7792195)",,,,,,
25930638,,Gerichtsstraße,tertiary,True,False,73.096,"LINESTRING (7.7398294 50.7809521, 7.7397758 50.7809855, 7.7396852 50.7810957, 7.7394979 50.7812604, 7.7392053 50.7814742)",,,,,,
28028920,L 289,Oststraße,secondary,False,False,70.45899999999999,"LINESTRING (7.7398294 50.7809521, 7.7398903 50.7809826, 7.7399605 50.7809995, 7.7400807 50.7810143, 7.7402365 50.7810383, 7.7403766 50.7810701, 7.7405515 50.7811327, 7.7406589 50.7811751, 7.7407353 50.7812053)",,2,,,,
52903469,L 289,Nassauer Straße,secondary,False,False,57.784000000000006,"LINESTRING (7.7398294 50.7809521, 7.7398069 50.7809025, 7.7398806 50.780753, 7.7399157 50.7806194, 7.739917 50.7805173, 7.7398949 50.7804447)",,,,,,
25930638,,Gerichtsstraße,tertiary,True,False,54.72,"LINESTRING (7.7392053 50.7814742, 7.7389976 50.7815844, 7.7385632 50.7817499)",,,,,,
79234237,,Hügelstraße,residential,False,False,64.833,"LINESTRING (7.7392053 50.7814742, 7.7395431 50.78169, 7.7396556 50.7817618, 7.739854 50.7818886)",,,,,,
"[229812856, 229978197]",,Rathausstraße,tertiary,False,False,80.031,"LINESTRING (7.7348356 50.781311, 7.7345668 50.78123, 7.7345121 50.7812123, 7.7344074 50.7811798, 7.7338125 50.7809955)",,,,,,
229812856,,Rathausstraße,tertiary,False,True,56.504000000000005,"LINESTRING (7.7348356 50.781311, 7.7352172 50.7814314, 7.7355565 50.7815356)",,,,,,
230746440,,Im Buschkamp,residential,True,False,127.782,"LINESTRING (7.7348356 50.781311, 7.7345214 50.7817656, 7.7342196 50.7822023, 7.7341404 50.7822956, 7.7340906 50.7823588)",,,,,,
52901878,,In der Hüll,residential,True,False,96.026,"LINESTRING (7.7355565 50.7815356, 7.7356122 50.7814528, 7.7357055 50.7813241, 7.735808 50.781174, 7.7358913 50.7809886, 7.735941 50.7807146)",,,,,,
229812856,,Rathausstraße,tertiary,False,False,56.504000000000005,"LINESTRING (7.7355565 50.7815356, 7.7352172 50.7814314, 7.7348356 50.781311)",,,,,,
229812856,,Rathausstraße,tertiary,False,True,81.763,"LINESTRING (7.7355565 50.7815356, 7.7359179 50.7816514, 7.7365978 50.781863)",,,,,,
33142049,,Brückwiese,residential,False,False,102.396,"LINESTRING (7.7333774 50.786379, 7.7332968 50.7863777, 7.733223 50.7863905, 7.7328367 50.7865476, 7.7328079 50.7865593, 7.7322135 50.7868358, 7.7321484 50.786848)",,,,,,
54151187,,Alte Poststraße,residential,True,False,94.66199999999999,"LINESTRING (7.7333774 50.786379, 7.7335442 50.7857561, 7.7335355 50.785642, 7.7334847 50.7855417)",,,,,destination,
95801222,K 71,Birkener Straße,tertiary,False,True,8.368,"LINESTRING (7.7321484 50.786848, 7.7321407 50.7869231)",,,,,,
33142049,,Brückwiese,residential,False,True,102.39599999999999,"LINESTRING (7.7321484 50.786848, 7.7322135 50.7868358, 7.7328079 50.7865593, 7.7328367 50.7865476, 7.733223 50.7863905, 7.7332968 50.7863777, 7.7333774 50.786379)",,,,,,
95801222,K 71,Birkener Straße,tertiary,False,False,161.999,"LINESTRING (7.7321484 50.786848, 7.7321385 50.7868033, 7.7320632 50.7866938, 7.7319698 50.7865878, 7.7317329 50.7863524, 7.7316034 50.7861934, 7.7315625 50.786082, 7.7315479 50.7859793, 7.7315803 50.7858726, 7.7316715 50.7857707, 7.7317851 50.7856325, 7.7319112 50.7855507)",,,,,,
33142303,,Hachenburger Straße,residential,False,False,118.797,"LINESTRING (7.7365978 50.781863, 7.7369558 50.7809141, 7.7369899 50.7808238)",,,,,,
229812856,,Rathausstraße,tertiary,False,False,81.763,"LINESTRING (7.7365978 50.781863, 7.7359179 50.7816514, 7.7355565 50.7815356)",,,,,,
"[229812856, 28029106]",,Rathausstraße,tertiary,False,True,53.15,"LINESTRING (7.7365978 50.781863, 7.7368378 50.7819348, 7.7371308 50.7820249, 7.7372809 50.7820677)",,,,,,
33142303,,Hachenburger Straße,residential,False,False,5.982,"LINESTRING (7.7369899 50.7808238, 7.7369906 50.78077)",,,,,,
33142303,,Hachenburger Straße,residential,False,True,118.797,"LINESTRING (7.7369899 50.7808238, 7.7369558 50.7809141, 7.7365978 50.781863)",,,,,,
234344651,,,residential,False,True,74.96799999999999,"LINESTRING (7.7369899 50.7808238, 7.7361854 50.7807176, 7.735941 50.7807146)",,,,,,
223612466,,Schulstraße,residential,False,True,64.35,"LINESTRING (7.7338125 50.7809955, 7.734205 50.7804727)",,,,,,
"[229978197, 28028670]",,"['Im Kreuztal', 'Rathausstraße']",tertiary,False,False,78.347,"LINESTRING (7.7338125 50.7809955, 7.7335385 50.7808962, 7.7333282 50.7807771, 7.733119 50.7806357, 7.733004 50.7805246)",,,,,,
"[229812856, 229978197]",,Rathausstraße,tertiary,False,True,80.03099999999999,"LINESTRING (7.7338125 50.7809955, 7.7344074 50.7811798, 7.7345121 50.7812123, 7.7345668 50.78123, 7.7348356 50.781311)",,,,,,
49689669,,Auf der Rahm,residential,False,True,44.028000000000006,"LINESTRING (7.7327182 50.7821995, 7.732559 50.7823992, 7.7324364 50.7825531)",,,,,,
49689670,,Auf der Rahm,residential,True,False,154.41,"LINESTRING (7.7327182 50.7821995, 7.7333668 50.7814859, 7.7338125 50.7809955)",,,,,,
49689669,,Auf der Rahm,residential,False,False,44.028000000000006,"LINESTRING (7.7324364 50.7825531, 7.732559 50.7823992, 7.7327182 50.7821995)",,,,,,
49689668,,Kirchweg,residential,True,False,99.36200000000001,"LINESTRING (7.7340906 50.7823588, 7.7339204 50.7823386, 7.7337409 50.7823301, 7.7335474 50.782336, 7.7333344 50.7823263, 7.7331337 50.7823082, 7.7329618 50.7822699, 7.7327182 50.7821995)",30,,,,,
230746440,,Im Buschkamp,residential,True,False,27.901000000000003,"LINESTRING (7.7340906 50.7823588, 7.734143 50.7824294, 7.734188 50.7825187, 7.7342495 50.7825877)",,,,,,
960676170,,Schulstraße,residential,False,False,95.23,"LINESTRING (7.7362537 50.7788101, 7.7355921 50.7795574)",,,,,,
419919869,,Maarstraße,residential,False,True,149.41299999999998,"LINESTRING (7.7362746 50.7821294, 7.7363081 50.7822246, 7.7363672 50.7822576, 7.736505 50.7823095, 7.7366369 50.7823515, 7.7367965 50.7823798, 7.7370071 50.7824212, 7.7371392 50.7824435, 7.7374048 50.7825523, 7.7375214 50.78263, 7.737563 50.7827318, 7.7376012 50.7828307, 7.737656 50.7829835)",10,,,,,
506893214,,Maarstraße,residential,False,True,8.946,"LINESTRING (7.737656 50.7829835, 7.737689 50.7830612)",10,,,,,
223614618,,Bahnhofstraße,residential,True,False,100.924,"LINESTRING (7.737656 50.7829835, 7.737844 50.7829421, 7.738313 50.7828367, 7.7386193 50.7827361, 7.738683 50.782699, 7.7388388 50.7825318)",,,,,,
419919869,,Maarstraße,residential,False,False,149.41299999999998,"LINESTRING (7.737656 50.7829835, 7.7376012 50.7828307, 7.737563 50.7827318, 7.7375214 50.78263, 7.7374048 50.7825523, 7.7371392 50.7824435, 7.7370071 50.7824212, 7.7367965 50.7823798, 7.7366369 50.7823515, 7.736505 50.7823095, 7.7363672 50.7822576, 7.7363081 50.7822246, 7.7362746 50.7821294)",10,,,,,
506893214,,Maarstraße,residential,False,False,8.946,"LINESTRING (7.737689 50.7830612, 7.737656 50.7829835)",10,,,,,
"[356594865, 419919867, 223614621, 506893215]",B 62,,primary,False,False,246.05200000000005,"LINESTRING (7.737689 50.7830612, 7.7374427 50.7830771, 7.7372647 50.7830843, 7.7370688 50.7830941, 7.7366838 50.7831272, 7.7363607 50.7831659, 7.7361262 50.783194, 7.7359396 50.7832102, 7.7357279 50.7832126, 7.7355095 50.7832064, 7.7352835 50.7831856, 7.7349902 50.7831422, 7.7343884 50.7830443, 7.7342416 50.7830204)",,"['2', '3']",,,,
25851575,,Wiesenstraße,residential,False,False,59.587,"LINESTRING (7.7303614 50.7809692, 7.7302737 50.7804362)",,,,,,
25851575,,Wiesenstraße,residential,False,True,91.11600000000001,"LINESTRING (7.7303614 50.7809692, 7.7304441 50.7813979, 7.7305313 50.7817815)",,,,,,
79226535,,Talstraße,residential,False,False,159.41400000000002,"LINESTRING (7.7303614 50.7809692, 7.7304782 50.7809577, 7.7306009 50.7809511, 7.730757 50.7809518, 7.7309158 50.7809633, 7.731556 50.7810842, 7.7317621 50.7811041, 7.7318752 50.7811181, 7.731981 50.7811169, 7.7320737 50.7810808, 7.732139 50.7809689, 7.7323422 50.7808168)",,,,,,
79232267,,Talstraße,residential,False,True,133.624,"LINESTRING (7.7303614 50.7809692, 7.7302483 50.7809854, 7.7300553 50.7810609, 7.7295745 50.7812851, 7.7293984 50.7813672, 7.729254 50.7814402, 7.7291892 50.7815044, 7.7290146 50.7817571)",,,,,destination,
28028670,,Im Kreuztal,tertiary,False,True,47.114,"LINESTRING (7.7327076 50.7801446, 7.733004 50.7805246)",,,,,,
28028670,,Im Kreuztal,tertiary,False,False,78.32499999999999,"LINESTRING (7.7327076 50.7801446, 7.7324425 50.7798304, 7.732224 50.7795107)",,,,,,
52891313,,Am Biesem,residential,False,True,52.179,"LINESTRING (7.7327076 50.7801446, 7.7328493 50.7801242, 7.7330367 50.7801824, 7.7333798 50.780297)",,,,,,
52891314,,Flachsstraße,residential,False,True,40.224,"LINESTRING (7.7334562 50.7799385, 7.7333798 50.780297)",,,,,,
168585900,,Flachsweg,residential,False,False,86.403,"LINESTRING (7.7334562 50.7799385, 7.7346435 50.780139)",,,,,,
52891314,,Flachsstraße,residential,False,False,79.22800000000001,"LINESTRING (7.7334562 50.7799385, 7.7335081 50.7796446, 7.7336333 50.7792354)",,,,,,
52891309,,Bergstraße,residential,True,False,96.95899999999999,"LINESTRING (7.7336333 50.7792354, 7.7330782 50.7793316, 7.732704 50.7794341, 7.7325015 50.7794714, 7.732317 50.7794652)",,,,,,
52891314,,Flachsstraße,residential,False,True,79.22800000000001,"LINESTRING (7.7336333 50.7792354, 7.7335081 50.7796446, 7.7334562 50.7799385)",,,,,,
79227108,,Bergstraße,residential,False,False,146.28,"LINESTRING (7.7336333 50.7792354, 7.7343839 50.7792953, 7.7349083 50.7793289, 7.7352709 50.7793816, 7.7355921 50.7795574)",,,,,,
52891311,,Kumpstraße,residential,False,True,156.32299999999998,"LINESTRING (7.7323422 50.7808168, 7.7319491 50.7806309, 7.7314901 50.7805236, 7.7310248 50.7804268, 7.7308613 50.7804143, 7.7302737 50.7804362)",,,,,,
79226535,,Talstraße,residential,False,True,159.414,"LINESTRING (7.7323422 50.7808168, 7.732139 50.7809689, 7.7320737 50.7810808, 7.731981 50.7811169, 7.7318752 50.7811181, 7.7317621 50.7811041, 7.731556 50.7810842, 7.7309158 50.7809633, 7.730757 50.7809518, 7.7306009 50.7809511, 7.7304782 50.7809577, 7.7303614 50.7809692)",,,,,,
28028670,,Im Kreuztal,tertiary,False,False,47.114,"LINESTRING (7.733004 50.7805246, 7.7327076 50.7801446)",,,,,,
"[229978197, 28028670]",,"['Rathausstraße', 'Im Kreuztal']",tertiary,False,True,78.34700000000001,"LINESTRING (7.733004 50.7805246, 7.733119 50.7806357, 7.7333282 50.7807771, 7.7335385 50.7808962, 7.7338125 50.7809955)",,,,,,
52891312,,Talstraße,residential,True,False,56.907000000000004,"LINESTRING (7.733004 50.7805246, 7.7326036 50.7806786, 7.7323422 50.7808168)",,,,,,
223612466,,Schulstraße,residential,False,False,64.35,"LINESTRING (7.734205 50.7804727, 7.7338125 50.7809955)",,,,,,
223612466,,Schulstraße,residential,False,True,48.242,"LINESTRING (7.734205 50.7804727, 7.7346435 50.780139)",,,,,,
52891313,,Am Biesem,residential,False,False,61.283,"LINESTRING (7.734205 50.7804727, 7.7338508 50.7804103, 7.7333798 50.780297)",,,,,,
52891313,,Am Biesem,residential,False,True,59.723000000000006,"LINESTRING (7.734205 50.7804727, 7.7346235 50.7804888, 7.7346755 50.7804849, 7.7348048 50.7804752, 7.735047 50.7804427)",,,,,,
52891314,,Flachsstraße,residential,False,False,40.224,"LINESTRING (7.7333798 50.780297, 7.7334562 50.7799385)",,,,,,
52891313,,Am Biesem,residential,False,False,52.179,"LINESTRING (7.7333798 50.780297, 7.7330367 50.7801824, 7.7328493 50.7801242, 7.7327076 50.7801446)",,,,,,
52891313,,Am Biesem,residential,False,True,61.283,"LINESTRING (7.7333798 50.780297, 7.7338508 50.7804103, 7.734205 50.7804727)",,,,,,
960676169,,Schulstraße,residential,False,False,92.901,"LINESTRING (7.7355921 50.7795574, 7.7346435 50.780139)",,,,,,
960676170,,Schulstraße,residential,False,True,95.23,"LINESTRING (7.7355921 50.7795574, 7.7362537 50.7788101)",,,,,,
52903476,,Bergstraße,residential,False,True,102.08,"LINESTRING (7.7355921 50.7795574, 7.736376 50.7796165, 7.7369031 50.7797286, 7.7370093 50.7797315)",,,,,,
79227108,,Bergstraße,residential,False,True,146.27999999999997,"LINESTRING (7.7355921 50.7795574, 7.7352709 50.7793816, 7.7349083 50.7793289, 7.7343839 50.7792953, 7.7336333 50.7792354)",,,,,,
33142303,,Hachenburger Straße,residential,False,True,115.49,"LINESTRING (7.7370093 50.7797315, 7.736995 50.7800649, 7.7369946 50.7801362, 7.7369926 50.7804432, 7.7369906 50.78077)",,,,,,
52903476,,Bergstraße,residential,False,False,102.08,"LINESTRING (7.7370093 50.7797315, 7.7369031 50.7797286, 7.736376 50.7796165, 7.7355921 50.7795574)",,,,,,
52903476,,Bergstraße,residential,False,True,104.01599999999999,"LINESTRING (7.7370093 50.7797315, 7.737169 50.7797039, 7.7375146 50.779644, 7.7379966 50.7795331, 7.7380443 50.7795221, 7.7383681 50.7793826)",,,,,,
52891313,,Am Biesem,residential,False,False,59.723,"LINESTRING (7.735047 50.7804427, 7.7348048 50.7804752, 7.7346755 50.7804849, 7.7346235 50.7804888, 7.734205 50.7804727)",,,,,,
96951272,,In der Hüll,residential,False,False,27.313,"LINESTRING (7.7358957 50.7804806, 7.7359329 50.7802361)",,,,,,
52901877,,Am Biesem,residential,True,False,60.965999999999994,"LINESTRING (7.7358957 50.7804806, 7.7357516 50.7804386, 7.7352881 50.7804192, 7.735047 50.7804427)",,,,,,
96951272,,In der Hüll,residential,False,True,27.313,"LINESTRING (7.7359329 50.7802361, 7.7358957 50.7804806)",,,,,,
52901878,,In der Hüll,residential,True,False,26.214,"LINESTRING (7.735941 50.7807146, 7.7358957 50.7804806)",,,,,,
234344651,,,residential,False,False,74.96799999999999,"LINESTRING (7.735941 50.7807146, 7.7361854 50.7807176, 7.7369899 50.7808238)",,,,,,
33142303,,Hachenburger Straße,residential,False,True,5.982,"LINESTRING (7.7369906 50.78077, 7.7369899 50.7808238)",,,,,,
33142303,,Hachenburger Straße,residential,False,False,115.49,"LINESTRING (7.7369906 50.78077, 7.7369926 50.7804432, 7.7369946 50.7801362, 7.736995 50.7800649, 7.7370093 50.7797315)",,,,,,
52901879,,Steinbuschstraße,residential,False,False,58.42099999999999,"LINESTRING (7.7369906 50.78077, 7.7370982 50.7807675, 7.7374849 50.7807585, 7.7378207 50.7807468)",,,,,,
52901879,,Steinbuschstraße,residential,False,False,143.679,"LINESTRING (7.7378207 50.7807468, 7.7381565 50.7807321, 7.7385752 50.7807114, 7.7386471 50.7807014, 7.7388808 50.780669, 7.739089 50.7806049, 7.7393723 50.7804201, 7.7395855 50.7802563)",,,,,,
52901879,,Steinbuschstraße,residential,False,True,58.421,"LINESTRING (7.7378207 50.7807468, 7.7374849 50.7807585, 7.7370982 50.7807675, 7.7369906 50.78077)",,,,,,
52903475,,Burgunder Straße,residential,False,True,131.443,"LINESTRING (7.7378207 50.7807468, 7.7378685 50.7811699, 7.7378699 50.78132, 7.737874 50.7817613, 7.7379262 50.7819245)",,,,,,
52903469,L 289,Nassauer Straße,secondary,False,False,6.641,"LINESTRING (7.7383681 50.7793826, 7.7383141 50.7793336)",,,,,,
52903469,L 289,Nassauer Straße,secondary,False,True,119.83500000000001,"LINESTRING (7.7383681 50.7793826, 7.7385007 50.7794915, 7.7388935 50.779814, 7.739048 50.7799292, 7.7392004 50.7800317, 7.7394835 50.7801938)",,,,,,
52903476,,Bergstraße,residential,False,False,104.016,"LINESTRING (7.7383681 50.7793826, 7.7380443 50.7795221, 7.7379966 50.7795331, 7.7375146 50.779644, 7.737169 50.7797039, 7.7370093 50.7797315)",,,,,,
168585905,,Hüttenstraße,residential,False,True,41.166,"LINESTRING (7.7387913 50.7791191, 7.7383141 50.7793336)",,,,,,
168585905,,Hüttenstraße,residential,False,False,66.69200000000001,"LINESTRING (7.7387913 50.7791191, 7.7388388 50.7790608, 7.7389299 50.7789998, 7.7390848 50.7789328, 7.7395642 50.7787983)",,,,,,
52903469,L 289,Nassauer Straße,secondary,False,True,9.986,"LINESTRING (7.7394835 50.7801938, 7.7395855 50.7802563)",,,,,,
52903469,L 289,Nassauer Straße,secondary,False,False,119.835,"LINESTRING (7.7394835 50.7801938, 7.7392004 50.7800317, 7.739048 50.7799292, 7.7388935 50.779814, 7.7385007 50.7794915, 7.7383681 50.7793826)",,,,,,
92144639,,Hockelbachstraße,residential,False,False,163.73399999999998,"LINESTRING (7.7394835 50.7801938, 7.7397449 50.7798639, 7.7398231 50.7796883, 7.7398665 50.7795533, 7.7398498 50.7794272, 7.7397762 50.7791762, 7.7396924 50.7789963, 7.7395642 50.7787983)",,,,,,
52903475,,Burgunder Straße,residential,False,False,131.44299999999998,"LINESTRING (7.7379262 50.7819245, 7.737874 50.7817613, 7.7378699 50.78132, 7.7378685 50.7811699, 7.7378207 50.7807468)",,,,,,
138564247,,Gerichtsstraße,tertiary,True,False,48.629000000000005,"LINESTRING (7.7379262 50.7819245, 7.7375475 50.7819741, 7.7372809 50.7820677)",,,,,,
