osmid,highway,oneway,reversed,length,geometry,name,maxspeed,bridge,lanes
388014829,residential,False,False,204.21999999999997,"LINESTRING (93.7093747 24.3445311, 93.7093108 24.3444827, 93.7087446 24.3441799, 93.7085857 24.3440681, 93.7085174 24.3439792, 93.7084631 24.3439068, 93.7084101 24.34379, 93.7083892 24.343682, 93.708385 24.3435766, 93.7084226 24.3433696, 93.7084045 24.3433048, 93.7083488 24.3432744, 93.7082402 24.3432357)",,,,
387917698,residential,False,False,104.5,"LINESTRING (93.7042388 24.3446613, 93.7038329 24.3446701, 93.7032662 24.3444289)",,,,
387917698,residential,False,True,155.173,"LINESTRING (93.7042388 24.3446613, 93.7043203 24.3445802, 93.7046837 24.3439586, 93.7047876 24.3435937, 93.7046022 24.3434788)",,,,
913308361,residential,False,False,93.16900000000001,"LINESTRING (93.7042388 24.3446613, 93.7046054 24.3448167, 93.7049755 24.3449046, 93.705107 24.3449218)",,,,
387917693,residential,False,False,38.321,"LINESTRING (93.7078654 24.3447356, 93.7080286 24.3450465)",,,,
387917693,residential,False,True,172.831,"LINESTRING (93.7078654 24.3447356, 93.7079025 24.3440937, 93.7081769 24.343391, 93.7082402 24.3432357)",,,,
388014829,residential,False,True,322.19699999999995,"LINESTRING (93.7078654 24.3447356, 93.7076142 24.3448059, 93.7074692 24.3448097, 93.7073953 24.3448009, 93.7073354 24.3447716, 93.7072936 24.3447082, 93.7072922 24.3441621, 93.7074051 24.3436909, 93.7075027 24.3431499, 93.7075166 24.3431029, 93.7075807 24.3430648, 93.7076616 24.3430674, 93.7082402 24.3432357)",,,,
387917680,residential,False,True,51.605,"LINESTRING (93.7080286 24.3450465, 93.7084922 24.3448542)",,,,
387917693,residential,False,True,38.321,"LINESTRING (93.7080286 24.3450465, 93.7078654 24.3447356)",,,,
387917651,primary,False,False,182.646,"LINESTRING (93.7009429 24.34515, 93.7019968 24.3438173)",Rengkai Rd,40,,
387917675,residential,False,False,213.58800000000002,"LINESTRING (93.7009429 24.34515, 93.7005157 24.3449248, 93.7006417 24.3445667, 93.7006195 24.3442964, 93.7007114 24.3434766)",,,,
387917639,residential,False,True,160.13799999999998,"LINESTRING (93.7021473 24.3453438, 93.7023846 24.3452221, 93.7027703 24.3451208, 93.7032662 24.3444289)",,,,
387917693,residential,False,False,158.207,"LINESTRING (93.7087838 24.3419019, 93.7082402 24.3432357)",,,,
