osmid,oneway,highway,access,reversed,length,geometry,ref
692848986,False,residential,,False,234.02800000000002,"LINESTRING (72.783477 25.3667019, 72.7833937 25.366335, 72.7831528 25.3657509, 72.7830117 25.3653473, 72.782953 25.3650447, 72.7829698 25.3646687)",
692848984,False,residential,,False,26.171,"LINESTRING (72.7829698 25.3646687, 72.7831091 25.3647291, 72.7832146 25.3647201)",
692848984,False,residential,,True,189.22500000000002,"LINESTRING (72.7829698 25.3646687, 72.782896 25.3646367, 72.7826742 25.3646603, 72.7823567 25.3647684, 72.7820261 25.3649393, 72.781626 25.3651064, 72.7812229 25.3652034)",
692848986,False,residential,,True,234.02800000000002,"LINESTRING (72.7829698 25.3646687, 72.782953 25.3650447, 72.7830117 25.3653473, 72.7831528 25.3657509, 72.7833937 25.366335, 72.783477 25.3667019)",
692848984,False,residential,,False,189.225,"LINESTRING (72.7812229 25.3652034, 72.781626 25.3651064, 72.7820261 25.3649393, 72.7823567 25.3647684, 72.7826742 25.3646603, 72.782896 25.3646367, 72.7829698 25.3646687)",
692848984,False,residential,,True,315.89300000000003,"LINESTRING (72.7812229 25.3652034, 72.7810302 25.3652498, 72.7808953 25.3649786, 72.7808258 25.3649452, 72.7806148 25.3649118, 72.7800929 25.3644442, 72.7798059 25.3643223, 72.7795188 25.3643223, 72.7792057 25.3643577, 72.7788839 25.3643538, 72.7785391 25.3643799)",
692848987,False,residential,,True,172.27599999999998,"LINESTRING (72.7812229 25.3652034, 72.7814132 25.3656254, 72.7815597 25.3660357, 72.7816455 25.3663425, 72.7817219 25.3666816)",
181576577,False,unclassified,yes,False,6.024,"LINESTRING (72.7782901 25.3657539, 72.7782961 25.3658078)",
181576577,False,unclassified,yes,True,156.254,"LINESTRING (72.7782901 25.3657539, 72.7782848 25.3657059, 72.7783084 25.3653868, 72.7783495 25.3651714, 72.7784055 25.3650118, 72.7785026 25.3648044, 72.7785143 25.3645864, 72.7785391 25.3643799)",
692848988,False,residential,,False,137.954,"LINESTRING (72.7782901 25.3657539, 72.7786356 25.3657837, 72.779036 25.3658386, 72.7793613 25.3657869, 72.7796401 25.3657126)",
692848988,False,residential,,True,137.954,"LINESTRING (72.7796401 25.3657126, 72.7793613 25.3657869, 72.779036 25.3658386, 72.7786356 25.3657837, 72.7782901 25.3657539)",
692848978,False,residential,,True,28.739,"LINESTRING (72.7765992 25.3673437, 72.776672 25.3672779, 72.7768295 25.3671936)",
692848989,False,residential,,False,500.2509999999999,"LINESTRING (72.7765992 25.3673437, 72.7764435 25.366947, 72.7763302 25.3665008, 72.7762209 25.36604, 72.776233 25.3657071, 72.7762641 25.3653931, 72.7763598 25.3652123, 72.776499 25.3650669, 72.7765098 25.3649844, 72.7768882 25.3647957, 72.777097 25.3647053, 72.7774732 25.3645383, 72.7777646 25.3644224, 72.7779951 25.3643241, 72.7782952 25.3642318, 72.7785606 25.3642004)",
181576577,False,unclassified,yes,False,20.076,"LINESTRING (72.7785606 25.3642004, 72.7785391 25.3643799)",
692848989,False,residential,,True,500.251,"LINESTRING (72.7785606 25.3642004, 72.7782952 25.3642318, 72.7779951 25.3643241, 72.7777646 25.3644224, 72.7774732 25.3645383, 72.777097 25.3647053, 72.7768882 25.3647957, 72.7765098 25.3649844, 72.776499 25.3650669, 72.7763598 25.3652123, 72.7762641 25.3653931, 72.776233 25.3657071, 72.7762209 25.36604, 72.7763302 25.3665008, 72.7764435 25.366947, 72.7765992 25.3673437)",
692848983,False,residential,,False,304.822,"LINESTRING (72.7840519 25.3688437, 72.7841024 25.3689144, 72.7844991 25.3693313, 72.785082 25.3698653, 72.785673 25.3705822, 72.7859656 25.3709628)",
692848983,False,residential,,True,71.776,"LINESTRING (72.7840519 25.3688437, 72.7838151 25.3685121, 72.7836526 25.3683087)",
692848976,False,residential,,False,244.99399999999997,"LINESTRING (72.7784342 25.3700898, 72.7786017 25.3700592, 72.779481 25.3699023, 72.780352 25.3697532, 72.7804892 25.3697053, 72.78076 25.369523)",
692848976,False,residential,,True,198.13799999999998,"LINESTRING (72.7784342 25.3700898, 72.7777419 25.3702163, 72.7766599 25.370356, 72.776499 25.3704129)",
