osmid,highway,oneway,reversed,length,lanes,ref,geometry,name,maxspeed
385341625,residential,False,False,90.946,,,"LINESTRING (-86.5074958 11.9786157, -86.5073859 11.9794265)",,30
385341610,residential,False,False,62.203,,,"LINESTRING (-86.5066153 11.9787912, -86.5065551 11.9793475)",,30
266758952,residential,False,True,90.795,,,"LINESTRING (-86.5065551 11.9793475, -86.5073859 11.9794265)",,
385341610,residential,False,False,89.564,,,"LINESTRING (-86.5065551 11.9793475, -86.5064766 11.9801493)",,30
385341610,residential,False,True,62.203,,,"LINESTRING (-86.5065551 11.9793475, -86.5066153 11.9787912)",,30
595942643,residential,False,True,41.942,,,"LINESTRING (-86.5114124 11.9793935, -86.5113623 11.9797675)",,30
266758952,residential,False,False,90.795,,,"LINESTRING (-86.5073859 11.9794265, -86.5065551 11.9793475)",,
266758952,residential,False,True,90.762,,,"LINESTRING (-86.5073859 11.9794265, -86.5082164 11.9795055)",,
385341625,residential,False,False,89.156,,,"LINESTRING (-86.5073859 11.9794265, -86.5072858 11.9802223)",,30
385341625,residential,False,True,90.946,,,"LINESTRING (-86.5073859 11.9794265, -86.5074958 11.9786157)",,30
266758952,residential,False,False,90.762,,,"LINESTRING (-86.5082164 11.9795055, -86.5073859 11.9794265)",,
266758952,residential,False,True,88.971,,,"LINESTRING (-86.5082164 11.9795055, -86.5090305 11.979583)",,
595942641,residential,False,True,89.764,,,"LINESTRING (-86.5082164 11.9795055, -86.5081434 11.9803096)",,30
595942641,residential,False,False,118.024,,,"LINESTRING (-86.5082164 11.9795055, -86.5083239 11.9786913, -86.5083598 11.9786265, -86.5083543 11.978559, -86.5083349 11.9784618)",,30
266758952,residential,False,False,88.971,,,"LINESTRING (-86.5090305 11.979583, -86.5082164 11.9795055)",,
266758952,residential,False,True,83.779,,,"LINESTRING (-86.5090305 11.979583, -86.5097971 11.9796559)",,
385341614,residential,False,False,88.741,,,"LINESTRING (-86.5090305 11.979583, -86.5089503 11.9803772)",,30
266758952,residential,False,False,83.779,,,"LINESTRING (-86.5097971 11.9796559, -86.5090305 11.979583)",,
266758952,residential,False,True,90.599,,,"LINESTRING (-86.5097971 11.9796559, -86.5106261 11.9797348)",,
385341611,residential,False,True,88.131,,,"LINESTRING (-86.5097971 11.9796559, -86.509716 11.9804445)",,30
266758952,residential,False,False,80.161,,,"LINESTRING (-86.5113623 11.9797675, -86.5106261 11.9797348)",,
595942643,residential,False,False,41.942,,,"LINESTRING (-86.5113623 11.9797675, -86.5114124 11.9793935)",,30
595942643,residential,False,True,92.179,,,"LINESTRING (-86.5113623 11.9797675, -86.5113171 11.9805953)",,30
266758952,residential,False,True,65.992,,,"LINESTRING (-86.5113623 11.9797675, -86.5116558 11.9798274, -86.5119406 11.9799392)",,
385341608,residential,False,False,79.308,,,"LINESTRING (-86.5119406 11.9799392, -86.5118541 11.9806474)",,30
266758952,residential,False,False,65.992,,,"LINESTRING (-86.5119406 11.9799392, -86.5116558 11.9798274, -86.5113623 11.9797675)",,
266758952,residential,False,True,179.529,,,"LINESTRING (-86.5119406 11.9799392, -86.5121144 11.9800504, -86.5122588 11.9801428, -86.5125141 11.980343, -86.5127327 11.9805292, -86.5128399 11.9806394, -86.5129419 11.980789, -86.5130976 11.9810556)",,
238075892,tertiary,False,False,88.393,,278,"LINESTRING (-86.5072858 11.9802223, -86.5064766 11.9801493)",Calle Central,
238075892,tertiary,False,True,93.788,,278,"LINESTRING (-86.5072858 11.9802223, -86.5081434 11.9803096)",Calle Central,
385341625,residential,False,True,89.156,,,"LINESTRING (-86.5072858 11.9802223, -86.5073859 11.9794265)",,30
595942640,residential,False,False,65.389,,,"LINESTRING (-86.5072858 11.9802223, -86.507217 11.9806867, -86.5071729 11.9807974)",,30
238075892,tertiary,False,False,143.567,,278,"LINESTRING (-86.5130976 11.9810556, -86.5128577 11.9809313, -86.5126039 11.9808244, -86.5124269 11.980768, -86.5122508 11.9807326, -86.5118541 11.9806474)",Calle Central,
238075892,tertiary,False,True,374.39300000000003,,278,"LINESTRING (-86.5130976 11.9810556, -86.5133538 11.9812197, -86.5135615 11.9813689, -86.5137568 11.9815032, -86.5139692 11.9816627, -86.5140963 11.981776, -86.5142012 11.9818871, -86.5143146 11.9820081, -86.514852 11.9827791, -86.5151108 11.9832326, -86.5152109 11.9834081, -86.5153248 11.983553)",Calle Central,
266758952,residential,False,False,179.529,,,"LINESTRING (-86.5130976 11.9810556, -86.5129419 11.980789, -86.5128399 11.9806394, -86.5127327 11.9805292, -86.5125141 11.980343, -86.5122588 11.9801428, -86.5121144 11.9800504, -86.5119406 11.9799392)",,
238075892,tertiary,False,False,83.623,,278,"LINESTRING (-86.509716 11.9804445, -86.5089503 11.9803772)",Calle Central,
238075892,tertiary,False,True,92.697,,278,"LINESTRING (-86.509716 11.9804445, -86.510564 11.9805272)",Calle Central,
385341611,residential,False,False,88.131,,,"LINESTRING (-86.509716 11.9804445, -86.5097971 11.9796559)",,30
385341629,residential,False,False,38.109,,,"LINESTRING (-86.5080644 11.9806435, -86.5081434 11.9803096)",,30
595942640,residential,False,True,65.389,,,"LINESTRING (-86.5071729 11.9807974, -86.507217 11.9806867, -86.5072858 11.9802223)",,30
595942639,residential,False,True,100.075,,,"LINESTRING (-86.5063724 11.9810434, -86.5063751 11.9809918, -86.5064766 11.9801493)",1a Avenida NO,30
595942642,residential,False,True,79.75,,,"LINESTRING (-86.5088235 11.9810836, -86.5089503 11.9803772)",,30
595942319,residential,False,True,30.82,,,"LINESTRING (-86.511057 11.9776488, -86.5113373 11.9776893)",,
595944653,residential,False,False,133.882,,,"LINESTRING (-86.511057 11.9776488, -86.510993 11.9788512)",,
595942319,residential,False,False,161.079,,,"LINESTRING (-86.511057 11.9776488, -86.5105933 11.9775866, -86.5105445 11.9775588, -86.5104977 11.9774892, -86.5103678 11.9770414, -86.5103575 11.977006, -86.5102857 11.9766632)",,
595942319,residential,False,True,37.16,,,"LINESTRING (-86.5102172 11.9763358, -86.5102857 11.9766632)",,
595942319,residential,False,False,30.82,,,"LINESTRING (-86.5113373 11.9776893, -86.511057 11.9776488)",,
595942319,residential,False,True,42.595,,,"LINESTRING (-86.5113373 11.9776893, -86.5117247 11.9777452)",,
595942320,residential,False,False,106.059,,,"LINESTRING (-86.5113373 11.9776893, -86.5113581 11.9774691, -86.5113921 11.9771072, -86.5114267 11.9767395)",,
595942320,residential,False,False,151.32,,,"LINESTRING (-86.5114267 11.9767395, -86.5118251 11.9767813, -86.5117247 11.9777452)",,
595942320,residential,False,True,106.059,,,"LINESTRING (-86.5114267 11.9767395, -86.5113921 11.9771072, -86.5113581 11.9774691, -86.5113373 11.9776893)",,
595942324,residential,False,False,50.85,,,"LINESTRING (-86.5114267 11.9767395, -86.5113165 11.97672, -86.5111116 11.9766838, -86.5109652 11.976668)",,
595942319,residential,False,False,42.595,,,"LINESTRING (-86.5117247 11.9777452, -86.5113373 11.9776893)",,
595942319,residential,False,True,36.757000000000005,,,"LINESTRING (-86.5117247 11.9777452, -86.5118666 11.9777657, -86.512059 11.9777935)",,
595942320,residential,False,True,151.32,,,"LINESTRING (-86.5117247 11.9777452, -86.5118251 11.9767813, -86.5114267 11.9767395)",,
595942321,residential,False,True,118.50500000000001,,,"LINESTRING (-86.5122154 11.9767415, -86.5120914 11.9777158, -86.512059 11.9777935)",,
595942319,residential,False,False,37.16,,,"LINESTRING (-86.5102857 11.9766632, -86.5102172 11.9763358)",,
595942319,residential,False,True,161.079,,,"LINESTRING (-86.5102857 11.9766632, -86.5103575 11.977006, -86.5103678 11.9770414, -86.5104977 11.9774892, -86.5105445 11.9775588, -86.5105933 11.9775866, -86.511057 11.9776488)",,
595942324,residential,False,True,74.001,,,"LINESTRING (-86.5102857 11.9766632, -86.5106055 11.976654, -86.5108534 11.976656, -86.5109652 11.976668)",,
595942325,residential,False,False,50.466,,,"LINESTRING (-86.5109652 11.976668, -86.5109835 11.9762145)",,
595942324,residential,False,False,74.001,,,"LINESTRING (-86.5109652 11.976668, -86.5108534 11.976656, -86.5106055 11.976654, -86.5102857 11.9766632)",,
595942324,residential,False,True,50.849999999999994,,,"LINESTRING (-86.5109652 11.976668, -86.5111116 11.9766838, -86.5113165 11.97672, -86.5114267 11.9767395)",,
595942325,residential,False,True,50.466,,,"LINESTRING (-86.5109835 11.9762145, -86.5109652 11.976668)",,
239699174,tertiary,False,True,50.767,,,"LINESTRING (-86.5133095 11.9779148, -86.5137748 11.9779504)",,
595942327,residential,False,False,114.615,,,"LINESTRING (-86.5133095 11.9779148, -86.5133865 11.9768868)",,
239699174,tertiary,False,False,136.69,,,"LINESTRING (-86.5133095 11.9779148, -86.5132722 11.9779119, -86.5122138 11.9778086, -86.512059 11.9777935)",,
595942327,residential,False,True,45.021,,,"LINESTRING (-86.5134167 11.976483, -86.5133865 11.9768868)",,
239699174,tertiary,False,False,50.767,,,"LINESTRING (-86.5137748 11.9779504, -86.5133095 11.9779148)",,
239699174,tertiary,False,True,60.74,,,"LINESTRING (-86.5137748 11.9779504, -86.5143315 11.9779931)",,
595942328,residential,False,False,114.19,,,"LINESTRING (-86.5137748 11.9779504, -86.5137542 11.9776522, -86.5138114 11.9769263)",,
595942328,residential,False,True,48.217,,,"LINESTRING (-86.5138558 11.9764949, -86.5138212 11.9768011, -86.5138114 11.9769263)",,
595942329,residential,False,False,46.427,,,"LINESTRING (-86.5138114 11.9769263, -86.5133865 11.9768868)",,
595942328,residential,False,False,48.217,,,"LINESTRING (-86.5138114 11.9769263, -86.5138212 11.9768011, -86.5138558 11.9764949)",,
595942328,residential,False,True,114.19,,,"LINESTRING (-86.5138114 11.9769263, -86.5137542 11.9776522, -86.5137748 11.9779504)",,
595942327,residential,False,False,45.021,,,"LINESTRING (-86.5133865 11.9768868, -86.5134167 11.976483)",,
595942327,residential,False,True,114.615,,,"LINESTRING (-86.5133865 11.9768868, -86.5133095 11.9779148)",,
595942329,residential,False,True,46.427,,,"LINESTRING (-86.5133865 11.9768868, -86.5138114 11.9769263)",,
239699174,tertiary,False,False,60.74,,,"LINESTRING (-86.5143315 11.9779931, -86.5137748 11.9779504)",,
239699174,tertiary,False,True,68.236,,,"LINESTRING (-86.5143315 11.9779931, -86.5149569 11.9780411)",,
595942330,residential,False,False,85.81,,,"LINESTRING (-86.5143315 11.9779931, -86.5141566 11.9772406)",,
595942330,residential,False,True,85.81,,,"LINESTRING (-86.5141566 11.9772406, -86.5143315 11.9779931)",,
595944652,residential,False,True,65.726,,,"LINESTRING (-86.5120035 11.9789994, -86.5119525 11.97859, -86.5119069 11.9784615, -86.5118918 11.9784215)",,
595944653,residential,False,True,133.882,,,"LINESTRING (-86.510993 11.9788512, -86.511057 11.9776488)",,
"[595942645, 595942646]",tertiary,False,False,120.965,,,"LINESTRING (-86.510993 11.9788512, -86.5109473 11.9788624, -86.5108029 11.978861, -86.5108178 11.9789374, -86.5106932 11.9792892, -86.5106261 11.9797348)",,
595942645,tertiary,False,True,112.886,,,"LINESTRING (-86.510993 11.9788512, -86.5110624 11.9788343, -86.5113404 11.978792, -86.5115658 11.9787123, -86.5117576 11.978581, -86.5118918 11.9784215)",,
