osmid,highway,oneway,reversed,length,name,lanes,ref,maxspeed,geometry,bridge
235410373,residential,False,True,171.302,,,,,"LINESTRING (71.9468262 42.5451982, 71.9464809 42.5436788)",
458813680,residential,False,True,319.321,Акылбек улица,,,,"LINESTRING (71.9468262 42.5451982, 71.9506276 42.5445634)",
180153728,primary,False,True,68.555,Айдарбек улица,2,ЭМ-17,60,"LINESTRING (71.9551248 42.5453432, 71.9543098 42.5454831)",
235410296,residential,False,True,166.162,,,,,"LINESTRING (71.9551248 42.5453432, 71.954764 42.5438727)",
180153728,primary,False,False,68.555,Айдарбек улица,2,ЭМ-17,60,"LINESTRING (71.9543098 42.5454831, 71.9551248 42.5453432)",
180153728,primary,False,True,277.599,Айдарбек улица,2,ЭМ-17,60,"LINESTRING (71.9543098 42.5454831, 71.9510097 42.5460499)",
235410437,residential,False,True,175.786,Специалистов переулок,,,,"LINESTRING (71.9543098 42.5454831, 71.9547484 42.5470306)",
180153728,primary,False,False,277.599,Айдарбек улица,2,ЭМ-17,60,"LINESTRING (71.9510097 42.5460499, 71.9543098 42.5454831)",
180153728,primary,False,True,318.746,Айдарбек улица,2,ЭМ-17,60,"LINESTRING (71.9510097 42.5460499, 71.9472204 42.5467007)",
235410415,residential,False,False,179.165,,,,,"LINESTRING (71.9510097 42.5460499, 71.9514015 42.5476351)",
235410415,residential,False,True,168.229,,,,,"LINESTRING (71.9510097 42.5460499, 71.9506276 42.5445634)",
180153728,primary,False,False,318.746,Айдарбек улица,2,ЭМ-17,60,"LINESTRING (71.9472204 42.5467007, 71.9510097 42.5460499)",
235410373,residential,False,True,170.163,,,,,"LINESTRING (71.9472204 42.5467007, 71.9468262 42.5451982)",
235410309,residential,False,False,282.296,Доботкул улица,,,,"LINESTRING (71.9547484 42.5470306, 71.9514015 42.5476351)",
235410437,residential,False,False,175.786,Специалистов переулок,,,,"LINESTRING (71.9547484 42.5470306, 71.9543098 42.5454831)",
235410437,residential,False,True,173.125,Специалистов переулок,,,,"LINESTRING (71.9547484 42.5470306, 71.9551828 42.5485543)",
235410309,residential,False,True,282.296,Доботкул улица,,,,"LINESTRING (71.9514015 42.5476351, 71.9547484 42.5470306)",
235410415,residential,False,False,170.013,,,,,"LINESTRING (71.9514015 42.5476351, 71.9517528 42.549142)",
235410415,residential,False,True,179.165,,,,,"LINESTRING (71.9514015 42.5476351, 71.9510097 42.5460499)",
235410310,residential,False,True,288.477,Таласская улица,,,,"LINESTRING (71.9551828 42.5485543, 71.9517528 42.549142)",
235410437,residential,False,False,173.125,Специалистов переулок,,,,"LINESTRING (71.9551828 42.5485543, 71.9547484 42.5470306)",
235410437,residential,False,True,119.542,Специалистов переулок,,,,"LINESTRING (71.9551828 42.5485543, 71.955485 42.5495318, 71.9555087 42.5496022)",
235410310,residential,False,False,288.477,Таласская улица,,,,"LINESTRING (71.9517528 42.549142, 71.9551828 42.5485543)",
235410310,residential,False,True,133.591,Таласская улица,,,,"LINESTRING (71.9517528 42.549142, 71.9501644 42.5494142)",
235410415,residential,False,True,170.013,,,,,"LINESTRING (71.9517528 42.549142, 71.9514015 42.5476351)",
235410310,residential,False,False,133.591,Таласская улица,,,,"LINESTRING (71.9501644 42.5494142, 71.9517528 42.549142)",
458813625,residential,False,True,31.133,Таласская улица,,,,"LINESTRING (71.9501644 42.5494142, 71.9498091 42.5495136)",yes
235410389,residential,False,True,488.78,,,,,"LINESTRING (71.9501644 42.5494142, 71.9509294 42.5501621, 71.951241 42.550256, 71.9555087 42.5496022)",
458813625,residential,False,False,31.133,Таласская улица,,,,"LINESTRING (71.9498091 42.5495136, 71.9501644 42.5494142)",yes
458813627,residential,False,True,29.053,Специалистов переулок,,,,"LINESTRING (71.9555087 42.5496022, 71.9555762 42.5498587)",yes
235410389,residential,False,False,488.78,,,,,"LINESTRING (71.9555087 42.5496022, 71.951241 42.550256, 71.9509294 42.5501621, 71.9501644 42.5494142)",
235410437,residential,False,False,119.542,Специалистов переулок,,,,"LINESTRING (71.9555087 42.5496022, 71.955485 42.5495318, 71.9551828 42.5485543)",
458813627,residential,False,False,29.053,Специалистов переулок,,,,"LINESTRING (71.9555762 42.5498587, 71.9555087 42.5496022)",yes
458813628,residential,False,True,58.331,Специалистов переулок,,,,"LINESTRING (71.9555762 42.5498587, 71.9557117 42.5503737)",
458813628,residential,False,False,58.331,Специалистов переулок,,,,"LINESTRING (71.9557117 42.5503737, 71.9555762 42.5498587)",
