osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,maxspeed,bridge
493373965,Calle Gastón Fernando Deligne,residential,False,True,23.045,,,"LINESTRING (-69.0365257 18.7568826, -69.036495 18.7570878)",,
493372670,,residential,False,False,52.923,,,"LINESTRING (-69.0365257 18.7568826, -69.0365699 18.7568471, -69.0367336 18.7567058, -69.0369396 18.7566245)",,
493372671,,residential,False,False,74.726,,,"LINESTRING (-69.0371543 18.7576509, -69.0369825 18.7572991, -69.0369871 18.7570147)",,
493372671,,residential,False,True,76.217,,,"LINESTRING (-69.0371543 18.7576509, -69.0374582 18.7578765, -69.0376196 18.7581574)",,
493373460,,residential,False,True,76.878,,,"LINESTRING (-69.0371543 18.7576509, -69.0369525 18.7578947, -69.0370847 18.7582552)",,
493373006,,residential,False,True,26.019,,,"LINESTRING (-69.0406496 18.7551113, -69.0408625 18.7552301)",,
493372673,,residential,False,False,141.45000000000002,,,"LINESTRING (-69.0406496 18.7551113, -69.0406753 18.75452, -69.0406303 18.7542592, -69.0405402 18.7540692, -69.0405378 18.7539832, -69.0404823 18.7538734)",,
493372673,,residential,False,True,115.19900000000001,,,"LINESTRING (-69.0406496 18.7551113, -69.0404157 18.7556653, -69.0403943 18.7561042)",,
493373006,,residential,False,False,175.762,,,"LINESTRING (-69.0406496 18.7551113, -69.0405963 18.7550723, -69.0402193 18.7549269, -69.0401158 18.7548503, -69.0400467 18.7545681, -69.0400025 18.7543135, -69.0399608 18.7541498, -69.0398965 18.7538653)",,
493372673,,residential,False,False,40.299,,,"LINESTRING (-69.0402804 18.7564502, -69.0403943 18.7561042)",,
493372673,,residential,False,True,56.053,,,"LINESTRING (-69.0402804 18.7564502, -69.040051 18.7568437, -69.0400253 18.7568926)",,
493373624,,residential,False,False,74.903,,,"LINESTRING (-69.0402804 18.7564502, -69.0400661 18.7563683, -69.03989 18.7563847, -69.0396003 18.7564699)",,
493372672,,residential,False,False,60.87,,,"LINESTRING (-69.0401843 18.7581563, -69.0404632 18.7576768)",,
493372858,,residential,False,False,71.555,,,"LINESTRING (-69.0401843 18.7581563, -69.0395789 18.7578639)",,
493372858,,residential,False,True,56.581,,,"LINESTRING (-69.0401843 18.7581563, -69.0406241 18.7584487)",,
493372672,,residential,False,True,84.56899999999999,,,"LINESTRING (-69.0401843 18.7581563, -69.0400748 18.7584359, -69.039772 18.7587986)",,
493372670,,residential,False,False,47.439,,,"LINESTRING (-69.0380468 18.7556368, -69.0383901 18.7553605)",,
493372670,,residential,False,True,12.916,,,"LINESTRING (-69.0380468 18.7556368, -69.0380506 18.7557529)",,
493372961,,residential,False,True,81.036,,,"LINESTRING (-69.0380468 18.7556368, -69.037961 18.755519, -69.0377464 18.7552267, -69.0375494 18.7550927)",,
493372673,,residential,False,False,50.898,,,"LINESTRING (-69.0395789 18.7578639, -69.039742 18.757433)",,
493372673,,residential,False,True,83.52,,,"LINESTRING (-69.0395789 18.7578639, -69.0393643 18.758587)",,
493372858,,residential,False,False,17.62,,,"LINESTRING (-69.0395789 18.7578639, -69.0394244 18.757803)",,
493372858,,residential,False,True,71.555,,,"LINESTRING (-69.0395789 18.7578639, -69.0401843 18.7581563)",,
493345791,,residential,False,True,17.662,,,"LINESTRING (-69.0363325 18.7570484, -69.036495 18.7570878)",,
493372670,,residential,False,False,27.453,,,"LINESTRING (-69.0363325 18.7570484, -69.0365257 18.7568826)",,
493345791,,residential,False,False,92.066,,,"LINESTRING (-69.0363325 18.7570484, -69.0361526 18.7569945, -69.0356302 18.7565739)",,
493372673,,residential,False,False,27.683,,,"LINESTRING (-69.039742 18.757433, -69.0398589 18.75721)",,
493372673,,residential,False,True,50.898,,,"LINESTRING (-69.039742 18.757433, -69.0395789 18.7578639)",,
493372872,,residential,False,True,20.556,,,"LINESTRING (-69.039742 18.757433, -69.0395789 18.7573314)",,
493372873,,residential,False,True,41.359,,,"LINESTRING (-69.039742 18.757433, -69.0401199 18.7575345)",,
493372672,,residential,False,False,82.087,,,"LINESTRING (-69.0406992 18.7569537, -69.0408924 18.7562385)",,
493372672,,residential,False,True,84.157,,,"LINESTRING (-69.0406992 18.7569537, -69.0404632 18.7576768)",,
493372871,,residential,False,False,50.231,,,"LINESTRING (-69.0406992 18.7569537, -69.0402243 18.7569106)",,
493372871,,residential,False,True,44.343,,,"LINESTRING (-69.0406992 18.7569537, -69.0411166 18.7570068)",,
493372672,,residential,False,False,84.157,,,"LINESTRING (-69.0404632 18.7576768, -69.0406992 18.7569537)",,
493372672,,residential,False,True,60.87,,,"LINESTRING (-69.0404632 18.7576768, -69.0401843 18.7581563)",,
493372873,,residential,False,False,39.457,,,"LINESTRING (-69.0404632 18.7576768, -69.0401199 18.7575345)",,
493372873,,residential,False,True,47.963,,,"LINESTRING (-69.0404632 18.7576768, -69.040878 18.7578551)",,
493372673,,residential,False,True,141.45,,,"LINESTRING (-69.0404823 18.7538734, -69.0405378 18.7539832, -69.0405402 18.7540692, -69.0406303 18.7542592, -69.0406753 18.75452, -69.0406496 18.7551113)",,
493372672,,residential,False,True,87.987,,,"LINESTRING (-69.039772 18.7587986, -69.0392187 18.7593916)",,
493372918,,residential,False,False,48.952,,,"LINESTRING (-69.039772 18.7587986, -69.0393643 18.758587)",,
493372918,,residential,False,True,52.979,,,"LINESTRING (-69.039772 18.7587986, -69.0401641 18.7590972)",,
493372672,,residential,False,False,84.56899999999999,,,"LINESTRING (-69.039772 18.7587986, -69.0400748 18.7584359, -69.0401843 18.7581563)",,
493372673,,residential,False,False,83.52,,,"LINESTRING (-69.0393643 18.758587, -69.0395789 18.7578639)",,
493372918,,residential,False,False,46.829,,,"LINESTRING (-69.0393643 18.758587, -69.0389955 18.7583516)",,
493372918,,residential,False,True,48.952,,,"LINESTRING (-69.0393643 18.758587, -69.039772 18.7587986)",,
493372673,,residential,False,True,73.855,,,"LINESTRING (-69.0393643 18.758587, -69.039132 18.7588964, -69.0389051 18.759083)",,
493372673,,residential,False,True,96.028,,,"LINESTRING (-69.0389051 18.759083, -69.038197 18.7596273)",,
493373459,,residential,False,False,49.983,,,"LINESTRING (-69.0389051 18.759083, -69.0385449 18.7587902)",,
493373459,,residential,False,True,47.621,,,"LINESTRING (-69.0389051 18.759083, -69.0392187 18.7593916)",,
493372673,,residential,False,False,73.855,,,"LINESTRING (-69.0389051 18.759083, -69.039132 18.7588964, -69.0393643 18.758587)",,
493372672,,residential,False,True,100.065,,,"LINESTRING (-69.0411218 18.7553652, -69.0408924 18.7562385)",,
493373006,,residential,False,False,31.162,,,"LINESTRING (-69.0411218 18.7553652, -69.0408625 18.7552301)",,
