osmid,oneway,name,highway,reversed,length,geometry,ref,junction
142035455,False,Rua Quinze de Novembro,residential,False,94.185,"LINESTRING (-49.650912 -22.2129894, -49.6503697 -22.2136716)",,
142035455,False,Rua Quinze de Novembro,residential,True,93.697,"LINESTRING (-49.650912 -22.2129894, -49.6514467 -22.2123075)",,
890524622,True,Rua Alfredo Souza Castro,residential,False,27.426,"LINESTRING (-49.6537187 -22.2092971, -49.6535446 -22.2091104)",,
864919571,True,Rua Alfredo Souza Castro,residential,False,16.876,"LINESTRING (-49.6537187 -22.2092971, -49.65376 -22.2093341, -49.6538432 -22.2093956)",,
139940115,False,Rua Plinio de Godóy,residential,False,95.007,"LINESTRING (-49.6525254 -22.2108929, -49.6532797 -22.2113852)",,
139940115,False,Rua Plinio de Godóy,residential,True,95.102,"LINESTRING (-49.6525254 -22.2108929, -49.6517818 -22.2103854)",,
142035455,False,Rua Quinze de Novembro,residential,False,98.479,"LINESTRING (-49.6525254 -22.2108929, -49.6519825 -22.2116221)",,
142035455,False,Rua Quinze de Novembro,residential,True,83.558,"LINESTRING (-49.6525254 -22.2108929, -49.6529867 -22.2102746)",,
142035452,False,Rua Cinco de Mmaio,residential,False,7.457,"LINESTRING (-49.6504019 -22.2168866, -49.6503456 -22.2168444)",,
142035450,False,Rua Fausto Floriano de Toledo,residential,False,95.191,"LINESTRING (-49.6506998 -22.2118107, -49.6512421 -22.2111173)",,
142035450,False,Rua Fausto Floriano de Toledo,residential,True,94.282,"LINESTRING (-49.6506998 -22.2118107, -49.6501701 -22.2125024)",,
142035464,False,Rua Carlos Gomes,residential,False,94.676,"LINESTRING (-49.6506998 -22.2118107, -49.6514467 -22.2123075)",,
142035464,False,Rua Carlos Gomes,residential,True,95.287,"LINESTRING (-49.6506998 -22.2118107, -49.6499494 -22.211309)",,
142035453,False,Rua Doutor Jurandir Ubirajara Guimarães,residential,False,96.625,"LINESTRING (-49.6539592 -22.2139918, -49.6533244 -22.2146319)",,
142035464,False,Rua Carlos Gomes,residential,False,50.889,"LINESTRING (-49.6539592 -22.2139918, -49.6543562 -22.2142645)",,
142035464,False,Rua Carlos Gomes,residential,True,110.506,"LINESTRING (-49.6539592 -22.2139918, -49.6530882 -22.2134109)",,
138575586,False,Avenida Presidente Vargas,secondary,True,101.44,"LINESTRING (-49.6537399 -22.2168711, -49.6537681 -22.2159592)",SP-349,
143954884,False,Rua Eumene,residential,False,97.516,"LINESTRING (-49.6537399 -22.2168711, -49.6546868 -22.2168968)",,
143954884,False,Rua Eumene,residential,True,95.579,"LINESTRING (-49.6537399 -22.2168711, -49.6528118 -22.2168462)",,
143954880,False,Rua Irmã Valentina Canton,residential,False,99.233,"LINESTRING (-49.6528118 -22.2168462, -49.6528378 -22.2159541)",,
143954884,False,Rua Eumene,residential,False,95.579,"LINESTRING (-49.6528118 -22.2168462, -49.6537399 -22.2168711)",,
143954884,False,Rua Eumene,residential,True,98.843,"LINESTRING (-49.6528118 -22.2168462, -49.6519556 -22.2168351, -49.6519046 -22.2168233, -49.6518604 -22.2167991)",,
143954880,False,Rua Irmã Valentina Canton,residential,False,8.969,"LINESTRING (-49.6528253 -22.215863, -49.6528106 -22.2157835)",,
143954880,False,Rua Irmã Valentina Canton,residential,True,10.211,"LINESTRING (-49.6528253 -22.215863, -49.6528378 -22.2159541)",,
220823195,True,Avenida Doutor Eustachio Schalzo,secondary,False,9.828,"LINESTRING (-49.6528253 -22.215863, -49.6527629 -22.2159299)",,
143954880,False,Rua Irmã Valentina Canton,residential,False,10.211,"LINESTRING (-49.6528378 -22.2159541, -49.6528253 -22.215863)",,
143954880,False,Rua Irmã Valentina Canton,residential,True,99.233,"LINESTRING (-49.6528378 -22.2159541, -49.6528118 -22.2168462)",,
881916799,False,Rua das Flores,residential,False,8.166,"LINESTRING (-49.6528378 -22.2159541, -49.6527629 -22.2159299)",,
881916800,True,Rua das Flores,residential,False,95.767,"LINESTRING (-49.6528378 -22.2159541, -49.6537681 -22.2159592)",,
143954884,False,Rua Eumene,residential,True,100.619,"LINESTRING (-49.6593902 -22.2170407, -49.6584131 -22.2170163)",,
144175692,False,Rua Francisco da Silva Braga,residential,True,100.037,"LINESTRING (-49.6593902 -22.2170407, -49.6594175 -22.2161414)",,
138575586,False,Avenida Presidente Vargas,secondary,False,101.44,"LINESTRING (-49.6537681 -22.2159592, -49.6537399 -22.2168711)",SP-349,
138575586,False,Avenida Presidente Vargas,secondary,True,99.198,"LINESTRING (-49.6537681 -22.2159592, -49.6537728 -22.2150671)",SP-349,
143954886,False,Rua das Flores,residential,True,95.855,"LINESTRING (-49.6537681 -22.2159592, -49.6546989 -22.2159836)",,
143954884,False,Rua Eumene,residential,False,95.202,"LINESTRING (-49.6574884 -22.2170017, -49.6584131 -22.2170163)",,
143954884,False,Rua Eumene,residential,True,92.299,"LINESTRING (-49.6574884 -22.2170017, -49.6565924 -22.2169705)",,
144175702,False,Rua São João,residential,True,99.639,"LINESTRING (-49.6574884 -22.2170017, -49.6575198 -22.2161061)",,
143954886,False,Rua das Flores,residential,False,95.999,"LINESTRING (-49.6565966 -22.2160702, -49.6556644 -22.216046)",,
