osmid,name,highway,oneway,reversed,length,geometry,maxspeed
352614157,Rua Hilário Alves de Freitas,residential,False,True,112.752,"LINESTRING (-48.0321827 -20.1802417, -48.0324629 -20.181221)",
235153863,Avenida Francisco Antônio de Freitas,secondary,True,False,113.784,"LINESTRING (-48.0320272 -20.1796749, -48.0309899 -20.1799898)",30
352614157,Rua Hilário Alves de Freitas,residential,False,False,112.351,"LINESTRING (-48.0320272 -20.1796749, -48.0317491 -20.1786988)",
352614157,Rua Hilário Alves de Freitas,residential,False,True,65.081,"LINESTRING (-48.0320272 -20.1796749, -48.0321827 -20.1802417)",
172549303,Avenida Leopoldo Carlos de Oliveira,secondary,False,False,89.233,"LINESTRING (-48.0317491 -20.1786988, -48.0325618 -20.1784496)",
172549303,Avenida Leopoldo Carlos de Oliveira,secondary,False,True,112.006,"LINESTRING (-48.0317491 -20.1786988, -48.0307245 -20.1789984)",
352614157,Rua Hilário Alves de Freitas,residential,False,False,115.084,"LINESTRING (-48.0317491 -20.1786988, -48.0314434 -20.1777044)",
352614157,Rua Hilário Alves de Freitas,residential,False,True,112.351,"LINESTRING (-48.0317491 -20.1786988, -48.0320272 -20.1796749)",
235160916,Avenida Antônio Alves Figueira,residential,False,False,112.733,"LINESTRING (-48.0314434 -20.1777044, -48.0304107 -20.1780015)",
235160916,Avenida Antônio Alves Figueira,residential,False,True,92.069,"LINESTRING (-48.0314434 -20.1777044, -48.0322829 -20.1774501)",
352614157,Rua Hilário Alves de Freitas,residential,False,False,115.443,"LINESTRING (-48.0314434 -20.1777044, -48.031159 -20.1767011)",
352614157,Rua Hilário Alves de Freitas,residential,False,True,115.084,"LINESTRING (-48.0314434 -20.1777044, -48.0317491 -20.1786988)",
352614157,Rua Hilário Alves de Freitas,residential,False,False,111.243,"LINESTRING (-48.031159 -20.1767011, -48.0308653 -20.1757394)",
352614157,Rua Hilário Alves de Freitas,residential,False,True,115.443,"LINESTRING (-48.031159 -20.1767011, -48.0314434 -20.1777044)",
1000634715,Avenida Gregório Manuel Pereira,residential,False,False,114.316,"LINESTRING (-48.031159 -20.1767011, -48.0301123 -20.1770039)",
1000634715,Avenida Gregório Manuel Pereira,residential,False,True,88.281,"LINESTRING (-48.031159 -20.1767011, -48.0319664 -20.1764645)",
352410422,Avenida Alexandre Jorge,residential,False,False,86.37,"LINESTRING (-48.0308653 -20.1757394, -48.0316526 -20.1755002)",
352410422,Avenida Alexandre Jorge,residential,False,True,111.25,"LINESTRING (-48.0308653 -20.1757394, -48.0298434 -20.1760239)",
352614157,Rua Hilário Alves de Freitas,residential,False,True,111.243,"LINESTRING (-48.0308653 -20.1757394, -48.031159 -20.1767011)",
