osmid,name,highway,oneway,reversed,length,ref,geometry,junction
1180001415,Rua Padre Salvador Castella,residential,False,False,73.432,,"LINESTRING (-46.7897834 -22.8799241, -46.7904632 -22.8797147)",
1180001415,Rua Padre Salvador Castella,residential,False,True,70.609,,"LINESTRING (-46.7897834 -22.8799241, -46.7891265 -22.8801163)",
222531415,Rua Carlos Miguel de Oliveira,residential,False,False,43.616,,"LINESTRING (-46.7891265 -22.8801163, -46.7891041 -22.880508)",
222531415,Rua Carlos Miguel de Oliveira,residential,False,True,34.045,,"LINESTRING (-46.7891265 -22.8801163, -46.7890617 -22.879816)",
1180001415,Rua Padre Salvador Castella,residential,False,False,70.609,,"LINESTRING (-46.7891265 -22.8801163, -46.7897834 -22.8799241)",
222531366,Praça João Pessoa,residential,True,False,64.68,,"LINESTRING (-46.79217 -22.8801234, -46.7923006 -22.8806925)",
914643841,Rua Rodrigues Leme,secondary,True,False,69.605,,"LINESTRING (-46.79217 -22.8801234, -46.7928126 -22.8799201)",
1180001418,Rua Rodrigues Leme,residential,False,True,90.94,,"LINESTRING (-46.7919147 -22.8802084, -46.7910738 -22.8804704)",
"[1179993922, 914643839]",Rua Pereira Cardoso,secondary,True,False,100.882,,"LINESTRING (-46.7919147 -22.8802084, -46.7919196 -22.8801176, -46.7919192 -22.8800513, -46.7919192 -22.8799699, -46.7918977 -22.8798918, -46.7917101 -22.8793297)",
914643842,Rua Rodrigues Leme,secondary,True,False,27.816,,"LINESTRING (-46.7919147 -22.8802084, -46.7920033 -22.8801761, -46.79217 -22.8801234)",
222531424,Rua Antonio Amalfi,residential,False,False,99.972,,"LINESTRING (-46.7910738 -22.8804704, -46.7908353 -22.8795986)",
1180001418,Rua Rodrigues Leme,residential,False,False,90.94,,"LINESTRING (-46.7910738 -22.8804704, -46.7919147 -22.8802084)",
1180001419,Rua Antonio Amalfi,residential,False,True,97.731,,"LINESTRING (-46.7910738 -22.8804704, -46.7911693 -22.8813449)",
222531289,Rua Rodrigues Leme,residential,False,True,66.76400000000001,,"LINESTRING (-46.7910738 -22.8804704, -46.7908496 -22.8805263, -46.7904305 -22.8805416)",
222531289,Rua Rodrigues Leme,residential,False,False,67.053,,"LINESTRING (-46.7891041 -22.880508, -46.7897575 -22.8805432)",
222531415,Rua Carlos Miguel de Oliveira,residential,False,True,43.616,,"LINESTRING (-46.7891041 -22.880508, -46.7891265 -22.8801163)",
222531415,Rua Carlos Miguel de Oliveira,residential,False,False,113.173,,"LINESTRING (-46.7891041 -22.880508, -46.789033 -22.8811413, -46.7889803 -22.8815193)",
222531289,Rua Rodrigues Leme,residential,False,False,68.946,,"LINESTRING (-46.7897575 -22.8805432, -46.7904305 -22.8805416)",
222531289,Rua Rodrigues Leme,residential,False,True,67.053,,"LINESTRING (-46.7897575 -22.8805432, -46.7891041 -22.880508)",
222531403,Rua Abel Vicente,residential,False,False,68.892,,"LINESTRING (-46.7897575 -22.8805432, -46.7897834 -22.8799241)",
222531403,Rua Abel Vicente,residential,False,True,160.55599999999998,,"LINESTRING (-46.7897575 -22.8805432, -46.7897163 -22.8813277, -46.7896815 -22.8814496, -46.7893057 -22.8818541)",
222531289,Rua Rodrigues Leme,residential,False,True,68.946,,"LINESTRING (-46.7904305 -22.8805416, -46.7897575 -22.8805432)",
222531319,Rua Elvira Laurentes Tobias,residential,False,True,90.815,,"LINESTRING (-46.7904305 -22.8805416, -46.7903863 -22.8813573)",
222531289,Rua Rodrigues Leme,residential,False,False,66.76400000000001,,"LINESTRING (-46.7904305 -22.8805416, -46.7908496 -22.8805263, -46.7910738 -22.8804704)",
1180001424,Avenida Paulo Gomes,residential,False,True,131.185,,"LINESTRING (-46.7923006 -22.8806925, -46.7935637 -22.8808865)",
