osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,access,geometry
399342550,False,2,Rua Doutor José Augusto Amaral,residential,40,False,118.005,,,"LINESTRING (-44.9973131 -21.2461242, -44.9974304 -21.2460611, -44.9978395 -21.2458936, -44.9983545 -21.2456974)"
399342550,False,2,Rua Doutor José Augusto Amaral,residential,40,True,105.497,,,"LINESTRING (-44.9973131 -21.2461242, -44.997238 -21.2461592, -44.9964534 -21.2464961, -44.9963911 -21.2465261)"
658586101,False,2,Rua Tomás Antônio Gonzaga,residential,30,False,63.904,,,"LINESTRING (-44.9985583 -21.2462398, -44.9983545 -21.2456974)"
658586101,False,2,Rua Tomás Antônio Gonzaga,residential,30,True,74.676,,,"LINESTRING (-44.9985583 -21.2462398, -44.9988263 -21.2468632)"
399342551,False,2,Rua Barbosa Lima,residential,30,True,112.52799999999999,,,"LINESTRING (-44.9985583 -21.2462398, -44.998042 -21.2464498, -44.9975766 -21.2466711)"
384598847,True,2,Rua Doutor Orlando Haddad,residential,40,False,115.275,,,"LINESTRING (-44.9950534 -21.2463082, -44.9960813 -21.2459121)"
658616115,False,2,Rua Doutor Armando Amaral,residential,40,True,24.38,,,"LINESTRING (-44.9950534 -21.2463082, -44.9952001 -21.2464796)"
658616115,False,2,Rua Doutor Armando Amaral,residential,40,False,24.38,,,"LINESTRING (-44.9952001 -21.2464796, -44.9950534 -21.2463082)"
658616115,False,2,Rua Doutor Armando Amaral,residential,40,True,48.104,,,"LINESTRING (-44.9952001 -21.2464796, -44.9954729 -21.2468296)"
384124922,False,2,Rua João Pinto Gonçalves,residential,40,True,101.03,,,"LINESTRING (-44.9963911 -21.2465261, -44.9962355 -21.2465648, -44.9954729 -21.2468296)"
399342550,False,2,Rua Doutor José Augusto Amaral,residential,40,False,105.497,,,"LINESTRING (-44.9963911 -21.2465261, -44.9964534 -21.2464961, -44.997238 -21.2461592, -44.9973131 -21.2461242)"
658616116,False,2,Rua João Pomárico,residential,40,False,75.472,,,"LINESTRING (-44.9963911 -21.2465261, -44.9962261 -21.2462198, -44.9960813 -21.2459121)"
129928482,False,2,Rua José de Souza Andrade,residential,30,True,66.663,,,"LINESTRING (-44.9975766 -21.2466711, -44.9973131 -21.2461242)"
399342551,False,2,Rua Barbosa Lima,residential,30,False,112.52799999999999,,,"LINESTRING (-44.9975766 -21.2466711, -44.998042 -21.2464498, -44.9985583 -21.2462398)"
399568767,False,2,Rua Governador Milton Campos,residential,30,False,67.251,,,"LINESTRING (-44.9988263 -21.2468632, -44.9994201 -21.2466193)"
658586101,False,2,Rua Tomás Antônio Gonzaga,residential,30,False,74.676,,,"LINESTRING (-44.9988263 -21.2468632, -44.9985583 -21.2462398)"
129929320,False,2,Rua Saturnino de Pádua,residential,30,True,6.439,,,"LINESTRING (-44.9965309 -21.238188, -44.9965074 -21.2382416)"
129929320,False,2,Rua Saturnino de Pádua,residential,30,False,6.439,,,"LINESTRING (-44.9965074 -21.2382416, -44.9965309 -21.238188)"
