osmid,oneway,highway,reversed,length,name,geometry,lanes,junction,ref
543218347,False,residential,True,171.661,Rua Oriente,"LINESTRING (-42.7241085 -10.8198449, -42.7237468 -10.8191451, -42.723403 -10.8184654)",,,
88302933,False,residential,True,198.833,Rua Aurélio Miranda,"LINESTRING (-42.7221519 -10.8194335, -42.72393 -10.8198172)",,,
88302935,False,residential,False,113.657,Travessa dos Pescadores,"LINESTRING (-42.7221519 -10.8194335, -42.7222922 -10.8192793, -42.7229405 -10.8187701)",,,
88302935,False,residential,False,60.824,Travessa dos Pescadores,"LINESTRING (-42.7229405 -10.8187701, -42.723403 -10.8184654)",,,
88302935,False,residential,True,113.657,Travessa dos Pescadores,"LINESTRING (-42.7229405 -10.8187701, -42.7222922 -10.8192793, -42.7221519 -10.8194335)",,,
248759966,False,residential,False,159.322,Rua da Valeta,"LINESTRING (-42.7229405 -10.8187701, -42.7233546 -10.8191304, -42.72393 -10.8198172)",,,
88302935,False,residential,False,61.627,Travessa dos Pescadores,"LINESTRING (-42.723403 -10.8184654, -42.7238865 -10.8181797)",,,
88302935,False,residential,True,60.824,Travessa dos Pescadores,"LINESTRING (-42.723403 -10.8184654, -42.7229405 -10.8187701)",,,
543218347,False,residential,False,171.661,Rua Oriente,"LINESTRING (-42.723403 -10.8184654, -42.7237468 -10.8191451, -42.7241085 -10.8198449)",,,
88302935,False,residential,False,58.525,Travessa dos Pescadores,"LINESTRING (-42.7238865 -10.8181797, -42.7243332 -10.817889)",,,
88302935,False,residential,True,61.627,Travessa dos Pescadores,"LINESTRING (-42.7238865 -10.8181797, -42.723403 -10.8184654)",,,
248762342,False,residential,False,84.981,Rua Aristóteles Marçal da Silva,"LINESTRING (-42.7238865 -10.8181797, -42.7242623 -10.8188489)",,,
88302935,False,residential,False,56.257,Travessa dos Pescadores,"LINESTRING (-42.7243332 -10.817889, -42.7247576 -10.8176023)",,,
88302935,False,residential,True,58.525,Travessa dos Pescadores,"LINESTRING (-42.7243332 -10.817889, -42.7238865 -10.8181797)",,,
88302935,False,residential,False,43.215,Travessa dos Pescadores,"LINESTRING (-42.7247576 -10.8176023, -42.7250739 -10.8173688)",,,
88302935,False,residential,True,56.257,Travessa dos Pescadores,"LINESTRING (-42.7247576 -10.8176023, -42.7243332 -10.817889)",,,
248760781,False,residential,True,43.978,Rua Dom Pedro II,"LINESTRING (-42.7247576 -10.8176023, -42.7245369 -10.8172715)",,,
248760781,False,residential,False,213.119,Rua Dom Pedro II,"LINESTRING (-42.7247576 -10.8176023, -42.7252558 -10.818465, -42.7257232 -10.8192678)",,,
88302940,False,residential,False,45.445,Rua Monsenhor Costa,"LINESTRING (-42.7309592 -10.8216081, -42.7307425 -10.8212592)",,,
88302940,False,residential,False,99.23,Rua Monsenhor Costa,"LINESTRING (-42.729569 -10.8193592, -42.7290943 -10.8185983)",,,
88302940,False,residential,True,98.653,Rua Monsenhor Costa,"LINESTRING (-42.729569 -10.8193592, -42.7300379 -10.8201175)",,,
88303014,False,residential,False,61.715,Rua Maranhão,"LINESTRING (-42.729569 -10.8193592, -42.7300392 -10.8190514)",,,
88303014,False,residential,True,93.252,Rua Maranhão,"LINESTRING (-42.729569 -10.8193592, -42.7288469 -10.8198067)",,,
88302940,False,residential,True,92.082,Rua Monsenhor Costa,"LINESTRING (-42.7286624 -10.8178871, -42.7290943 -10.8185983)",,,
88302948,False,residential,False,56.178,Rua Osvaldo Cruz,"LINESTRING (-42.7286624 -10.8178871, -42.7291299 -10.8176764)",,,
88302948,False,residential,True,108.019,Rua Osvaldo Cruz,"LINESTRING (-42.7286624 -10.8178871, -42.7277752 -10.8183164)",,,
88302948,False,residential,False,67.32,Rua Osvaldo Cruz,"LINESTRING (-42.7247861 -10.8197266, -42.7253384 -10.8194578)",,,
88302948,False,residential,True,41.388,Rua Osvaldo Cruz,"LINESTRING (-42.7247861 -10.8197266, -42.7244642 -10.819923)",,,
248762342,False,residential,False,42.337,Rua Aristóteles Marçal da Silva,"LINESTRING (-42.7247861 -10.8197266, -42.7249665 -10.8200636)",,,
248762342,False,residential,True,113.127,Rua Aristóteles Marçal da Silva,"LINESTRING (-42.7247861 -10.8197266, -42.7242623 -10.8188489)",,,
88302948,False,residential,False,69.613,Rua Osvaldo Cruz,"LINESTRING (-42.7266572 -10.8188511, -42.7272321 -10.8185808)",,,
88302948,False,residential,True,63.371,Rua Osvaldo Cruz,"LINESTRING (-42.7266572 -10.8188511, -42.7261266 -10.8190817)",,,
88302953,False,residential,False,129.966,Rua Pedro Mariani,"LINESTRING (-42.7266572 -10.8188511, -42.727306 -10.8198309)",,,
88302953,False,residential,True,63.792,Rua Pedro Mariani,"LINESTRING (-42.7266572 -10.8188511, -42.7263406 -10.818369)",,,
88302948,False,residential,False,66.203,Rua Osvaldo Cruz,"LINESTRING (-42.7272321 -10.8185808, -42.7277752 -10.8183164)",,,
88302948,False,residential,True,69.613,Rua Osvaldo Cruz,"LINESTRING (-42.7272321 -10.8185808, -42.7266572 -10.8188511)",,,
251103499,False,residential,False,119.695,Rua Agrario Avelino,"LINESTRING (-42.7272321 -10.8185808, -42.7278167 -10.8194913)",,,
251103499,False,residential,True,72.877,Rua Agrario Avelino,"LINESTRING (-42.7272321 -10.8185808, -42.7268743 -10.8180276)",,,
88302929,False,tertiary,False,80.505,Rua Rui Barbosa,"LINESTRING (-42.7277752 -10.8183164, -42.7273671 -10.8177135)",,,
88302929,False,tertiary,True,42.269,Rua Rui Barbosa,"LINESTRING (-42.7277752 -10.8183164, -42.7280044 -10.8186227)",,,
