osmid,oneway,lanes,ref,highway,reversed,length,geometry,name
221145194,False,,,residential,False,50.151,"LINESTRING (-39.6959438 -12.7045884, -39.6959112 -12.7050383)",
221145194,False,,,residential,True,50.967,"LINESTRING (-39.6959438 -12.7045884, -39.6959708 -12.7041308)",
221145211,False,,,residential,False,130.306,"LINESTRING (-39.6959438 -12.7045884, -39.6947449 -12.7045147)",
221145211,False,,,residential,True,98.117,"LINESTRING (-39.6959438 -12.7045884, -39.6968468 -12.7046398)",
221145219,False,,,residential,False,7.402,"LINESTRING (-39.6947286 -12.7049643, -39.6946605 -12.70496)",
814556581,True,,,residential,False,57.666,"LINESTRING (-39.6947286 -12.7049643, -39.6946909 -12.7054816)",
221145219,False,,,residential,True,128.551,"LINESTRING (-39.6947286 -12.7049643, -39.6953107 -12.7049946, -39.6959112 -12.7050383)",
221145194,False,,,residential,False,60.529,"LINESTRING (-39.6959112 -12.7050383, -39.6958719 -12.7055813)",
221145194,False,,,residential,True,50.151,"LINESTRING (-39.6959112 -12.7050383, -39.6959438 -12.7045884)",
221145219,False,,,residential,True,97.675,"LINESTRING (-39.6959112 -12.7050383, -39.6968098 -12.7050947)",
221145219,False,,,residential,False,128.551,"LINESTRING (-39.6959112 -12.7050383, -39.6953107 -12.7049946, -39.6947286 -12.7049643)",
221145192,False,,,residential,False,57.456,"LINESTRING (-39.69418 -12.7054474, -39.6942148 -12.7049318)",
221145192,False,,,residential,True,68.002,"LINESTRING (-39.69418 -12.7054474, -39.6941431 -12.7060579)",
221145200,False,,,residential,False,30.511,"LINESTRING (-39.69418 -12.7054474, -39.6938999 -12.7054223)",
221145200,False,,,residential,True,49.112,"LINESTRING (-39.69418 -12.7054474, -39.6946317 -12.7054776)",
221145200,False,,,residential,False,6.437,"LINESTRING (-39.6946909 -12.7054816, -39.6946317 -12.7054776)",
221145200,False,,,residential,True,128.585,"LINESTRING (-39.6946909 -12.7054816, -39.6958719 -12.7055813)",
814556581,True,,,residential,False,69.344,"LINESTRING (-39.6946909 -12.7054816, -39.6946561 -12.7061043)",
221145194,False,,,residential,False,69.927,"LINESTRING (-39.6958719 -12.7055813, -39.6958264 -12.7062086)",
221145194,False,,,residential,True,60.529,"LINESTRING (-39.6958719 -12.7055813, -39.6959112 -12.7050383)",
221145200,False,,,residential,False,128.585,"LINESTRING (-39.6958719 -12.7055813, -39.6946909 -12.7054816)",
221145200,False,,,residential,True,97.141,"LINESTRING (-39.6958719 -12.7055813, -39.6967645 -12.705652)",
221145200,False,,,residential,False,10.869,"LINESTRING (-39.6975271 -12.7057104, -39.6974272 -12.7057028)",
221145200,False,,,residential,True,70.083,"LINESTRING (-39.6975271 -12.7057104, -39.6981709 -12.7057634)",
372508195,True,,,secondary,False,72.691,"LINESTRING (-39.6975271 -12.7057104, -39.6974649 -12.7063613)",Avenida Getúlio Vargas
221145200,False,,,residential,False,70.083,"LINESTRING (-39.6981709 -12.7057634, -39.6975271 -12.7057104)",
221145200,False,,,residential,True,50.573,"LINESTRING (-39.6981709 -12.7057634, -39.6986356 -12.7058002)",
221145214,False,,,residential,False,135.01,"LINESTRING (-39.6981709 -12.7057634, -39.6983106 -12.7045569)",
221145214,False,,,residential,True,72.913,"LINESTRING (-39.6981709 -12.7057634, -39.6980994 -12.7064154)",
221145199,False,,,residential,True,73.08,"LINESTRING (-39.6986356 -12.7058002, -39.6985841 -12.7064555)",
221145200,False,,,residential,False,50.573,"LINESTRING (-39.6986356 -12.7058002, -39.6981709 -12.7057634)",
221145200,False,,,residential,True,68.399,"LINESTRING (-39.6986356 -12.7058002, -39.6992641 -12.70585)",
221145199,False,,,residential,False,138.105,"LINESTRING (-39.6986356 -12.7058002, -39.6987131 -12.70506, -39.6987371 -12.7045626)",
221145184,False,,,residential,False,73.336,"LINESTRING (-39.6992641 -12.70585, -39.6992016 -12.7065067)",
221145184,False,,,residential,True,51.046,"LINESTRING (-39.6992641 -12.70585, -39.6993076 -12.7053929)",
221145200,False,,,residential,False,68.399,"LINESTRING (-39.6992641 -12.70585, -39.6986356 -12.7058002)",
"[221145200, 814611130]",False,,,residential,True,172.86800000000002,"LINESTRING (-39.6992641 -12.70585, -39.7002699 -12.7059193, -39.7004592 -12.7059286, -39.7006034 -12.7059405, -39.7007 -12.7059522, -39.7007664 -12.7059738, -39.7008405 -12.7060119)",
221145182,False,,,residential,False,35.792,"LINESTRING (-39.6976787 -12.7069552, -39.6976925 -12.7072768)",
221145182,False,,,residential,True,48.843,"LINESTRING (-39.6976787 -12.7069552, -39.6977113 -12.7065171)",
221145201,False,,,residential,False,52.831,"LINESTRING (-39.6976787 -12.7069552, -39.6971923 -12.7069306)",
221145201,False,,,residential,True,14.982,"LINESTRING (-39.6976787 -12.7069552, -39.6978165 -12.7069644)",
221145201,False,,,residential,False,14.982,"LINESTRING (-39.6978165 -12.7069644, -39.6976787 -12.7069552)",
221145201,False,,,residential,True,55.021,"LINESTRING (-39.6978165 -12.7069644, -39.6983188 -12.7070333)",
221145204,False,,,residential,True,49.107,"LINESTRING (-39.6978165 -12.7069644, -39.6978629 -12.7065251)",
221145204,False,,,residential,False,38.67,"LINESTRING (-39.6978165 -12.7069644, -39.6977989 -12.7070549, -39.6977811 -12.707148, -39.697769 -12.7071957, -39.6977482 -12.7072311, -39.6976925 -12.7072768)",
222241271,False,,,residential,False,41.134,"LINESTRING (-39.6983278 -12.7101677, -39.6987034 -12.7101167)",Rua São Geraldo
222241271,False,,,residential,True,52.034,"LINESTRING (-39.6983278 -12.7101677, -39.6978512 -12.7102209)",Rua São Geraldo
505087996,False,,,residential,True,108.998,"LINESTRING (-39.6983278 -12.7101677, -39.6983926 -12.7111459)",
491419168,False,,,residential,False,53.117,"LINESTRING (-39.6983926 -12.7111459, -39.6979046 -12.7111856)",
505087996,False,,,residential,False,108.998,"LINESTRING (-39.6983926 -12.7111459, -39.6983278 -12.7101677)",
491419170,False,,,residential,True,52.582,"LINESTRING (-39.6993434 -12.7117923, -39.6995191 -12.7117805, -39.6996224 -12.7117452, -39.6997245 -12.7116982, -39.6997951 -12.7116498)",
491419171,False,,,residential,True,59.959,"LINESTRING (-39.6993434 -12.7117923, -39.6993328 -12.7114644, -39.6993381 -12.7112533)",
221145184,False,,,residential,False,51.046,"LINESTRING (-39.6993076 -12.7053929, -39.6992641 -12.70585)",
221145184,False,,,residential,True,134.355,"LINESTRING (-39.6993076 -12.7053929, -39.6994244 -12.70419)",
"[491419180, 826954933]",False,,,residential,"[False, True]",177.673,"LINESTRING (-39.6993076 -12.7053929, -39.6999295 -12.7054407, -39.7001374 -12.7054512, -39.7003492 -12.7054694, -39.7005679 -12.7054826, -39.7006805 -12.7054983, -39.7008441 -12.7055297, -39.70093 -12.7055663)",
180957534,True,2,BA-493,primary,False,51.078,"LINESTRING (-39.7009883 -12.7066541, -39.7014582 -12.7066839)",
491419182,False,,,unclassified,False,19.186,"LINESTRING (-39.7009883 -12.7066541, -39.700993 -12.7065782, -39.7010044 -12.7065325, -39.7010199 -12.7064854)",
491419191,False,,,residential,False,77.746,"LINESTRING (-39.7004665 -12.7078067, -39.7005163 -12.7085042)",
221145215,False,2,,residential,False,137.594,"LINESTRING (-39.7004665 -12.7078067, -39.7009072 -12.7077694, -39.7017306 -12.707704)",Rua 07 de Setembro
221145215,False,2,,residential,True,104.668,"LINESTRING (-39.7004665 -12.7078067, -39.6996573 -12.7078636, -39.6995042 -12.7078761)",Rua 07 de Setembro
222241271,False,,,residential,False,50.697,"LINESTRING (-39.7006072 -12.7098223, -39.70107 -12.7097586)",Rua São Geraldo
491419201,False,,,residential,False,59.905,"LINESTRING (-39.7006072 -12.7098223, -39.7006923 -12.7103546)",
222241271,False,,,residential,True,129.37800000000001,"LINESTRING (-39.7006072 -12.7098223, -39.7001401 -12.7098914, -39.6996452 -12.7099673, -39.6994317 -12.7100163)",Rua São Geraldo
491419191,False,,,residential,True,147.261,"LINESTRING (-39.7006072 -12.7098223, -39.7005612 -12.7095395, -39.7005263 -12.7092941, -39.7005129 -12.7090096, -39.7005184 -12.7087248, -39.7005163 -12.7085042)",
491419191,False,,,residential,True,77.746,"LINESTRING (-39.7005163 -12.7085042, -39.7004665 -12.7078067)",
491419192,False,,,residential,False,41.108,"LINESTRING (-39.7005163 -12.7085042, -39.700894 -12.7084739)",
491419191,False,,,residential,False,147.261,"LINESTRING (-39.7005163 -12.7085042, -39.7005184 -12.7087248, -39.7005129 -12.7090096, -39.7005263 -12.7092941, -39.7005612 -12.7095395, -39.7006072 -12.7098223)",
491419192,False,,,residential,True,100.636,"LINESTRING (-39.701811 -12.7083364, -39.700894 -12.7084739)",
491419197,False,,,residential,False,51.922,"LINESTRING (-39.701811 -12.7083364, -39.701889 -12.7087971)",
491419197,False,,,residential,True,70.859,"LINESTRING (-39.701811 -12.7083364, -39.7017306 -12.707704)",
491419194,False,,,residential,True,52.866,"LINESTRING (-39.7013869 -12.7117972, -39.7018716 -12.7117474)",
491419195,False,,,residential,True,110.96,"LINESTRING (-39.7013869 -12.7117972, -39.7012383 -12.7108099)",
