osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,junction,lanes
503138730,,Rua Carmópolis,residential,False,False,69.552,"LINESTRING (-44.4919522 -20.39362, -44.4924735 -20.3932295)",,,
503138730,,Rua Carmópolis,residential,False,True,68.771,"LINESTRING (-44.4919522 -20.39362, -44.4914211 -20.393987)",,,
419808727,,Rua Doutor Jacy de Moraes Lima,residential,False,False,48.58,"LINESTRING (-44.492258 -20.3911863, -44.4917955 -20.3912405)",,,
419808727,,Rua Doutor Jacy de Moraes Lima,residential,False,True,33.486,"LINESTRING (-44.492258 -20.3911863, -44.4925744 -20.391134)",,,
419808727,,Rua Doutor Jacy de Moraes Lima,residential,False,True,77.634,"LINESTRING (-44.4910564 -20.3913271, -44.4917955 -20.3912405)",,,
419808728,,Avenida Doutor Antônio Geraldo de Oliveira,secondary,True,False,61.458,"LINESTRING (-44.4910564 -20.3913271, -44.4906373 -20.3909383)",,,
1056287021,,Rua Doutor Jacy de Moraes Lima,residential,False,False,92.661,"LINESTRING (-44.4910564 -20.3913271, -44.490171 -20.3914023)",,,
419808702,,Rua Major Antônio Luiz,secondary,False,False,118.72999999999999,"LINESTRING (-44.4910564 -20.3913271, -44.4913327 -20.391571, -44.4919106 -20.3920331)",,,
419808704,,,residential,False,False,76.201,"LINESTRING (-44.490171 -20.3914023, -44.4902141 -20.3920864)",,,
1056287021,,Rua Doutor Jacy de Moraes Lima,residential,False,False,74.71,"LINESTRING (-44.490171 -20.3914023, -44.489458 -20.3914714)",,,
1056287021,,Rua Doutor Jacy de Moraes Lima,residential,False,True,92.661,"LINESTRING (-44.490171 -20.3914023, -44.4910564 -20.3913271)",,,
419808704,,,residential,False,True,76.201,"LINESTRING (-44.4902141 -20.3920864, -44.490171 -20.3914023)",,,
477896492,,Avenida Nossa Senhora das Dores,residential,False,False,64.963,"LINESTRING (-44.4902141 -20.3920864, -44.489591 -20.3920722)",,,
477896492,,Avenida Nossa Senhora das Dores,residential,False,True,41.963,"LINESTRING (-44.4902141 -20.3920864, -44.4906166 -20.3920954)",,,
419808700,,,residential,False,True,74.31099999999999,"LINESTRING (-44.4902141 -20.3920864, -44.4902539 -20.3924164, -44.4902824 -20.3925033, -44.4903415 -20.3926216, -44.4904126 -20.3927149)",,,
419808705,,Rua Cláudio,residential,False,False,76.828,"LINESTRING (-44.4924735 -20.3932295, -44.4918717 -20.3928305)",,,
503138730,,Rua Carmópolis,residential,False,True,69.552,"LINESTRING (-44.4924735 -20.3932295, -44.4919522 -20.39362)",,,
419808716,,Rua Jovelina Pinto de Rezende,residential,False,True,57.043,"LINESTRING (-44.492341 -20.3940163, -44.4926494 -20.3944401)",,,
477896433,MG-040,Rua Piracema,residential,False,False,142.769,"LINESTRING (-44.492341 -20.3940163, -44.4912056 -20.3947346)",,,
477896433,MG-040,Rua Piracema,residential,False,True,5.726,"LINESTRING (-44.492341 -20.3940163, -44.4923858 -20.3939865)",,,
419808711,,Rua Itaúna,residential,False,False,60.853,"LINESTRING (-44.4923858 -20.3939865, -44.4919522 -20.39362)",,,
477896433,MG-040,Rua Piracema,residential,False,False,5.726,"LINESTRING (-44.4923858 -20.3939865, -44.492341 -20.3940163)",,,
419808714,,Rua Carlota Augusta do Carmo,residential,False,False,105.781,"LINESTRING (-44.4926494 -20.3944401, -44.4918101 -20.394975)",,,
419808716,,Rua Jovelina Pinto de Rezende,residential,False,False,57.043,"LINESTRING (-44.4926494 -20.3944401, -44.492341 -20.3940163)",,,
419808714,,Rua Carlota Augusta do Carmo,residential,False,False,34.919,"LINESTRING (-44.4918101 -20.394975, -44.4915257 -20.395141)",,,
419808714,,Rua Carlota Augusta do Carmo,residential,False,True,105.781,"LINESTRING (-44.4918101 -20.394975, -44.4926494 -20.3944401)",,,
477896436,,Rua Teodoro Vilela,residential,False,True,56.471,"LINESTRING (-44.4918101 -20.394975, -44.4921189 -20.3953923)",,,
419808714,,Rua Carlota Augusta do Carmo,residential,False,True,34.919,"LINESTRING (-44.4915257 -20.395141, -44.4918101 -20.394975)",,,
477896436,,Rua Teodoro Vilela,residential,False,False,56.471,"LINESTRING (-44.4921189 -20.3953923, -44.4918101 -20.394975)",,,
477896436,,Rua Teodoro Vilela,residential,False,True,52.333,"LINESTRING (-44.4921189 -20.3953923, -44.492395 -20.3957854)",,,
477896427,,Rua Padre Elpídio,residential,False,False,71.323,"LINESTRING (-44.4908803 -20.3943153, -44.4906548 -20.3937097)",,,
477896427,,Rua Padre Elpídio,residential,False,True,57.648,"LINESTRING (-44.4908803 -20.3943153, -44.4912056 -20.3947346)",,,
503138730,,Rua Carmópolis,residential,False,False,67.154,"LINESTRING (-44.4908803 -20.3943153, -44.4914211 -20.393987)",,,
503138730,,Rua Carmópolis,residential,False,True,46.714,"LINESTRING (-44.4908803 -20.3943153, -44.4904904 -20.3945225)",,,
477894951,,Rua Perciliana,residential,False,False,78.491,"LINESTRING (-44.4904904 -20.3945225, -44.4902161 -20.3938651)",,,
503138730,,Rua Carmópolis,residential,False,False,46.714,"LINESTRING (-44.4904904 -20.3945225, -44.4908803 -20.3943153)",,,
503138730,,Rua Carmópolis,residential,False,True,73.941,"LINESTRING (-44.4904904 -20.3945225, -44.4899332 -20.3949341)",,,
419808718,,Rua Pedro Rosa das Chagas,residential,True,False,7.627,"LINESTRING (-44.4899332 -20.3949341, -44.489975 -20.3949904)",,,
503138730,,Rua Carmópolis,residential,False,False,73.941,"LINESTRING (-44.4899332 -20.3949341, -44.4904904 -20.3945225)",,,
419808717,,Rua Pinheiro Chagas,residential,False,True,56.056,"LINESTRING (-44.4885604 -20.3953797, -44.4880307 -20.3954671)",,,
477896432,MG-040,Rua Coronel Frazão,residential,False,False,46.401,"LINESTRING (-44.4885604 -20.3953797, -44.4884945 -20.394967)",,,
419808717,,Rua Pinheiro Chagas,residential,False,False,153.77100000000002,"LINESTRING (-44.4885604 -20.3953797, -44.488846 -20.3953105, -44.4892461 -20.3952141, -44.4896166 -20.3951111, -44.489808 -20.3950471, -44.489975 -20.3949904)",,,
477896436,,Rua Teodoro Vilela,residential,False,False,52.333,"LINESTRING (-44.492395 -20.3957854, -44.4921189 -20.3953923)",,,
503138739,MG-040,Rua José Rabelo,residential,False,True,51.97,"LINESTRING (-44.4898929 -20.3955959, -44.4902987 -20.3953243)",,,
477894951,,Rua Perciliana,residential,False,True,78.491,"LINESTRING (-44.4902161 -20.3938651, -44.4904904 -20.3945225)",,,
477896426,,Rua Dona Purcina,residential,False,False,49.447,"LINESTRING (-44.4902161 -20.3938651, -44.4898038 -20.3940851)",,,
477896426,,Rua Dona Purcina,residential,False,True,48.88,"LINESTRING (-44.4902161 -20.3938651, -44.4906548 -20.3937097)",,,
