osmid,oneway,name,highway,reversed,length,maxspeed,geometry
424390768,False,,residential,True,90.999,,"LINESTRING (-38.3626785 -11.795761, -38.3623548 -11.7958346, -38.3621952 -11.7958687, -38.3620255 -11.7959055, -38.3618661 -11.7959527)"
423793490,False,,residential,False,132.611,,"LINESTRING (-38.3629516 -11.7925158, -38.3622837 -11.7920629, -38.3620329 -11.7918936, -38.3619447 -11.7918451)"
424336704,False,,residential,False,62.271,,"LINESTRING (-38.3629516 -11.7925158, -38.3628953 -11.7926143, -38.3628403 -11.7927193, -38.3627598 -11.7928348, -38.3626456 -11.7929876)"
424336704,False,,residential,True,189.84300000000002,,"LINESTRING (-38.3629516 -11.7925158, -38.3630535 -11.7923596, -38.3631474 -11.7922139, -38.3632842 -11.7919736, -38.3636194 -11.7914616, -38.363881 -11.7910717)"
381988091,False,,residential,False,49.423,,"LINESTRING (-38.3620804 -11.7899192, -38.3617191 -11.78965)"
423793515,False,,residential,True,121.655,,"LINESTRING (-38.3620804 -11.7899192, -38.3615782 -11.7908966)"
381988091,False,,residential,True,234.277,,"LINESTRING (-38.3620804 -11.7899192, -38.3622703 -11.7900569, -38.3624607 -11.7901922, -38.3628 -11.7904101, -38.3631273 -11.790607, -38.363881 -11.7910717)"
381988083,False,,residential,False,39.617,,"LINESTRING (-38.3598326 -11.7902177, -38.3597906 -11.7905716)"
381988083,False,,residential,True,7.356,,"LINESTRING (-38.3598326 -11.7902177, -38.3598413 -11.7901521)"
423793534,False,,residential,False,114.38799999999999,,"LINESTRING (-38.3598326 -11.7902177, -38.3599475 -11.7902814, -38.3602278 -11.7904416, -38.3606127 -11.7906346, -38.3606865 -11.7906569, -38.3607508 -11.7906621, -38.3607708 -11.7906634)"
424336709,False,,residential,False,56.094,,"LINESTRING (-38.3607985 -11.7877706, -38.3613127 -11.7877372)"
424336709,False,,residential,True,22.689,,"LINESTRING (-38.3607985 -11.7877706, -38.3605901 -11.7877746)"
424243765,False,,residential,True,166.738,,"LINESTRING (-38.3607985 -11.7877706, -38.3608072 -11.7887054, -38.3608152 -11.7887408, -38.3608293 -11.7887632, -38.3608682 -11.7887776, -38.3613382 -11.7888124)"
424390713,False,,residential,True,6.64,,"LINESTRING (-38.363881 -11.7910717, -38.3639317 -11.7911049)"
381988091,False,,residential,False,234.277,,"LINESTRING (-38.363881 -11.7910717, -38.3631273 -11.790607, -38.3628 -11.7904101, -38.3624607 -11.7901922, -38.3622703 -11.7900569, -38.3620804 -11.7899192)"
424336704,False,,residential,False,189.84300000000002,,"LINESTRING (-38.363881 -11.7910717, -38.3636194 -11.7914616, -38.3632842 -11.7919736, -38.3631474 -11.7922139, -38.3630535 -11.7923596, -38.3629516 -11.7925158)"
402108877,False,,residential,True,40.294,,"LINESTRING (-38.3589264 -11.7938595, -38.35863 -11.7940766)"
402108885,False,,residential,False,30.688,,"LINESTRING (-38.3589264 -11.7938595, -38.3590932 -11.794082)"
402108885,False,,residential,True,144.323,,"LINESTRING (-38.3589264 -11.7938595, -38.3583221 -11.7928427, -38.3582671 -11.7927337)"
402108883,False,,residential,False,58.904,,"LINESTRING (-38.3568576 -11.7946137, -38.3564275 -11.7949352)"
792777198,False,,residential,False,24.466,,"LINESTRING (-38.3568576 -11.7946137, -38.3567575 -11.7944167)"
792777198,False,,residential,True,57.283,,"LINESTRING (-38.3568576 -11.7946137, -38.3570935 -11.7950742)"
402108883,False,,residential,True,120.58599999999998,,"LINESTRING (-38.3568576 -11.7946137, -38.3571821 -11.7944023, -38.3574463 -11.7942067, -38.3577548 -11.7939783)"
381988084,False,,residential,False,93.654,,"LINESTRING (-38.3585349 -11.7903236, -38.3586979 -11.7894966)"
381988084,False,,residential,True,54.629,,"LINESTRING (-38.3585349 -11.7903236, -38.3584459 -11.7908071)"
403526691,False,Rua Otaciano Oliveira,residential,True,88.988,,"LINESTRING (-38.3585349 -11.7903236, -38.3577466 -11.7901115)"
402108881,False,,residential,False,34.706,,"LINESTRING (-38.36001 -11.7956527, -38.3602871 -11.7954983)"
402108891,False,,residential,False,63.12,,"LINESTRING (-38.36001 -11.7956527, -38.360301 -11.7961437)"
402108891,False,,residential,True,93.51,,"LINESTRING (-38.36001 -11.7956527, -38.3595909 -11.7949186)"
402108872,False,,residential,True,70.092,,"LINESTRING (-38.3605943 -11.7960523, -38.3602871 -11.7954983)"
