osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,junction
325525838,,Rua 27 de Setembro,secondary,False,True,75.402,"LINESTRING (-49.1265528 -28.6388089, -49.1259951 -28.6392782)",2,50,,
325525838,,Rua 27 de Setembro,secondary,False,False,183.842,"LINESTRING (-49.1265528 -28.6388089, -49.1266994 -28.6387391, -49.1268394 -28.6386852, -49.1270252 -28.6386192, -49.1279031 -28.6383523, -49.1281044 -28.6382821, -49.1283102 -28.638219)",2,50,,
438003275,SAG-106,Rua José Manoel Serafim,residential,False,True,69.893,"LINESTRING (-49.1265528 -28.6388089, -49.1264993 -28.638622, -49.1265055 -28.6384945, -49.1265299 -28.6383636, -49.1265622 -28.638263, -49.1265942 -28.6381977)",,,,
436801554,,Rua Gustavo Vieira de Souza,residential,False,True,214.93,"LINESTRING (-49.1273561 -28.6364769, -49.1283102 -28.638219)",,,,
438003275,SAG-106,Rua José Manoel Serafim,residential,False,False,126.845,"LINESTRING (-49.1273561 -28.6364769, -49.1271559 -28.6370041, -49.1270526 -28.6372597, -49.1269184 -28.6375506)",,,,
240917921,,Rua Altair Martinho Cardoso,residential,False,True,20.048,"LINESTRING (-49.1307038 -28.6388169, -49.1307942 -28.6389788)",,,,
325525839,SC-443,Rodovia Gregório Espíndola,primary,False,False,57.918000000000006,"LINESTRING (-49.1307038 -28.6388169, -49.1307776 -28.6386969, -49.1308406 -28.6386121, -49.130905 -28.638545, -49.1310471 -28.6383944)",2,80,,
325525839,SC-443,Rodovia Gregório Espíndola,primary,False,True,188.941,"LINESTRING (-49.1307038 -28.6388169, -49.1305348 -28.6390641, -49.1303967 -28.6392913, -49.1302371 -28.6394808, -49.1300976 -28.6396244, -49.1299219 -28.6397809, -49.1297302 -28.6399198, -49.1295719 -28.640034, -49.1294687 -28.6400987)",2,80,,
995066347,,Rua Honorato Serafim,residential,False,False,75.76599999999999,"LINESTRING (-49.1307038 -28.6388169, -49.1305573 -28.6386334, -49.1304794 -28.6385526, -49.1303677 -28.6384585, -49.1301714 -28.6383289)",,,,
325525839,SC-443,Rodovia Gregório Espíndola,primary,False,True,57.91799999999999,"LINESTRING (-49.1310471 -28.6383944, -49.130905 -28.638545, -49.1308406 -28.6386121, -49.1307776 -28.6386969, -49.1307038 -28.6388169)",2,80,,
436801553,,Rua Pedro Souza Brasil,residential,False,False,132.649,"LINESTRING (-49.1310471 -28.6383944, -49.1307022 -28.6380122, -49.1306309 -28.6379094, -49.1305507 -28.6377749, -49.1303348 -28.6373853)",,,,
438003276,,Rua José Silveira Goulart,tertiary,False,False,94.009,"LINESTRING (-49.1308261 -28.63595, -49.1310819 -28.6363199, -49.1311307 -28.6364024, -49.1311781 -28.6364736, -49.1312122 -28.636562, -49.1312258 -28.6367055)",,,,
"[941832257, 438003276]",,Rua José Silveira Goulart,tertiary,False,False,27.304,"LINESTRING (-49.1312258 -28.6367055, -49.1312183 -28.6367573, -49.1311795 -28.6368308, -49.131134 -28.6369358)",,,yes,
438003276,,Rua José Silveira Goulart,tertiary,False,True,94.00899999999999,"LINESTRING (-49.1312258 -28.6367055, -49.1312122 -28.636562, -49.1311781 -28.6364736, -49.1311307 -28.6364024, -49.1310819 -28.6363199, -49.1308261 -28.63595)",,,,
693916411,,Rua Aledúcio de Aguiar,residential,False,False,227.872,"LINESTRING (-49.1249079 -28.6406792, -49.1233414 -28.6421989)",,,,
325525839,SC-443,Rodovia Gregório Espíndola,primary,False,False,30.184,"LINESTRING (-49.1249079 -28.6406792, -49.1250175 -28.6407832, -49.1251262 -28.6408712)",2,80,,
