osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,bridge
636928070,False,,Rua Conde de Porto Alegre,residential,False,94.16,"LINESTRING (-52.6751398 -31.3981108, -52.6749426 -31.3972809)",,
287419391,False,,Rua Conde de Porto Alegre,residential,True,89.618,"LINESTRING (-52.6751398 -31.3981108, -52.6752041 -31.3983684, -52.6752524 -31.3984554, -52.6753034 -31.3985195, -52.6753329 -31.3986031, -52.6753503 -31.3986763, -52.6753704 -31.3988824)",,
287419934,False,2,Rua Conde de Porto Alegre,residential,True,135.586,"LINESTRING (-52.6743431 -31.3943755, -52.674315 -31.3946159, -52.6743203 -31.3946651, -52.6745068 -31.3955797)",,
321849754,False,2,Rua Silveira Martins,tertiary,False,57.368,"LINESTRING (-52.6743431 -31.3943755, -52.674449 -31.3944048, -52.6749218 -31.3945243)",,
321849754,False,2,Rua Silveira Martins,tertiary,True,34.893,"LINESTRING (-52.6743431 -31.3943755, -52.6742218 -31.3943429, -52.6739864 -31.3943011)",,
287419491,False,,Rua Bento Gonçalves,residential,False,31.997,"LINESTRING (-52.6763226 -31.4018746, -52.6760718 -31.4016823)",,
287419492,False,,Rua Bento Gonçalves,residential,False,95.352,"LINESTRING (-52.6745959 -31.3982094, -52.6743707 -31.3973737)",,
323614242,False,2,Rua Conceição Monteiro Bento,tertiary,False,52.774,"LINESTRING (-52.6745959 -31.3982094, -52.6751398 -31.3981108)",,
323614242,False,2,Rua Conceição Monteiro Bento,tertiary,True,63.787,"LINESTRING (-52.6745959 -31.3982094, -52.6739368 -31.3983215)",,
287419492,False,,Rua Bento Gonçalves,residential,True,97.618,"LINESTRING (-52.6738697 -31.3957034, -52.6741393 -31.3965506)",,
323614495,False,2,Avenida Exército Nacional,tertiary,False,62.015,"LINESTRING (-52.6738697 -31.3957034, -52.6745068 -31.3955797)",40,
323614495,False,2,Avenida Exército Nacional,tertiary,True,59.714,"LINESTRING (-52.6738697 -31.3957034, -52.6732528 -31.3958088)",40,
322208458,False,,Rua Duque de Caxias,residential,True,49.348,"LINESTRING (-52.675646 -31.401937, -52.6760718 -31.4016823)",,
683355107,False,,Rua Duque de Caxias,residential,False,8.072,"LINESTRING (-52.675646 -31.401937, -52.6755736 -31.4019751)",40,
287419929,False,,Rua Doutor Luiz Lessa,residential,False,58.206,"LINESTRING (-52.675646 -31.401937, -52.6759057 -31.4023134, -52.6759538 -31.4023897)",40,
287419931,False,,Rua Conde de Porto Alegre,residential,False,195.027,"LINESTRING (-52.6781586 -31.4023027, -52.6765405 -31.4012216)",,
333418517,False,2,Rua General Paranhos,tertiary,True,55.674,"LINESTRING (-52.6781586 -31.4023027, -52.6785381 -31.4019209)",,
287979565,False,,Rua Coronel Genes Bento,residential,False,51.644,"LINESTRING (-52.6758975 -31.3990621, -52.6764196 -31.3989313)",,
287419932,False,2,Rua Fernando Osório,residential,False,119.155,"LINESTRING (-52.6758975 -31.3990621, -52.6757756 -31.3980733, -52.6757661 -31.3979964)",,
"[333297555, 287419933]",False,,Rua Fernando Osório,residential,True,233.41899999999998,"LINESTRING (-52.6758975 -31.3990621, -52.6759726 -31.3997466, -52.6760021 -31.3998416, -52.6761027 -31.3999859, -52.6764795 -31.4003911, -52.6766847 -31.40058, -52.677024 -31.4008112)",,
287419934,False,2,Rua Conde de Porto Alegre,residential,False,99.924,"LINESTRING (-52.674724 -31.396459, -52.6745068 -31.3955797)",,
287980266,False,2,Rua Franklin Máximo Moreira,residential,False,67.551,"LINESTRING (-52.674724 -31.396459, -52.6754227 -31.3963434)",,
323614440,False,,Rua Franklin Máximo Moreira,residential,True,56.423,"LINESTRING (-52.674724 -31.396459, -52.6741393 -31.3965506)",,
636928070,False,,Rua Conde de Porto Alegre,residential,True,93.717,"LINESTRING (-52.674724 -31.396459, -52.6749426 -31.3972809)",,
287419935,False,,Rua Rui Ramos,residential,False,98.702,"LINESTRING (-52.6732528 -31.3958088, -52.6735117 -31.3966685)",,
323614495,False,2,Avenida Exército Nacional,tertiary,False,59.714,"LINESTRING (-52.6732528 -31.3958088, -52.6738697 -31.3957034)",40,
323614495,False,2,Avenida Exército Nacional,tertiary,True,94.424,"LINESTRING (-52.6732528 -31.3958088, -52.6722805 -31.3959885)",40,
287979410,False,,Rua Firmina de Matos Moreira,residential,False,179.12099999999998,"LINESTRING (-52.6732528 -31.3958088, -52.673303 -31.395459, -52.6734997 -31.3942118)",40,
323614242,False,2,Rua Conceição Monteiro Bento,tertiary,False,63.787,"LINESTRING (-52.6739368 -31.3983215, -52.6745959 -31.3982094)",,
333369172,False,,Rua Rui Ramos,residential,False,34.992,"LINESTRING (-52.6739368 -31.3983215, -52.6740642 -31.3986168)",,
333369172,False,,Rua Rui Ramos,residential,True,94.937,"LINESTRING (-52.6739368 -31.3983215, -52.6737195 -31.3974881)",,
"[323614242, 287979715, 323614239]",False,2,Rua Conceição Monteiro Bento,tertiary,True,59.825,"LINESTRING (-52.6739368 -31.3983215, -52.6734929 -31.3984096, -52.6733499 -31.3984312, -52.6733212 -31.3984365)",,yes
287954847,False,2,Rua General Paranhos,residential,False,46.097,"LINESTRING (-52.6809777 -31.3995181, -52.6806466 -31.3998214)",,
287979404,False,2,Rua 25 de Julho,residential,False,102.926,"LINESTRING (-52.6809777 -31.3995181, -52.6802105 -31.3988639)",,
287418038,True,1,Rua Dom Otaviano,tertiary,False,7.776,"LINESTRING (-52.6805935 -31.3998731, -52.6805577 -31.3998102)",,
287954847,False,2,Rua General Paranhos,residential,False,61.928,"LINESTRING (-52.6805935 -31.3998731, -52.6801581 -31.4002879)",,
287954847,False,2,Rua General Paranhos,residential,True,7.645,"LINESTRING (-52.6805935 -31.3998731, -52.6806466 -31.3998214)",,
330257529,False,,Rua General Câmara,residential,True,158.6,"LINESTRING (-52.6801374 -31.4003341, -52.6814188 -31.4012496)",,
333369018,False,,Rua General Câmara,residential,False,4.245,"LINESTRING (-52.6801374 -31.4003341, -52.6801029 -31.4003098)",,
333369019,True,1,Rua General Paranhos,residential,False,53.41,"LINESTRING (-52.6801374 -31.4003341, -52.6797804 -31.4007054)",,
287980330,False,2,Rua General Paranhos,tertiary,False,58.206,"LINESTRING (-52.6789337 -31.4015209, -52.6785381 -31.4019209)",,
287980330,False,2,Rua General Paranhos,tertiary,True,56.618,"LINESTRING (-52.6789337 -31.4015209, -52.67932 -31.4011329)",,
1146495418,False,2,Rua Silva Tavares,tertiary,False,177.61700000000002,"LINESTRING (-52.6789337 -31.4015209, -52.6788789 -31.4014821, -52.6774934 -31.400501)",,
1146495418,False,2,Rua Silva Tavares,tertiary,True,160.125,"LINESTRING (-52.6789337 -31.4015209, -52.6790053 -31.4015724, -52.6802235 -31.4024492)",,
288115999,False,2,Rua João Goulart,tertiary,True,34.505,"LINESTRING (-52.6756856 -31.4025992, -52.6759538 -31.4023897)",40,
683355107,False,,Rua Duque de Caxias,residential,True,90.812,"LINESTRING (-52.6747589 -31.4024034, -52.6755736 -31.4019751)",40,
683355106,False,2,Rua Marechal Deodoro,tertiary,False,73.406,"LINESTRING (-52.6747589 -31.4024034, -52.67448 -31.4020729, -52.6743069 -31.4018677)",40,
288117894,False,,Rua Vereador Erlindo Rodrigues Borges,residential,True,82.524,"LINESTRING (-52.6737946 -31.401284, -52.6730584 -31.4016789)",,
683355106,False,2,Rua Marechal Deodoro,tertiary,True,81.097,"LINESTRING (-52.6737946 -31.401284, -52.6743069 -31.4018677)",40,
"[636923834, 636923835]",False,2,Rua Marechal Deodoro,tertiary,False,231.55700000000002,"LINESTRING (-52.6737946 -31.401284, -52.6736498 -31.4011157, -52.6735076 -31.4009818, -52.6732998 -31.40077, -52.6731227 -31.4005811, -52.6729055 -31.4003007, -52.6726601 -31.399947, -52.6724589 -31.3995555)",40,
"[636923834, 636923835]",False,2,Rua Marechal Deodoro,tertiary,True,231.557,"LINESTRING (-52.6724589 -31.3995555, -52.6726601 -31.399947, -52.6729055 -31.4003007, -52.6731227 -31.4005811, -52.6732998 -31.40077, -52.6735076 -31.4009818, -52.6736498 -31.4011157, -52.6737946 -31.401284)",40,
287979404,False,2,Rua 25 de Julho,residential,True,62.943,"LINESTRING (-52.679725 -31.3984783, -52.6802105 -31.3988639)",,
322208351,False,,Rua Coronel Genes Bento,residential,False,69.287,"LINESTRING (-52.679725 -31.3984783, -52.6804438 -31.3983695)",,
956671139,False,,Rua Coronel Genes Bento,residential,True,62.3,"LINESTRING (-52.679725 -31.3984783, -52.6790803 -31.3985836)",,
287979405,False,2,Rua Almirante Barroso,residential,False,128.364,"LINESTRING (-52.679725 -31.3984783, -52.6796747 -31.3983976, -52.6796365 -31.3982848, -52.6793709 -31.3973668)",,
287979406,False,,Rua Almirante Barroso,residential,True,105.243,"LINESTRING (-52.6787581 -31.3947934, -52.6789807 -31.3957206)",,
287980331,False,,Rua General Hipolito Ribeiro,tertiary,False,70.17,"LINESTRING (-52.6787581 -31.3947934, -52.6791443 -31.3946445, -52.6794165 -31.3945083)",,
287980331,False,,Rua General Hipolito Ribeiro,tertiary,True,57.179,"LINESTRING (-52.6787581 -31.3947934, -52.6782538 -31.3948865, -52.6781693 -31.3949021)",,
287979406,False,,Rua Almirante Barroso,residential,False,105.243,"LINESTRING (-52.6789807 -31.3957206, -52.6787581 -31.3947934)",,
308036192,False,2,Rua Franklin Máximo Moreira,residential,False,42.979,"LINESTRING (-52.6789807 -31.3957206, -52.6794211 -31.3956307)",,
308036192,False,2,Rua Franklin Máximo Moreira,residential,True,55.802,"LINESTRING (-52.6789807 -31.3957206, -52.678406 -31.3958264)",,
333297556,False,,Rua Almirante Barroso,residential,True,94.105,"LINESTRING (-52.6789807 -31.3957206, -52.6792113 -31.3965437)",,
287980331,False,,Rua General Hipolito Ribeiro,tertiary,False,61.07899999999999,"LINESTRING (-52.6794165 -31.3945083, -52.6795359 -31.3943961, -52.6797874 -31.3940613)",,
287980331,False,,Rua General Hipolito Ribeiro,tertiary,True,70.17,"LINESTRING (-52.6794165 -31.3945083, -52.6791443 -31.3946445, -52.6787581 -31.3947934)",,
321849754,False,2,Rua Silveira Martins,tertiary,False,34.893,"LINESTRING (-52.6739864 -31.3943011, -52.6742218 -31.3943429, -52.6743431 -31.3943755)",,
555763951,False,,Rua Silveira Martins,tertiary,True,47.251,"LINESTRING (-52.6739864 -31.3943011, -52.6738408 -31.3942751, -52.6734997 -31.3942118)",,
287979410,False,,Rua Firmina de Matos Moreira,residential,True,179.12099999999998,"LINESTRING (-52.6734997 -31.3942118, -52.673303 -31.395459, -52.6732528 -31.3958088)",40,
555763949,False,,Rua Silveira Martins,tertiary,True,97.709,"LINESTRING (-52.6734997 -31.3942118, -52.6733595 -31.3941815, -52.6724985 -31.3940075)",,
555763951,False,,Rua Silveira Martins,tertiary,False,47.251,"LINESTRING (-52.6734997 -31.3942118, -52.6738408 -31.3942751, -52.6739864 -31.3943011)",,
287979428,False,2,Rua Barão do Triunfo,residential,False,56.793,"LINESTRING (-52.6802235 -31.4024492, -52.6805671 -31.4021041, -52.680611 -31.40206)",,
1146495418,False,2,Rua Silva Tavares,tertiary,False,160.125,"LINESTRING (-52.6802235 -31.4024492, -52.6790053 -31.4015724, -52.6789337 -31.4015209)",,
