osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry
"[788295346, 788295350]",False,2,"['San Martín', 'Darío Salas']",tertiary,50,"[False, True]",211.776,,"LINESTRING (-72.9528536 -39.6651659, -72.9528948 -39.6651657, -72.9536348 -39.6651659, -72.9536811 -39.6651764, -72.9537103 -39.6651962, -72.9540588 -39.6656147, -72.9540776 -39.6656498, -72.9540963 -39.6656942, -72.9541031 -39.6657365, -72.954116 -39.6662723, -72.9541167 -39.6663034, -72.9541177 -39.6663481)"
974062747,False,2,Avenida Pedro de Valdivia,secondary,50,False,456.782,T-346,"LINESTRING (-72.9484584 -39.6663647, -72.9486319 -39.666003, -72.9488326 -39.6655848, -72.9491656 -39.6648908, -72.9499816 -39.6631901, -72.9502683 -39.6625924, -72.9503073 -39.6625112)"
1214625107,False,2,Arturo Prat,residential,50,True,109.147,,"LINESTRING (-72.9499896 -39.6662918, -72.9499736 -39.6663263, -72.9499005 -39.6664841, -72.9497486 -39.6668118, -72.9495611 -39.6672163)"
"[1214895266, 518743884]",False,2,Arturo Prat,secondary,50,False,130.957,,"LINESTRING (-72.9499896 -39.6662918, -72.9500511 -39.666163, -72.9504508 -39.6653259, -72.9504845 -39.6652567, -72.9505185 -39.6651867)"
788295347,False,2,Chacabuco,secondary,50,True,6.205,,"LINESTRING (-72.9527822 -39.666323, -72.9527828 -39.6662672)"
1214625120,True,2,Bernardo O'Higgins,secondary,50,False,118.386,,"LINESTRING (-72.9527822 -39.666323, -72.9513992 -39.6663108)"
162097444,False,2,Chacabuco,residential,50,False,141.09000000000003,,"LINESTRING (-72.9527822 -39.666323, -72.9527793 -39.6663735, -72.9527122 -39.6675386, -72.9527092 -39.6675906)"
1214649174,False,2,Bernardo O'Higgins,secondary,50,False,114.346,,"LINESTRING (-72.9527822 -39.666323, -72.9528323 -39.6663239, -72.9541177 -39.6663481)"
162097448,False,2,Darío Salas,residential,50,True,140.89700000000002,,"LINESTRING (-72.9541177 -39.6663481, -72.9541155 -39.6663959, -72.9541135 -39.6664373, -72.9540587 -39.6676144)"
"[788295346, 788295350]",False,2,"['San Martín', 'Darío Salas']",tertiary,50,"[False, True]",211.77599999999998,,"LINESTRING (-72.9541177 -39.6663481, -72.9541167 -39.6663034, -72.954116 -39.6662723, -72.9541031 -39.6657365, -72.9540963 -39.6656942, -72.9540776 -39.6656498, -72.9540588 -39.6656147, -72.9537103 -39.6651962, -72.9536811 -39.6651764, -72.9536348 -39.6651659, -72.9528948 -39.6651657, -72.9528536 -39.6651659)"
1214649174,False,2,Bernardo O'Higgins,secondary,50,True,114.346,,"LINESTRING (-72.9541177 -39.6663481, -72.9528323 -39.6663239, -72.9527822 -39.666323)"
84198390,False,2,Castel Blanco,tertiary,50,False,106.29500000000002,,"LINESTRING (-72.9509716 -39.6641852, -72.951028 -39.6641857, -72.9510641 -39.664186, -72.9521371 -39.6641861, -72.9522134 -39.6641861)"
