osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,ref,bridge
98679415,False,2,Manuel Antonio Matta,residential,True,100.037,"LINESTRING (-73.0069365 -41.2558821, -73.0073339 -41.2550335)",50,,
65945067,True,2,Baquedano,primary,False,60.611999999999995,"LINESTRING (-73.0049617 -41.2576311, -73.0050588 -41.2571897, -73.0050573 -41.257092)",,,
98679427,True,2,Vicente Pérez Rosales,primary,False,55.881,"LINESTRING (-73.0049617 -41.2576311, -73.005269 -41.25724, -73.0053017 -41.2571984)",,,
65952759,False,2,Presidente Jorge Alessandri,residential,True,32.673,"LINESTRING (-73.0015113 -41.261513, -73.0015954 -41.2616029, -73.0016258 -41.2616601, -73.001672 -41.2617774)",,,
65952769,False,2,Presidente Jorge Alessandri,residential,False,48.086,"LINESTRING (-73.0015113 -41.261513, -73.0016748 -41.2615064, -73.0017982 -41.2614734, -73.0020153 -41.2613398)",,,
373430345,False,,Presidente Jorge Alessandri,residential,False,47.121,"LINESTRING (-73.0015113 -41.261513, -73.0011311 -41.261399, -73.0010487 -41.2613897, -73.000978 -41.2613953)",,,
65766540,False,2,Vicente Pérez Rosales,primary,False,64.429,"LINESTRING (-73.0020153 -41.2613398, -73.0024552 -41.260864)",,,
65766540,False,2,Vicente Pérez Rosales,primary,True,56.49,"LINESTRING (-73.0020153 -41.2613398, -73.001672 -41.2617774)",,,
65952769,False,2,Presidente Jorge Alessandri,residential,True,48.086000000000006,"LINESTRING (-73.0020153 -41.2613398, -73.0017982 -41.2614734, -73.0016748 -41.2615064, -73.0015113 -41.261513)",,,
65766540,False,2,Vicente Pérez Rosales,primary,True,64.429,"LINESTRING (-73.0024552 -41.260864, -73.0020153 -41.2613398)",,,
"[93660556, 65766540, 93660549]",False,2,Vicente Pérez Rosales,primary,False,103.465,"LINESTRING (-73.0024552 -41.260864, -73.0025598 -41.2607088, -73.0029469 -41.260222, -73.0030751 -41.260059)",,,yes
178319152,False,2,Erardo Werner,primary,True,27.277,"LINESTRING (-73.0081288 -41.2563555, -73.0084427 -41.2562885)",50,,
178319152,False,2,Erardo Werner,primary,False,140.00799999999998,"LINESTRING (-73.0081288 -41.2563555, -73.0066677 -41.2566672, -73.0065168 -41.2566972)",50,,
"[65945061, 941626255]",False,2,Luis Modinger,residential,False,211.10500000000002,"LINESTRING (-73.0081288 -41.2563555, -73.0081893 -41.2565967, -73.0081949 -41.2566703, -73.0081695 -41.2567692, -73.0080134 -41.2571077, -73.0078677 -41.2573251, -73.0072539 -41.2580708)",50,,
65945039,False,,Río Maullín,residential,True,159.707,"LINESTRING (-73.0062964 -41.2619605, -73.006173 -41.2618978, -73.0046275 -41.2612621)",,,
178319152,False,2,Erardo Werner,primary,False,51.095,"LINESTRING (-73.009051 -41.2562435, -73.0084427 -41.2562885)",50,,
178319152,False,2,Erardo Werner,primary,True,61.091,"LINESTRING (-73.009051 -41.2562435, -73.0097818 -41.2562393)",50,,
65945029,False,,Los Cisnes,residential,True,89.702,"LINESTRING (-73.009051 -41.2562435, -73.0090444 -41.2561224, -73.0094786 -41.2555196)",,,
65944988,False,,Pablo Neruda,living_street,False,79.287,"LINESTRING (-73.0097629 -41.2555264, -73.0097818 -41.2562393)",,,
178321237,False,,Pablo Neruda,residential,True,23.778,"LINESTRING (-73.0097629 -41.2555264, -73.0094786 -41.2555196)",,,
65944988,False,,Pablo Neruda,living_street,True,32.03,"LINESTRING (-73.0097629 -41.2555264, -73.0097522 -41.2553081, -73.0097508 -41.2552385)",,,
65945029,False,,Los Cisnes,residential,True,35.205,"LINESTRING (-73.0094786 -41.2555196, -73.0096789 -41.2552411)",,,
178321237,False,,Pablo Neruda,residential,False,23.778,"LINESTRING (-73.0094786 -41.2555196, -73.0097629 -41.2555264)",,,
65945029,False,,Los Cisnes,residential,False,89.702,"LINESTRING (-73.0094786 -41.2555196, -73.0090444 -41.2561224, -73.009051 -41.2562435)",,,
362320532,False,2,Errázuriz,residential,True,226.45,"LINESTRING (-73.009463 -41.2592496, -73.0072539 -41.2580708)",50,,
362320534,False,,,residential,False,71.054,"LINESTRING (-73.009463 -41.2592496, -73.0089671 -41.2597686)",,,
483104670,False,,,unclassified,False,138.536,"LINESTRING (-73.0001865 -41.2606809, -73.000888 -41.2608238, -73.0011088 -41.2609024, -73.0011258 -41.2609472, -73.0011249 -41.2610193, -73.0009884 -41.261263, -73.000978 -41.2613277, -73.000978 -41.2613953)",,,
65945005,False,,Llanquihue,living_street,True,6.017,"LINESTRING (-73.0096789 -41.2552411, -73.0097508 -41.2552385)",,,
65945029,False,,Los Cisnes,residential,False,35.205,"LINESTRING (-73.0096789 -41.2552411, -73.0094786 -41.2555196)",,,
65945029,False,,Los Cisnes,residential,True,56.569,"LINESTRING (-73.0096789 -41.2552411, -73.009857 -41.2547503)",,,
65945005,False,,Llanquihue,living_street,False,6.017,"LINESTRING (-73.0097508 -41.2552385, -73.0096789 -41.2552411)",,,
65945005,False,,Llanquihue,living_street,True,45.543,"LINESTRING (-73.0097508 -41.2552385, -73.010295 -41.2552191)",,,
65944988,False,,Pablo Neruda,living_street,False,32.03,"LINESTRING (-73.0097508 -41.2552385, -73.0097522 -41.2553081, -73.0097629 -41.2555264)",,,
652135061,False,,Salomón Negrín,tertiary_link,True,19.132,"LINESTRING (-73.0038136 -41.2561313, -73.0040244 -41.2560643)",,,
65945091,True,2,Errázuriz,tertiary,False,98.637,"LINESTRING (-73.0038136 -41.2561313, -73.0037763 -41.2560564, -73.0035956 -41.2558199, -73.0035002 -41.2557266, -73.003096 -41.2554415)",50,,
652135061,False,,Salomón Negrín,tertiary_link,False,19.132,"LINESTRING (-73.0040244 -41.2560643, -73.0038136 -41.2561313)",,,
941626256,True,2,Salomón Negrín,tertiary,False,47.763,"LINESTRING (-73.0040244 -41.2560643, -73.003973 -41.2564921)",50,,
93660556,False,2,Vicente Pérez Rosales,primary,False,91.235,"LINESTRING (-73.0030751 -41.260059, -73.0036145 -41.2593457)",,,
"[65766540, 93660556, 93660549]",False,2,Vicente Pérez Rosales,primary,True,103.465,"LINESTRING (-73.0030751 -41.260059, -73.0029469 -41.260222, -73.0025598 -41.2607088, -73.0024552 -41.260864)",,,yes
652135603,False,,Río Maullín,residential,True,90.462,"LINESTRING (-73.0030751 -41.260059, -73.0030992 -41.2601104, -73.0031001 -41.2601377, -73.0030891 -41.2601675, -73.002996 -41.2602993, -73.0029811 -41.2603381, -73.0029896 -41.2603613, -73.0030093 -41.2603857, -73.0031279 -41.2604521, -73.0034632 -41.2606912)",,,
362320534,False,,,residential,True,71.054,"LINESTRING (-73.0089671 -41.2597686, -73.009463 -41.2592496)",,,
"[65950265, 65950259]",False,2,O'Higgins,residential,"[False, True]",292.776,"LINESTRING (-73.0089671 -41.2597686, -73.0086864 -41.2601941, -73.0086064 -41.2602697, -73.008439 -41.2602883, -73.008325 -41.2602267, -73.007889 -41.2599281, -73.0072622 -41.2595771, -73.0063587 -41.2591586)",50,,
65950304,False,2,Valdivieso,secondary,False,221.97699999999998,"LINESTRING (-73.0089671 -41.2597686, -73.0075136 -41.2589238, -73.0072977 -41.2588091, -73.0069559 -41.2586531, -73.0068243 -41.2585929)",50,V-401,
